CALLS,,PUTS,,,,,,,,,,,,,,,,,,,
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI
,-,-,1,-,525,-423.5,700,497.45,517.05,700,"2,520.00",700,0.5,0.7,175,0.25,0.65,40.06,239,-96,37
,1,-,-,-,-,-,700,457.4,477.5,700,"2,560.00",525,0.55,0.7,700,0.05,0.65,-,47,-30,460
,1,-,-,-,-,-,700,417.65,434.6,700,"2,600.00",525,0.65,0.8,350,0.1,0.8,-,70,-17,782
,-,-,-,-,-,-,875,377.75,397.95,700,"2,640.00",175,0.55,0.7,350,0.05,0.6,30.73,72,20,471
,-,-,-,-,-,-,875,338,357.85,350,"2,680.00",875,0.6,0.9,700,-0.15,0.7,28.37,33,-3,900
,4,2,3,-,305,-40,175,302.55,311.25,175,"2,720.00",175,1.15,1.35,525,0.15,1.3,-,321,-115,800
,-,-,-,-,-,-,175,257.2,279.3,700,"2,760.00",350,2.05,2.15,875,0.35,2.1,26.71,"1,840",121,"2,619"
,-,-,-,-,-,-,350,237.75,260.05,700,"2,780.00",700,2.85,2.95,875,0.6,2.95,26.69,568,-42,349
,422,18,36,-,229.1,-22.4,175,226.4,229.5,175,"2,800.00","1,225",3.7,3.75,"1,575",0.6,3.75,-,"2,098",-26,"3,844"
,-,-,-,-,-,-,175,199.65,221.3,175,"2,820.00",350,4.55,4.65,875,0.95,4.65,-,"1,047",34,413
,-,-,-,-,-,-,175,180.8,202.45,175,"2,840.00",875,5.5,5.6,350,1.15,5.6,24.73,812,-13,744
,68,-,-,-,-,-,175,162.25,183.2,175,"2,860.00",700,6.7,6.85,525,1.15,6.75,-,"1,003",163,"1,069"
,77,4,27,10.08,153.6,-25.4,175,151.65,154,175,"2,880.00",525,8.35,8.5,"1,575",1.5,8.4,23.24,"1,183",39,"1,084"
,849,46,223,-,136,-20.95,350,135,135.95,175,"2,900.00",525,10.4,10.5,875,1.9,10.45,22.59,"4,921",305,"4,491"
,144,27,58,-,118.85,-18.9,175,116.7,118.65,175,"2,920.00",525,12.8,12.95,350,2.35,12.9,-,"1,782",216,"1,487"
,221,32,99,16.32,101.9,-19.4,175,100.2,101.8,175,"2,940.00",175,16.15,16.4,175,3.1,16.35,-,"1,863",-39,810
,399,83,281,16.15,85.55,-19.35,175,84.5,85.85,175,"2,960.00",175,20.55,20.65,175,4.2,20.6,-,"2,507",180,"2,020"
,401,120,548,16.7,71.3,-18.45,175,70.45,71.35,175,"2,980.00",175,26.15,26.5,175,5.25,26.2,-,"2,391",1,920
,"5,528","1,132","7,730",-,58.5,-17.15,175,57.85,58.3,"7,000","3,000.00",175,33.5,33.85,175,6.55,33.5,20.75,"10,467",717,"6,877"
,"1,984",728,"5,345",-,47.05,-15.4,175,47.05,47.2,350,"3,020.00",175,42.3,42.45,175,8.55,42.25,-,"3,941",355,"1,901"
,"4,944","1,883","13,399",17.37,37.75,-13.2,175,37.6,37.9,175,"3,040.00",175,52.75,53.2,"9,100",10.45,52.7,-,"7,130","1,306","4,908"
,"4,973",810,"11,687",17.49,29.6,-11.35,175,29.65,29.8,350,"3,060.00",175,64.6,65.2,175,12.85,65,-,"3,722",316,"2,693"
,"3,966",-3,"5,906",17.86,23.25,-9.5,175,23.1,23.4,350,"3,080.00",175,78.1,78.95,350,14.55,78.55,-,"1,249",172,"1,992"
,"16,636","1,657","29,650",-,18.65,-7.8,"4,375",18.5,18.6,175,"3,100.00",175,93.4,93.8,175,16.3,93.7,22.53,"1,961",38,"5,792"
,"2,703",87,"4,688",-,14,-6.2,875,14,14.15,175,"3,120.00",175,108.55,109.65,175,17.45,108.5,23.2,159,-6,"1,843"
,"2,569",75,"6,653",19.04,10.85,-4.65,350,10.85,11.05,"1,050","3,140.00",175,125.45,126.4,175,18.35,125,23.94,130,50,895
,"3,912",99,"4,437",-,8.55,-3.45,"1,225",8.55,8.7,700,"3,160.00",175,143.05,144.1,175,19.65,142.35,-,152,36,976
,"2,355",-178,"2,926",20.28,7.15,-2.35,"1,225",7,7.15,875,"3,180.00",175,161.3,162.95,175,22.3,161.6,-,34,-8,512
,"15,069",35,"12,045",21.16,6.05,-1.8,"10,500",6.05,6.1,525,"3,200.00",175,180.1,181,350,21.25,180.7,27.51,444,8,"4,881"
,"1,214",252,"2,115",-,4.85,-1.35,175,4.85,4.9,"3,150","3,220.00",175,197.95,203.15,175,22.95,199,29.26,10,-8,129
,"1,898",50,"2,816",-,3.9,-1.2,"2,975",3.9,4,"1,750","3,240.00",175,218.1,219.75,350,23.65,215.9,28.94,45,-16,465
,"1,499",3,"1,935",-,3.4,-0.75,525,3.35,3.4,"1,575","3,260.00",175,232.45,245.3,175,-,-,-,-,-,224
,845,-174,"1,385",-,2.8,-0.75,"1,750",2.8,2.85,"1,050","3,280.00",175,255.7,259.65,175,24.9,254.9,-,44,-30,201
,"13,959",372,"9,535",24.7,2.6,-0.6,"2,625",2.55,2.65,"1,575","3,300.00",175,275.6,278.55,175,23.25,277,-,135,-45,"2,658"
,"1,176",-8,733,25.42,2.25,-0.55,875,2.2,2.3,"2,100","3,320.00",175,294.45,302.95,175,16.55,286.55,24.45,4,2,129
,"1,200",280,845,25.88,1.8,-0.6,"1,050",1.8,1.85,700,"3,340.00",175,313.95,322.8,175,46.05,308.05,28.95,6,2,78
,"1,440",-46,272,-,1.45,-0.3,350,1.5,1.6,175,"3,360.00",175,331.15,341.85,175,28.2,298.35,-,4,-1,138
,409,-19,145,-,1.4,-0.4,"1,050",1.4,1.45,525,"3,380.00",700,348.1,365.75,"2,450",-,-,-,-,-,284
,"6,756",-296,"1,750",28.46,1.4,-0.35,"1,750",1.35,1.4,"1,050","3,400.00",175,373.25,376.75,175,25.65,376.25,-,29,-10,"1,711"
,500,-14,113,28.99,1.15,-0.3,"2,100",1.1,1.2,350,"3,420.00",175,387.55,400.55,875,-,-,-,-,-,132
,897,-,37,30.18,1.15,-0.25,"1,225",1.1,1.2,350,"3,440.00",175,408,419.9,175,12,387,-,1,-,69
,241,-56,139,31.35,1.15,-0.3,525,1.1,1.3,175,"3,460.00",700,426,441.05,700,-,-,-,-,-,2
,113,1,50,-,1.25,-0.2,"1,400",1.15,1.25,350,"3,480.00",700,445.45,460.85,700,-,-,-,-,-,34
,"5,438",-108,"1,182",-,1.1,-0.1,"1,050",1.05,1.1,"1,225","3,500.00",175,472.45,475.85,175,23.9,471.55,-,55,-54,"1,099"
,51,-,3,33.41,0.85,-0.55,175,0.85,1.35,350,"3,520.00",700,485.7,500.65,700,-,-,-,-,-,6
,107,-,1,34.5,0.85,-,"3,850",0.75,1.4,"1,400","3,540.00",700,505.6,520.5,525,-,-,-,-,-,2
,113,-3,8,36.59,1.05,0.05,350,0.8,1.05,175,"3,560.00",700,525.25,540.4,525,-,-,-,-,-,-
,35,-,-,-,-,-,"1,750",0.7,1.3,"1,400","3,580.00",700,545.05,560.3,525,-,-,-,-,-,1
