OI,CHNG IN OI,VOLUME,Strike Price,VOLUME,CHNG IN OI,OI,PCR OI,PCR Volume,PCR Change in OI,PCR Sum,PCR Support,CPR OI,CPR Vol,CPR Sum,Resistance
-,-,-,2100.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
4.00,-,-,2200.00,45.00,-5.00,163.00,40.75,illiquid,illiquid,40.75,Very Good Support,0.024539877,illiquid,illiquid,
5.00,-,-,2250.00,10.00,-9.00,37.00,7.40,illiquid,illiquid,7.4,Good Support,0.135135135,illiquid,illiquid,
12.00,-,-,2300.00,248.00,-93.00,422.00,35.17,illiquid,illiquid,35.16666667,Very Good Support,0.028436019,illiquid,illiquid,
24.00,-,-,2350.00,104.00,16.00,91.00,3.79,illiquid,illiquid,3.791666667,Support,0.263736264,illiquid,illiquid,
129.00,2.00,8.00,2400.00,647.00,-203.00,464.00,3.60,80.88,-101.50,84.47189922,Very Good Support,0.278017241,0.01236476,0.290382002,
29.00,-,-,2450.00,310.00,-63.00,218.00,7.52,illiquid,illiquid,7.517241379,Good Support,0.133027523,illiquid,illiquid,
139.00,-2.00,52.00,2500.00,984.00,-96.00,829.00,5.96,18.92,48.00,24.8871057,Very Good Support,0.167671894,0.052845528,0.220517422,
108.00,-13.00,70.00,2550.00,910.00,30.00,416.00,3.85,13.00,-2.31,16.85185185,Very Good Support,0.259615385,0.076923077,0.336538462,
582.00,-122.00,974.00,2600.00,1878.00,203.00,1245.00,2.14,1.93,-1.66,4.067306675,Support,0.46746988,0.518636848,0.986106727,
322.00,-81.00,1375.00,2650.00,908.00,27.00,167.00,0.52,0.66,-0.33,1.178997177,,1.928143713,1.514317181,3.442460893,Resistance
1293.00,-9.00,5021.00,2700.00,1374.00,3.00,299.00,0.23,0.27,-0.33,0.504895833,,4.324414716,3.654294032,7.978708748,Very Good Resistance
432.00,-22.00,2191.00,2750.00,29.00,6.00,58.00,0.13,0.01,-0.27,0.147495225,,7.448275862,75.55172414,83,Very Good Resistance
1172.00,-26.00,3507.00,2800.00,190.00,52.00,585.00,0.50,0.05,-2.00,0.553324117,,2.003418803,18.45789474,20.46131354,Very Good Resistance
380.00,-35.00,975.00,2850.00,-,-,28.00,0.07,illiquid,illiquid,0.073684211,,13.57142857,illiquid,illiquid,
568.00,50.00,1117.00,2900.00,4.00,1.00,61.00,0.11,0.00,0.02,0.110975387,,9.31147541,279.25,288.5614754,Very Good Resistance
148.00,56.00,296.00,2950.00,1.00,-,11.00,0.07,0.00,illiquid,0.077702703,,13.45454545,296,309.4545455,Very Good Resistance
969.00,-173.00,1024.00,3000.00,-,-,64.00,0.07,illiquid,illiquid,0.066047472,,15.140625,illiquid,illiquid,
155.00,6.00,165.00,3050.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
-,-,-,3100.00,-,-,3.00,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
46.00,1.00,4.00,3150.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
43.00,3.00,7.00,3200.00,-,-,9.00,0.21,illiquid,illiquid,0.209302326,,4.777777778,illiquid,illiquid,
12.00,-,-,3300.00,-,-,1.00,0.08,illiquid,illiquid,0.083333333,,12,illiquid,illiquid,
63.00,-,4.00,3400.00,-,-,-,illiquid,illiquid,illiquid,0,,illiquid,illiquid,illiquid,
