CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"4,000.00",125,0.20,2.90,125,-,0.10,56.82,2,-,13,
,-,-,-,-,-,-,500,"1,251.35","1,298.10",500,"4,100.00",625,0.15,7.15,"5,000",-,-,-,-,-,-,
,-,-,-,-,-,-,500,"1,152.65","1,200.00",500,"4,200.00",125,1.30,8.50,125,-0.70,1.60,63.56,5,-3,27,
,-,-,-,-,-,-,500,"1,102.00","1,148.55",500,"4,250.00",625,0.35,4.00,125,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"1,052.15","1,092.95",500,"4,300.00",625,0.45,4.00,125,-,12.55,-,-,-,2,
,-,-,-,-,-,-,625,999.85,"1,057.05","1,250","4,350.00",125,0.55,21.05,250,-0.30,1.05,-,-,-,11,
,1,-,-,-,539.40,-,500,951.05,999.60,500,"4,400.00",125,0.70,4.60,125,-5.05,0.70,47.79,7,-1,15,
,1,-,-,-,490.75,-,500,903.35,949.85,500,"4,450.00",125,1.00,5.90,250,-,7.75,-,-,-,6,
,-,-,-,-,-,-,250,852.95,900.95,250,"4,500.00",375,2.10,3.55,125,-1.15,2.35,50.13,43,-5,141,
,4,-,-,-,601.65,-,250,801.10,842.90,500,"4,550.00",250,1.75,5.45,125,-,3.25,-,-,-,7,
,1,-,-,-,554.30,-,250,753.60,801.80,250,"4,600.00",250,2.70,4.65,250,1.00,6.00,52.06,1,1,51,
,3,-,-,-,559.40,-,500,706.95,752.15,250,"4,650.00",125,3.00,6.35,250,-,5.00,-,-,-,15,
,15,-,-,-,693.30,-,250,654.20,700.20,250,"4,700.00",250,3.65,4.80,250,-0.40,4.65,43.94,46,1,120,
,2,-,-,-,404.75,-,250,604.50,653.55,250,"4,750.00",125,4.15,6.40,250,1.20,6.35,43.46,24,6,27,
,84,-,-,-,580.55,-,250,556.10,604.95,375,"4,800.00",125,5.05,5.95,125,-1.30,5.80,39.73,154,-38,425,
,76,-,3,31.79,525.85,-28.15,125,517.55,541.75,250,"4,850.00",125,5.35,7.70,125,0.35,7.75,38.95,28,-11,65,
,153,-3,7,-,472.00,-6.15,250,466.00,505.60,250,"4,900.00",750,7.65,8.45,125,-1.65,7.65,35.72,232,-16,434,
,44,-1,1,24.08,425.00,-8.95,125,419.80,443.50,125,"4,950.00",250,9.40,9.80,125,-4.50,10.00,34.65,28,2,112,
,206,-2,10,23.15,375.95,1.85,125,377.55,391.90,125,"5,000.00",125,10.85,11.80,125,-2.30,11.90,32.76,264,52,474,
,57,-,-,-,371.05,-0.95,250,317.05,356.40,125,"5,050.00",125,13.70,15.10,125,-1.85,15.15,31.38,36,-6,204,
,244,-5,11,23.04,281.65,-,125,283.75,304.85,250,"5,100.00",375,18.00,19.05,125,-4.25,18.50,29.56,240,-15,470,
,123,-,-,-,247.95,-,250,226.25,266.75,625,"5,150.00",125,22.15,24.30,125,-3.35,26.25,29.21,74,-29,223,
,276,-7,48,22.75,195.00,-8.00,125,196.60,211.35,375,"5,200.00",125,29.50,31.35,125,-4.40,33.80,27.22,324,-39,504,
,62,-2,13,24.09,160.65,0.20,125,154.80,172.45,125,"5,250.00",125,35.95,47.55,125,-10.30,40.50,25.51,27,-1,96,
,283,-30,246,23.57,125.35,-3.80,125,124.15,132.40,125,"5,300.00",125,49.80,55.15,125,-9.15,56.25,25.20,473,62,355,
,218,-3,360,24.53,99.50,-0.65,125,93.25,98.10,125,"5,350.00",125,69.95,76.85,125,-5.55,79.00,25.71,258,17,198,
,425,-45,"1,004",23.11,70.00,-4.60,125,70.20,72.90,125,"5,400.00",125,93.40,97.20,125,-18.65,91.60,22.08,279,34,206,
,135,-2,133,22.03,46.60,-9.05,125,47.40,53.65,125,"5,450.00",125,113.45,134.25,375,-10.50,133.05,25.42,12,-1,37,
,429,-6,629,23.43,36.35,-3.40,125,34.30,36.35,125,"5,500.00",250,139.55,179.65,625,-1.65,171.70,-,-,-,34,
,103,1,70,23.06,23.25,-5.40,125,22.20,25.05,125,"5,550.00",125,173.30,217.35,500,-,185.10,-,-,-,1,
,262,-43,257,23.77,16.50,-4.30,125,15.25,17.35,125,"5,600.00",125,230.25,248.85,250,-11.40,242.65,24.47,2,-1,5,
,83,24,50,23.77,10.50,-3.60,125,9.30,13.45,125,"5,650.00",125,261.85,308.20,500,-,282.45,-,-,-,1,
,366,19,368,24.88,7.85,-2.60,125,6.75,8.00,125,"5,700.00",125,306.25,352.90,500,-,-,-,-,-,-,
,4,-,-,-,12.00,-,125,4.05,13.05,125,"5,750.00",125,363.45,407.70,125,-,-,-,-,-,-,
,284,8,172,26.01,3.70,-1.70,125,3.20,4.85,125,"5,800.00",250,403.25,450.75,250,-,-,-,-,-,-,
,1,1,2,24.60,1.55,-19.65,125,0.60,6.15,125,"5,850.00",250,454.15,501.20,250,-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",0.10,11.00,250,"5,900.00",500,507.65,553.35,250,-,-,-,-,-,-,
,17,1,2,30.42,1.45,-0.80,250,0.35,4.00,125,"6,000.00",250,601.95,649.45,250,-,-,-,-,-,-,
,-,-,-,-,-,-,"5,000",0.10,5.80,250,"6,100.00",500,702.65,751.00,250,-,-,-,-,-,-,
