CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,000",222.55,233.15,"2,000",840.00,"15,000",0.10,3.60,"20,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,000",183.60,195.40,"1,000",880.00,"2,000",0.30,5.30,"1,000",-,0.30,-,-,-,17,
,-,-,-,-,-,-,"2,000",162.80,173.20,"1,000",900.00,"1,500",0.25,3.35,"1,500",-,0.60,-,-,-,1,
,-,-,-,-,-,-,"2,000",142.95,153.25,"5,000",920.00,"3,500",0.30,2.40,"1,000",-,1.10,-,-,-,42,
,9,3,5,-,107.55,5.90,500,124.00,130.20,"1,500",940.00,500,0.75,0.90,"1,000",-1.40,0.95,41.97,399,-7,40,
,9,-1,13,-,90.00,6.90,500,104.45,110.75,"1,000",960.00,500,1.00,1.40,500,-1.85,1.40,38.92,24,-9,52,
,6,-2,12,44.45,90.85,26.10,500,86.55,91.00,"2,000",980.00,500,1.70,2.05,500,-2.90,2.10,35.84,23,-1,45,
,32,-13,60,34.31,70.00,22.00,500,68.30,71.40,500,"1,000.00","2,000",2.90,3.00,500,-5.85,2.90,31.78,219,1,286,
,34,-19,86,29.31,51.20,18.70,500,49.95,54.05,500,"1,020.00",500,4.85,5.20,500,-6.60,5.80,31.24,94,-4,80,
,38,-90,689,28.31,35.55,15.85,500,33.80,38.55,"1,500","1,040.00",500,8.90,9.50,500,-11.35,8.90,27.80,84,-6,10,
,428,47,"1,414",28.12,22.95,12.30,500,22.60,22.95,500,"1,060.00",500,15.00,18.40,"1,000",-14.35,16.05,27.25,240,-38,357,
,136,1,533,28.22,13.50,8.00,500,13.30,13.60,500,"1,080.00",500,26.15,27.20,"1,000",-19.50,26.05,26.17,9,-,9,
,296,-45,"1,476",28.11,7.60,4.60,500,7.30,7.70,500,"1,100.00",500,38.30,41.35,"1,000",-20.90,41.55,28.91,37,-16,131,
,118,33,233,29.62,4.45,2.75,"1,000",4.40,4.65,"1,000","1,120.00","2,000",54.25,60.75,"1,500",-25.40,56.40,25.97,4,-3,37,
,296,-3,213,32.04,2.90,1.65,500,2.85,3.00,500,"1,140.00",500,73.90,77.20,"1,500",-23.90,77.00,34.12,24,-7,272,
,83,30,116,33.78,1.80,0.50,500,1.95,2.00,500,"1,160.00","1,000",90.45,99.05,"1,000",-,101.45,-,-,-,7,
,22,-,5,37.75,1.55,-0.95,"1,000",1.35,1.55,"1,000","1,180.00",500,109.85,116.10,"1,500",-,125.70,-,-,-,4,
,541,9,634,40.24,1.15,0.45,"1,000",1.10,1.15,"2,500","1,200.00",500,131.35,135.65,"1,500",-38.80,137.00,51.98,25,-14,86,
,81,-2,9,42.99,0.50,-0.20,"4,000",0.55,1.35,500,"1,240.00","2,000",169.90,178.55,"1,000",-,-,-,-,-,-,
,88,-3,7,57.38,0.75,0.35,500,0.30,0.75,500,"1,300.00","2,000",229.15,237.40,"2,000",-,224.00,-,-,-,1,
,1,-,-,-,22.95,-,"15,500",0.05,1.50,"5,000","1,320.00",-,-,-,-,-,-,-,-,-,-,
,6,-,-,-,0.30,-,"15,000",0.05,1.00,"3,500","1,400.00",-,-,-,-,-,-,-,-,-,-,
