CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,500",255.80,268.35,"2,500",840.00,"1,000",0.05,0.80,"5,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,500",215.00,228.00,"2,000",880.00,"1,000",0.10,0.20,500,-0.05,0.15,59.95,16,4,21,
,-,-,-,-,-,-,"1,500",195.45,208.10,"2,000",900.00,"1,000",0.05,0.85,"5,000",-,0.60,-,-,-,1,
,2,2,2,-,148.60,-118.95,"2,000",174.95,187.10,"2,000",920.00,"11,000",0.05,0.15,"1,500",-1.05,0.05,43.89,3,-,42,
,9,-,-,-,107.55,-,"1,500",154.40,168.00,"1,500",940.00,"27,500",0.10,0.30,500,-0.45,0.15,44.01,9,-1,37,
,9,-,-,-,90.00,-,"3,500",134.65,148.00,"1,500",960.00,"1,000",0.15,0.75,500,-,0.40,44.16,16,-4,44,
,13,-,-,-,95.15,-,"3,500",114.90,128.15,"2,000",980.00,"2,000",0.40,0.80,"2,000",-0.20,0.40,38.46,17,1,33,
,32,-1,4,-,102.00,20.70,500,101.85,107.40,500,"1,000.00",500,0.65,0.75,"1,000",-0.60,0.65,35.47,308,-73,241,
,34,-,-,-,61.40,-,"3,500",78.40,88.00,"1,500","1,020.00",500,0.95,1.20,"1,500",-0.75,1.15,32.84,138,36,109,
,29,-32,173,33.37,66.25,22.25,500,63.80,69.70,"2,500","1,040.00",500,1.85,2.10,500,-1.50,1.95,29.75,182,22,67,
,395,-50,511,32.29,49.10,21.55,500,45.15,51.30,"2,000","1,060.00",500,3.90,4.00,500,-3.30,4.10,28.36,972,-170,205,
,115,-22,"1,091",25.29,30.55,14.80,500,30.50,31.00,"1,500","1,080.00",500,7.25,8.55,500,-7.70,8.05,26.86,199,41,74,
,343,70,"2,217",26.09,18.70,9.90,"3,000",18.45,18.70,"4,500","1,100.00",500,14.35,15.85,500,-12.50,15.90,27.03,260,-7,119,
,141,23,477,27.03,10.65,5.65,500,9.80,11.00,"1,000","1,120.00","5,000",22.65,29.70,500,-19.20,25.80,24.73,22,-,24,
,271,-56,745,28.60,6.00,2.85,500,5.85,6.30,"12,000","1,140.00",500,40.40,43.65,500,-20.85,41.10,25.64,100,-25,232,
,116,8,381,30.51,3.45,1.60,500,3.55,3.80,500,"1,160.00","2,000",55.80,64.80,"1,500",-,85.20,-,-,-,7,
,47,20,97,33.52,2.30,0.80,500,2.30,2.50,"2,500","1,180.00",500,77.30,80.95,500,-23.65,78.70,33.46,12,-,10,
,634,-3,"1,038",37.18,1.75,0.60,"5,000",1.65,1.75,"16,500","1,200.00",500,97.00,100.20,500,-21.80,99.30,42.02,45,-2,93,
,82,1,85,40.64,0.70,0.20,500,0.70,0.90,"1,000","1,240.00","2,000",133.10,145.40,"1,500",-,-,-,-,-,-,
,88,-,-,-,0.75,-,"5,000",0.25,0.70,"1,000","1,300.00","2,000",192.15,204.80,"1,500",-,224.00,-,-,-,1,
,1,-,-,-,22.95,-,500,0.10,1.50,"5,000","1,320.00",-,-,-,-,-,-,-,-,-,-,
,6,-,-,-,0.30,-,500,0.05,0.45,"2,000","1,400.00",-,-,-,-,-,-,-,-,-,-,
