CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,500,"1,025.60","1,061.00",500,"4,000.00",125,1.25,2.20,125,-,4.00,-,-,-,81,
,-,-,-,-,-,-,500,827.65,861.45,500,"4,200.00",625,1.25,1.75,125,-0.25,1.50,49.32,10,-7,64,
,10,-,-,-,640.00,-,500,626.90,668.25,750,"4,400.00",125,2.85,3.20,125,-0.10,3.20,42.89,112,-31,318,
,-,-,-,-,-,-,875,532.20,568.00,250,"4,500.00",125,4.10,5.80,125,-2.00,5.00,39.98,47,40,264,
,22,-3,6,-,451.70,0.70,125,442.40,454.65,125,"4,600.00",125,6.60,7.05,250,-1.55,7.00,36.07,160,15,457,
,-,-,-,-,-,-,125,339.60,368.30,125,"4,700.00",500,11.15,11.55,125,-2.80,11.55,33.21,615,-14,477,
,152,-4,127,24.55,263.75,-18.25,125,260.50,266.25,250,"4,800.00",125,19.75,20.55,125,-4.70,20.35,30.83,"1,002",202,834,
,88,8,139,25.62,182.80,-10.75,125,178.95,184.25,125,"4,900.00",250,38.10,39.45,125,-6.25,39.05,29.72,765,53,665,
,941,215,"2,543",26.36,117.30,-10.40,125,116.30,117.00,125,"5,000.00",125,73.05,75.15,250,-8.65,71.80,30.20,"1,815",213,"1,375",
,"1,807",489,"3,480",27.45,71.00,-8.50,125,70.25,70.90,125,"5,100.00",125,125.85,128.05,125,-3.75,128.05,30.39,649,16,882,
,"1,639",159,"1,924",29.08,41.00,-6.15,125,41.10,42.25,250,"5,200.00",250,194.90,200.20,125,-3.80,195.80,32.10,274,-10,450,
,"1,719",269,"1,883",30.80,25.00,-2.65,125,24.35,25.15,125,"5,300.00",250,278.40,285.70,250,-,275.70,33.49,33,-8,199,
,"1,442",155,"1,395",32.81,15.00,-1.65,125,15.00,15.40,125,"5,400.00",125,362.20,382.45,250,-,361.50,-,-,-,283,
,"2,103",28,"1,219",35.34,10.35,-0.20,125,10.00,10.35,125,"5,500.00",125,461.70,469.80,125,-0.85,461.15,40.31,33,-,685,
,"1,460",-6,"1,084",37.06,6.40,-0.80,125,6.50,6.80,375,"5,600.00",125,547.55,574.90,250,-,550.75,-,-,-,333,
,"1,434",-5,"1,006",39.88,5.00,-0.40,125,4.80,5.00,625,"5,700.00",125,653.10,665.65,250,42.25,639.75,-,3,2,222,
,751,-38,546,42.71,3.90,-0.15,375,3.80,3.95,"3,625","5,800.00",125,747.95,780.65,500,0.75,722.00,-,4,-4,214,
,126,-22,86,45.46,3.00,-0.50,875,3.00,3.05,625,"5,900.00",750,833.50,872.85,500,-,850.00,-,-,-,66,
,"1,867",8,236,48.27,2.50,-0.05,250,2.30,2.50,375,"6,000.00",250,938.05,962.05,125,61.50,951.90,59.96,4,-,274,
,89,-11,20,50.27,1.90,0.10,125,1.85,2.10,250,"6,100.00",500,"1,038.05","1,071.65",500,-,752.25,-,-,-,14,
,135,1,5,54.85,2.15,-0.20,125,1.00,2.15,125,"6,200.00",500,"1,137.85","1,173.30",500,-,930.00,-,-,-,32,
,90,1,3,57.17,1.80,0.20,125,1.25,2.10,125,"6,300.00",250,"1,231.35","1,270.65",500,-,990.15,-,-,-,6,
,63,-1,6,53.98,0.65,-0.35,250,0.90,1.85,125,"6,400.00",250,"1,330.60","1,371.85",500,-,"1,089.65",-,-,-,1,
,79,1,1,64.52,1.90,-0.10,125,0.85,1.65,125,"6,500.00",250,"1,431.60","1,469.85",625,-,"1,375.00",-,-,-,97,
,-,-,-,-,-,-,-,-,-,-,"6,600.00","1,250","1,529.80","1,572.70",500,-,"1,501.00",-,-,-,8,
,82,-7,9,64.07,0.75,-1.50,125,0.35,0.90,125,"6,700.00",-,-,-,-,-,-,-,-,-,-,
,4,-,-,-,2.15,-,250,0.20,1.50,"1,250","6,800.00",500,"1,735.90","1,758.80",500,-,"1,686.30",-,-,-,76,
,133,-,-,-,0.50,-,125,0.25,0.90,500,"7,000.00",250,"1,930.40","1,957.90",500,66.65,"1,951.35",103.98,8,8,228,
