CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,375",176.15,184.15,"2,700",640.00,"16,200",0.10,2.25,"3,375",-,-,-,-,-,3,
,7,-,-,-,-,-,"1,350",136.10,142.90,675,680.00,"4,050",0.25,1.10,675,-,-,-,-,-,112,
,2,-,-,-,-,-,"2,025",116.85,124.30,"2,700",700.00,"22,275",0.10,1.95,"3,375",-,-,-,-,-,6,
,21,-,-,-,-,-,"2,700",97.45,103.95,"4,725",720.00,"4,050",0.60,2.10,"6,750",-,-,-,-,-,238,
,43,-,-,-,-,-,"1,350",77.10,83.55,"3,375",740.00,675,0.85,1.10,"2,025",-,-,-,-,-,232,
,103,1,4,35.97,61.25,-0.75,675,61.20,62.25,675,760.00,"6,075",1.70,1.80,"2,025",-0.55,1.70,35.07,31,12,150,
,379,-,5,-,42.75,-1.45,675,43.15,43.90,675,780.00,"2,025",3.50,3.60,675,-0.75,3.55,32.66,85,6,456,
,"1,540",25,156,31.44,27.50,-0.90,675,27.60,28.10,"1,350",800.00,675,7.55,7.75,"2,025",-1.25,7.55,-,133,2,772,
,"1,157",1,166,31.80,15.75,-0.85,675,15.75,16.00,675,820.00,675,15.45,15.85,"1,350",-0.95,15.85,-,120,27,788,
,592,-32,123,32.57,8.60,-0.50,675,8.35,8.55,675,840.00,675,27.80,28.60,675,-0.30,29.35,-,20,10,347,
,417,-13,92,33.96,4.50,-0.40,675,4.45,4.60,"3,375",860.00,675,43.85,44.85,675,2.05,44.75,33.72,7,1,91,
,291,2,22,36.32,2.45,-0.20,"2,025",2.45,2.55,"1,350",880.00,675,60.05,65.50,"1,350",-,-,-,-,-,102,
,488,-1,16,39.08,1.45,-0.15,"2,025",1.45,1.55,"2,700",900.00,"1,350",78.55,85.25,"2,700",-,-,-,-,-,57,
,76,-,2,42.71,1.00,-0.05,"2,700",0.85,1.00,"2,700",920.00,"4,725",97.95,104.45,"4,725",-,-,-,-,-,21,
,97,-,1,42.08,0.40,-0.25,675,0.30,0.85,675,940.00,"3,375",117.35,124.25,"4,050",-,-,-,-,-,6,
,54,-,-,-,-,-,"15,525",0.10,1.50,675,960.00,-,-,-,-,-,-,-,-,-,-,
,58,-,-,-,-,-,"47,925",0.05,0.55,675,980.00,-,-,-,-,-,-,-,-,-,-,
,180,-,-,-,-,-,"14,175",0.10,0.50,"3,375","1,000.00",675,177.30,181.30,"2,700",-,-,-,-,-,134,
