CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,950,189.10,235.45,950,"1,120.00",475,0.40,0.50,475,-0.60,0.55,48.98,4,-,44,
,-,-,-,-,-,-,950,147.30,199.90,950,"1,160.00","1,425",0.75,0.80,950,-0.95,0.80,42.72,178,-37,273,
,2,-,-,-,150.90,-,950,148.60,174.80,950,"1,180.00",475,0.80,0.85,"1,900",-1.55,0.80,38.62,82,-21,87,
,40,-4,26,-,132.15,25.25,475,134.10,137.30,475,"1,200.00",950,1.00,1.05,"3,800",-2.15,1.05,35.40,671,-101,612,
,-,-,-,-,-,-,"1,900",107.10,132.85,"19,000","1,220.00","1,425",1.25,1.35,"1,425",-3.35,1.30,32.06,338,-17,232,
,54,-4,75,32.52,96.20,25.00,475,95.95,98.10,950,"1,240.00",950,1.85,1.90,"2,850",-5.15,1.90,29.60,"1,058",-52,493,
,91,22,298,31.36,78.10,22.85,475,77.65,78.65,475,"1,260.00","1,425",2.90,3.00,"1,900",-7.55,3.00,27.53,"1,170",-26,576,
,162,6,676,28.47,60.00,19.40,475,59.95,60.85,475,"1,280.00",475,4.85,5.00,"1,425",-11.05,4.95,25.73,"1,530",137,"1,025",
,772,-275,"4,840",27.11,44.15,15.65,475,43.60,44.15,475,"1,300.00","1,900",8.50,8.65,475,-15.05,8.60,24.50,"4,678",216,"2,751",
,"1,253",-60,"8,909",25.69,29.90,10.85,475,29.75,30.00,"5,225","1,320.00",475,14.10,14.55,950,-20.25,14.10,23.10,"4,240",-26,978,
,"2,380",-239,"8,812",25.47,19.40,6.95,475,19.15,19.45,475,"1,340.00",475,23.40,23.80,475,-23.90,23.50,22.92,"1,848",-27,"1,127",
,"1,579",-105,"4,947",25.67,12.00,3.85,475,11.75,12.00,"3,325","1,360.00",475,35.75,36.50,475,-26.65,36.25,23.10,641,-82,948,
,"1,879",-7,"3,344",26.57,7.45,2.05,475,7.30,7.45,475,"1,380.00",475,51.15,52.20,475,-27.30,52.10,24.12,190,-38,665,
,"4,198",-116,"5,058",28.00,4.80,0.95,"1,900",4.75,4.80,475,"1,400.00",475,68.35,69.35,475,-29.65,68.85,23.47,182,-37,"2,565",
,"1,290",36,"1,018",30.12,3.40,0.65,"1,900",3.40,3.50,"2,375","1,420.00",475,86.40,89.55,950,-29.20,88.30,26.87,32,-8,230,
,954,-128,759,32.28,2.50,0.40,"2,375",2.40,2.55,475,"1,440.00",475,105.55,106.95,475,-28.20,107.80,29.73,8,7,193,
,"1,415",-49,749,34.26,1.85,0.25,"1,425",1.80,1.90,"5,225","1,460.00",475,124.60,127.95,950,-20.55,143.55,66.29,1,1,188,
,575,-11,60,35.70,1.30,-0.05,"1,425",1.25,1.45,"1,900","1,480.00",475,143.80,147.30,475,3.35,150.50,46.95,2,-2,82,
,"2,218",44,775,37.92,1.10,0.05,950,1.05,1.10,"3,800","1,500.00",475,163.55,167.50,475,-23.00,173.40,58.64,4,1,314,
,316,-8,27,39.60,0.80,-0.10,"1,425",0.80,0.95,950,"1,520.00",950,164.60,216.20,950,-,128.00,-,-,-,3,
,325,-7,13,41.55,0.65,0.05,"15,200",0.60,0.70,475,"1,540.00",-,-,-,-,-,-,-,-,-,-,
,144,-13,27,43.04,0.50,-,475,0.50,0.55,475,"1,560.00",950,203.45,254.40,950,-,-,-,-,-,-,
,212,-52,112,46.61,0.55,0.10,950,0.40,0.45,475,"1,580.00",-,-,-,-,-,-,-,-,-,-,
,427,-36,117,47.50,0.40,-0.10,"4,750",0.40,0.45,475,"1,600.00",950,248.95,271.05,"2,375",0.50,233.00,-,-,-,30,
,186,-2,2,51.18,0.30,-0.05,475,0.30,0.60,475,"1,640.00",950,282.40,340.05,950,-,220.20,-,-,-,3,
