CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,300,"1,533.40","1,618.25",300,"5,800.00",100,1.55,1.75,200,0.15,1.40,66.46,5,-2,105,
,1,-,-,-,-,-,400,"1,438.95","1,518.15",300,"5,900.00","1,000",0.60,6.35,"3,000",-,-,-,-,-,1,
,2,-,-,-,-,-,300,"1,336.80","1,418.65",300,"6,000.00","5,000",1.55,2.00,200,-0.20,2.00,60.70,33,15,191,
,-,-,-,-,-,-,300,"1,235.55","1,318.90",300,"6,100.00",500,1.65,3.85,100,-1.15,2.05,56.62,9,-,30,
,2,-,-,-,-,-,300,"1,141.70","1,220.70",300,"6,200.00",100,3.30,4.00,400,-0.75,4.20,57.96,10,-,213,
,3,-,-,-,-,-,300,"1,036.60","1,127.35",300,"6,300.00",100,3.40,4.95,100,0.85,4.00,53.01,6,-3,38,
,1,-,-,-,-,-,300,921.85,"1,021.50",300,"6,400.00",600,3.75,6.50,100,-2.25,4.00,48.52,4,-,170,
,8,-,-,-,-,-,300,847.80,923.70,300,"6,500.00",200,5.65,5.90,200,-0.70,5.65,46.49,"1,718",-131,456,
,20,-,-,-,-,-,500,743.35,827.85,300,"6,600.00",100,6.15,8.00,100,-0.65,7.50,44.21,9,1,45,
,12,-,-,-,-,-,100,659.00,714.75,300,"6,700.00",200,9.20,10.00,300,-1.55,9.00,42.16,29,3,49,
,88,-4,9,34.77,604.15,-34.10,100,580.95,601.45,100,"6,800.00",200,12.95,13.85,200,-1.85,12.25,38.59,334,-50,309,
,327,-7,13,39.51,520.45,1.60,100,487.95,504.80,100,"6,900.00",100,18.30,20.75,100,-2.85,17.50,36.25,82,-16,107,
,464,-349,649,35.38,408.25,-11.75,100,400.20,409.70,100,"7,000.00",100,28.75,29.85,100,-1.65,29.55,35.24,959,-270,778,
,160,-1,16,35.38,343.85,-5.15,100,313.25,330.40,100,"7,100.00",100,43.00,47.00,100,-4.75,42.25,33.91,105,-21,273,
,224,-10,65,29.68,249.80,-28.00,100,241.60,254.65,100,"7,200.00",200,68.90,72.30,100,-6.50,70.00,33.04,447,-46,292,
,572,1,458,33.85,188.00,-21.85,200,180.80,185.00,100,"7,300.00",100,104.90,107.95,100,-15.85,99.20,32.01,631,-23,352,
,532,95,"1,142",33.67,135.00,-18.95,300,132.60,135.70,200,"7,400.00",300,155.75,159.75,100,-20.95,144.65,32.89,919,-169,350,
,774,21,"1,406",34.27,95.30,-17.65,100,95.20,97.05,200,"7,500.00",100,215.85,222.40,100,-2.20,220.00,32.73,157,-4,404,
,342,34,747,35.19,68.85,-15.30,200,66.75,68.50,100,"7,600.00",100,285.60,296.25,100,-0.95,284.90,37.27,34,-2,118,
,541,-23,548,35.85,47.95,-10.55,200,46.65,47.95,200,"7,700.00",200,365.40,380.35,100,4.95,362.45,38.43,17,2,51,
,523,2,479,36.70,33.40,-8.75,200,32.50,33.40,200,"7,800.00",100,450.20,464.40,100,0.10,445.25,39.42,10,-1,46,
,533,41,313,38.28,25.25,-5.00,200,23.35,24.20,200,"7,900.00",200,526.10,568.10,100,-,-,-,-,-,104,
,"1,986",-65,"1,949",39.33,17.75,-4.60,100,17.05,17.55,200,"8,000.00",200,634.00,651.35,100,-16.00,606.80,30.48,4,-2,211,
,295,-2,231,40.68,13.35,-3.30,100,11.95,12.85,200,"8,100.00",100,719.30,747.90,100,-16.35,700.35,-,2,-1,13,
,477,-2,83,42.44,10.35,-1.45,100,9.40,9.75,100,"8,200.00",300,801.60,865.25,400,-,-,-,-,-,48,
,99,-32,108,43.37,7.30,-3.30,200,7.40,8.45,300,"8,300.00",300,884.20,965.85,300,-,-,-,-,-,9,
,130,-89,223,45.16,6.30,-1.35,200,6.10,6.95,100,"8,400.00",300,982.15,"1,070.30",300,-,-,-,-,-,6,
,774,-22,531,48.02,5.40,-1.25,300,5.10,5.35,300,"8,500.00",300,"1,080.95","1,175.45",300,-,-,-,-,-,3,
,221,-1,24,49.99,4.55,-0.90,100,4.30,5.60,400,"8,600.00",300,"1,184.35","1,273.00",300,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,000",2.10,8.75,"1,000","8,700.00",300,"1,276.45","1,365.65",300,-,-,-,-,-,-,
,1,-,-,-,-,-,500,1.90,8.65,500,"8,800.00",300,"1,385.75","1,465.60",300,-,-,-,-,-,-,
,431,8,44,57.75,2.60,-0.45,"1,100",2.60,3.15,200,"9,000.00",300,"1,581.25","1,684.60",300,-,-,-,-,-,-,
