CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,77.00,-,"5,250",86.10,100.80,"5,250",500.00,"9,450",0.10,0.15,"3,150",-0.30,0.10,42.74,3,-1,75,
,-,-,-,-,-,-,"2,100",49.40,114.05,"2,100",510.00,"15,750",0.05,0.55,"1,050",-,0.50,-,-,-,49,
,1,-,-,-,86.80,-,"2,100",65.15,78.00,"2,100",520.00,"15,750",0.10,0.30,"2,100",-,0.40,-,-,-,8,
,-,-,-,-,-,-,"2,100",58.30,73.00,"2,100",525.00,"15,750",0.10,0.65,"2,100",-,0.75,-,-,-,13,
,-,-,-,-,-,-,"2,100",37.70,76.85,"44,100",530.00,"5,250",0.15,0.25,"1,050",-0.45,0.20,32.52,41,-34,111,
,-,-,-,-,-,-,"2,100",34.55,66.20,"2,100",535.00,"7,350",0.20,0.35,"1,050",-0.90,0.25,31.24,17,-12,38,
,10,-,-,-,38.30,-0.20,"5,250",47.60,59.35,"5,250",540.00,"3,150",0.25,0.30,"5,250",-0.80,0.25,28.83,82,-45,97,
,3,-,-,-,33.65,-0.35,"2,100",38.40,57.25,"2,100",545.00,"3,150",0.35,0.45,"1,050",-0.95,0.45,29.29,24,-5,34,
,24,-2,2,62.49,51.00,21.85,"1,050",42.50,43.85,"1,050",550.00,"1,050",0.55,0.60,"2,100",-1.35,0.60,28.27,215,-23,149,
,16,-1,5,28.21,38.95,9.80,"1,050",38.20,39.00,"1,050",555.00,"4,200",0.70,0.75,"1,050",-1.80,0.75,26.82,45,13,45,
,86,-3,65,16.90,33.15,12.30,"1,050",33.60,34.15,"1,050",560.00,"1,050",1.00,1.05,"2,100",-2.40,1.10,26.36,204,-,114,
,16,-26,95,17.29,28.35,7.25,"1,050",29.10,29.70,"1,050",565.00,"3,150",1.40,1.50,"1,050",-3.25,1.50,25.45,76,9,85,
,121,-32,322,20.35,24.20,10.10,"2,100",24.65,25.00,"1,050",570.00,"3,150",2.05,2.15,"3,150",-4.35,2.10,24.78,704,26,422,
,51,-38,245,21.06,20.15,8.90,"2,100",20.55,21.00,"1,050",575.00,"2,100",2.85,3.00,"3,150",-5.45,3.10,24.79,417,10,101,
,211,-160,775,22.01,16.60,7.75,"2,100",16.75,17.15,"1,050",580.00,"3,150",4.05,4.20,"3,150",-7.00,4.10,23.82,"1,140",-46,508,
,116,-68,395,21.75,13.10,6.25,"1,050",13.45,13.70,"1,050",585.00,"1,050",5.65,5.75,"2,100",-8.15,5.90,24.23,367,9,104,
,326,-228,"1,571",23.12,10.70,5.50,"3,150",10.65,10.75,"2,100",590.00,"1,050",7.75,7.90,"1,050",-9.50,8.00,24.33,"1,285",107,320,
,105,-46,561,23.15,8.15,4.15,"2,100",8.15,8.35,"2,100",595.00,"1,050",10.30,10.45,"1,050",-10.80,10.70,24.89,384,-11,85,
,"1,137",-164,"5,159",23.62,6.35,3.25,"1,050",6.30,6.40,"3,150",600.00,"1,050",13.35,13.60,"1,050",-11.45,13.90,25.72,"1,401",83,498,
,619,303,"1,926",24.00,4.70,2.30,"4,200",4.75,4.90,"4,200",605.00,"2,100",16.55,17.00,"1,050",-12.05,17.45,26.57,274,-46,146,
,915,-243,"2,339",24.90,3.65,1.75,"6,300",3.55,3.70,"3,150",610.00,"1,050",20.65,20.90,"1,050",-13.40,20.85,26.07,274,3,272,
,409,71,657,25.30,2.70,1.20,"5,250",2.70,2.85,"4,200",615.00,"2,100",24.40,25.25,"1,050",-13.50,25.40,28.40,22,-9,67,
,"1,633",-313,"2,318",26.64,2.20,0.90,"4,200",2.15,2.25,"7,350",620.00,"2,100",28.90,29.75,"1,050",-13.35,30.20,31.25,187,-45,491,
,237,-7,266,27.18,1.65,0.65,"2,100",1.65,1.75,"2,100",625.00,"6,300",32.15,34.40,"1,050",-12.50,32.35,20.60,21,-10,49,
,651,-84,823,28.39,1.35,0.50,"3,150",1.30,1.40,"6,300",630.00,"2,100",38.25,38.60,"1,050",-14.05,39.05,33.04,61,-1,289,
,101,-5,68,29.48,1.10,0.45,"2,100",1.05,1.15,"3,150",635.00,"3,150",37.85,45.85,"5,250",-,50.90,-,-,-,14,
,568,58,960,30.54,0.90,0.30,"8,400",0.90,0.95,"19,950",640.00,"1,050",45.50,54.00,"5,250",-,45.90,-,-,-,7,
,48,3,40,31.65,0.75,-0.15,"3,150",0.70,0.80,"2,100",645.00,"3,150",49.60,56.45,"2,100",-,53.80,-,-,-,5,
,"1,736",-87,"1,675",33.44,0.70,0.25,"8,400",0.65,0.70,"21,000",650.00,"2,100",56.30,59.50,"2,100",-,56.25,-,-,-,"1,000",
,17,-6,13,34.59,0.60,0.05,"2,100",0.55,0.65,"2,100",655.00,"2,100",54.40,89.70,"2,100",-,47.20,-,-,-,4,
,179,-11,46,35.50,0.50,0.15,"17,850",0.50,0.55,"9,450",660.00,"2,100",63.00,79.75,"2,100",-,-,-,-,-,-,
,7,-,-,-,0.25,-,"1,050",0.25,1.70,"2,100",665.00,"2,100",68.00,83.30,"2,100",-,-,-,-,-,-,
,174,3,21,37.25,0.35,0.15,"35,700",0.30,0.45,"6,300",670.00,"2,100",72.85,89.85,"2,100",-,-,-,-,-,-,
,20,-2,9,39.13,0.35,0.05,"15,750",0.25,0.40,"3,150",675.00,-,-,-,-,-,-,-,-,-,-,
,119,-1,17,40.02,0.30,0.10,"13,650",0.25,0.35,"2,100",680.00,"2,100",82.70,100.55,"2,100",-,-,-,-,-,-,
,76,-3,7,41.16,0.20,-0.05,"25,200",0.15,0.30,"4,200",690.00,"2,100",92.65,110.90,"2,100",-,-,-,-,-,-,
