CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,000",565.45,589.75,"2,500","2,100.00",250,0.40,6.20,"7,500",-,-,-,-,-,-,
,4,-,-,-,434.30,-,500,463.85,486.80,"1,000","2,200.00",250,1.55,2.05,250,-0.70,1.55,57.34,45,-5,163,
,5,-,-,-,332.45,-,500,415.85,436.65,"1,000","2,250.00",250,1.55,4.55,250,-1.05,2.35,55.20,10,-9,37,
,12,-,-,-,355.10,-,500,368.85,387.55,"1,000","2,300.00","1,000",4.30,4.45,250,-0.45,4.45,55.45,248,-93,422,
,24,-,-,-,289.45,-,"1,000",322.35,340.75,"1,000","2,350.00",250,5.40,5.75,250,-1.05,5.30,50.88,104,16,91,
,129,2,8,41.55,284.50,32.30,250,280.75,295.05,"1,250","2,400.00",500,7.35,7.70,250,-2.30,7.55,48.17,647,-203,464,
,29,-,-,-,207.55,-,500,230.10,244.85,"1,000","2,450.00",250,10.50,11.00,500,-3.95,11.15,45.88,310,-63,218,
,139,-2,52,31.39,186.35,16.25,500,188.85,195.85,250,"2,500.00",500,15.40,16.00,750,-7.15,16.00,42.87,984,-96,829,
,108,-13,70,33.77,145.65,10.70,250,148.75,151.95,250,"2,550.00",500,23.00,24.25,250,-10.50,24.55,41.72,910,30,416,
,582,-122,974,36.38,111.90,9.85,250,111.85,115.65,250,"2,600.00",250,35.15,36.30,250,-14.55,36.15,39.85,"1,878",203,"1,245",
,322,-81,"1,375",35.60,79.00,6.35,250,79.40,80.00,250,"2,650.00",250,52.65,53.70,250,-18.75,54.05,39.05,908,27,167,
,"1,293",-9,"5,021",35.20,51.95,1.40,250,53.85,54.80,250,"2,700.00",750,77.00,77.95,250,-21.60,78.00,38.55,"1,374",3,299,
,432,-22,"2,191",34.96,34.05,0.75,250,34.05,34.70,250,"2,750.00",250,104.95,109.65,250,-34.35,110.80,39.93,29,6,58,
,"1,172",-26,"3,507",34.56,20.90,-0.05,250,20.20,20.90,500,"2,800.00",250,140.10,143.95,250,-26.70,144.25,38.61,190,52,585,
,380,-35,975,35.13,12.15,-1.20,500,12.25,12.80,250,"2,850.00",250,177.30,193.35,250,-,224.35,-,-,-,28,
,568,50,"1,117",36.52,7.75,-1.20,250,7.40,7.75,750,"2,900.00",500,226.05,233.50,250,-45.80,230.00,41.36,4,1,61,
,148,56,296,38.57,5.30,-1.00,250,4.75,5.40,250,"2,950.00",250,270.60,280.20,250,-14.20,285.80,53.59,1,-,11,
,969,-173,"1,024",41.39,4.10,-0.60,250,3.90,4.25,250,"3,000.00","1,000",317.00,337.40,"1,000",-,355.00,-,-,-,64,
,155,6,165,42.37,2.60,-0.60,500,2.55,2.85,250,"3,050.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"3,100.00","1,000",413.70,439.25,"1,000",-,486.00,-,-,-,3,
,46,1,4,46.40,1.45,-1.55,250,0.80,2.85,250,"3,150.00",-,-,-,-,-,-,-,-,-,-,
,43,3,7,47.98,1.05,0.05,250,1.05,1.35,250,"3,200.00","1,000",516.30,537.30,500,-,590.00,-,-,-,9,
,12,-,-,-,1.10,-,"7,500",0.30,2.50,500,"3,300.00","1,000",611.50,636.80,500,-,670.00,-,-,-,1,
,63,-,4,56.51,0.50,-,500,0.25,0.50,500,"3,400.00",-,-,-,-,-,-,-,-,-,-,
