CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,400",340.75,353.30,"1,750","1,280.00","14,350",0.05,3.35,"14,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",297.80,312.80,"1,400","1,320.00","3,500",0.10,0.80,350,-,-,-,-,-,2,
,-,-,-,-,-,-,"1,050",258.10,273.65,"1,400","1,360.00",350,0.35,0.80,350,-,-,-,-,-,2,
,-,-,-,-,-,-,"1,400",240.95,253.25,"1,400","1,380.00","10,850",0.10,2.00,"1,050",-,-,-,-,-,8,
,-,-,-,-,-,-,"1,050",218.85,232.80,"1,750","1,400.00",700,0.70,0.80,350,-,0.80,-,31,2,150,
,6,-,-,-,-,-,"1,400",201.25,213.75,"1,750","1,420.00",350,0.45,3.00,"1,050",-,-,-,-,-,2,
,6,-,-,-,-,-,"2,450",178.55,194.15,"1,400","1,440.00",350,0.65,3.00,"1,050",-,-,-,-,-,120,
,2,-,-,-,-,-,"1,050",161.05,173.60,"3,150","1,460.00",350,0.75,1.60,"1,050",0.15,1.75,-,24,3,29,
,3,-,-,-,-,-,"2,450",139.20,153.55,"1,400","1,480.00",350,1.05,1.60,"1,050",0.30,1.80,-,26,-16,51,
,149,-2,5,-,122.10,15.45,"1,400",117.05,134.15,"2,450","1,500.00",700,1.45,1.60,350,-0.20,1.85,-,291,83,842,
,22,-,5,-,109.15,21.80,"1,050",103.10,112.60,350,"1,520.00","1,050",1.60,1.90,350,-0.90,1.65,-,16,-,77,
,248,-,-,-,-,-,350,82.65,93.80,"1,400","1,540.00",700,2.20,2.30,350,-1.35,2.15,-,226,63,432,
,122,-,6,-,70.25,-2.80,"1,400",62.20,75.85,"2,100","1,560.00",350,3.25,3.45,350,-1.60,3.30,-,205,-13,234,
,59,1,29,-,52.20,-0.20,"2,450",46.90,54.30,350,"1,580.00",350,5.10,6.70,"7,000",-1.95,5.25,-,234,37,181,
,801,-33,534,-,36.75,-0.60,700,34.30,37.65,700,"1,600.00",700,8.05,10.05,700,-2.45,8.85,22.33,535,-8,"1,408",
,673,-146,"1,277",-,23.20,-1.55,350,21.55,24.35,350,"1,620.00",350,14.45,16.70,350,-2.00,16.70,-,499,5,"1,299",
,431,-2,"1,492",-,14.80,-1.40,"3,500",14.50,15.40,350,"1,640.00",350,26.50,33.05,"1,050",-3.10,27.45,-,124,22,54,
,274,132,"1,615",-,9.10,-0.45,700,8.50,9.40,700,"1,660.00",700,38.45,46.80,700,-2.75,41.95,-,25,5,22,
,253,-3,202,-,5.70,-0.15,350,5.50,5.85,350,"1,680.00","2,100",53.40,64.60,"1,400",-13.40,64.95,-,10,3,26,
,860,-83,858,-,4.10,-0.10,350,3.90,4.15,350,"1,700.00","1,050",74.25,81.80,350,0.40,76.45,32.84,15,-4,88,
,151,66,153,-,2.40,-0.15,350,2.30,2.60,350,"1,720.00","1,400",90.10,99.85,700,-,-,-,-,-,10,
,67,-2,25,-,1.75,-0.15,350,1.65,2.00,350,"1,740.00",350,109.35,120.95,"1,400",-,-,-,-,-,13,
,84,-8,29,-,1.00,-1.05,350,1.00,3.35,"1,750","1,760.00","1,400",129.20,144.85,"1,050",-,-,-,-,-,7,
,24,-2,5,-,1.50,-1.10,"3,150",0.50,2.90,"1,750","1,780.00","1,750",148.75,163.75,"1,050",-,-,-,-,-,-,
,292,6,276,33.95,0.85,-0.10,"2,100",0.85,0.95,350,"1,800.00","1,400",168.55,182.40,"1,400",-39.00,163.00,-,1,-,4,
,3,1,2,-,0.40,-0.55,"1,050",0.35,1.70,350,"1,820.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,050",0.35,1.60,350,"1,840.00","1,400",208.35,222.40,"1,050",-,-,-,-,-,-,
,1,-,1,-,0.75,-,"1,050",0.25,1.50,350,"1,880.00","1,400",248.15,259.85,"1,400",-,-,-,-,-,-,
,48,-,-,-,-,-,"1,750",0.40,0.75,700,"1,900.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,350,0.10,2.05,"1,750","1,920.00","1,400",288.20,306.60,"1,400",-115.00,285.00,-,1,-,1,
,143,-,-,-,-,-,700,0.35,0.50,700,"2,000.00","1,400",366.70,381.75,"2,450",-,-,-,-,-,24,
,1,-,-,-,-,-,350,0.10,1.90,350,"2,040.00",-,-,-,-,-,-,-,-,-,-,
