CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,700",274.25,288.20,"1,700","1,040.00","15,300",0.05,4.65,"17,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,700",234.30,243.95,"1,700","1,080.00","22,100",0.05,0.95,425,-,-,-,-,-,-,
,-,-,-,-,-,-,850,214.30,224.90,"4,250","1,100.00","15,300",0.10,0.85,850,-,-,-,-,-,-,
,1,-,-,-,151.00,-,850,193.00,203.60,"1,700","1,120.00","18,700",0.30,0.45,425,-0.05,0.45,45.00,38,-16,304,
,-,-,-,-,-,-,850,174.25,185.25,850,"1,140.00",425,0.50,0.55,425,-0.30,0.50,41.34,18,-15,134,
,2,-,-,-,128.60,-,850,153.80,165.50,850,"1,160.00","11,475",0.65,0.70,850,-0.70,0.65,38.54,171,-39,197,
,12,3,6,40.18,139.95,32.60,"1,700",136.15,142.20,425,"1,180.00","1,700",0.90,0.95,"4,675",-1.20,0.95,36.37,101,-53,103,
,24,-4,25,80.24,141.75,55.05,850,117.20,123.00,425,"1,200.00",425,1.15,1.25,425,-2.15,1.20,33.15,699,-112,298,
,98,-,-,-,68.75,0.15,850,96.80,105.55,850,"1,220.00",850,1.65,1.75,425,-3.95,1.75,30.68,697,-36,386,
,35,-32,105,31.56,82.40,28.90,425,81.35,84.05,850,"1,240.00",425,2.65,2.75,"1,275",-6.95,2.80,28.74,784,-20,311,
,143,-80,470,28.14,63.75,24.20,425,62.25,65.55,425,"1,260.00",425,4.55,4.65,425,-11.05,4.70,27.17,"1,651",86,569,
,220,-150,903,27.36,47.60,19.70,425,47.30,48.80,425,"1,280.00",425,7.70,7.95,425,-15.00,8.35,26.41,"1,720",94,547,
,687,-813,"4,624",27.20,35.20,16.55,425,33.40,36.50,425,"1,300.00",425,13.85,14.15,425,-20.70,13.85,25.62,"3,032",145,"1,166",
,344,-418,"4,256",26.63,22.50,10.25,850,21.95,22.45,425,"1,320.00",425,20.80,22.25,425,-24.75,22.70,25.38,"2,282",40,345,
,567,-92,"4,387",26.67,14.00,6.30,425,14.00,14.40,"1,275","1,340.00",425,33.30,34.45,425,-28.35,34.50,25.47,"1,075",-10,242,
,505,-201,"3,109",27.18,8.80,3.95,425,8.80,9.10,"1,275","1,360.00",425,47.00,54.60,425,-31.45,49.95,27.14,595,33,280,
,489,-102,"1,723",28.73,5.80,2.75,425,5.60,5.90,425,"1,380.00",425,64.10,66.35,425,-29.25,66.40,27.79,215,-56,370,
,"1,135",-237,"3,199",30.60,4.00,1.90,425,3.90,4.00,"1,700","1,400.00",425,82.05,83.80,425,-34.80,84.15,28.42,186,-31,345,
,389,-26,716,32.39,2.90,1.35,425,2.75,2.90,850,"1,420.00",425,101.35,104.90,425,-32.90,103.70,32.06,28,-3,150,
,426,11,485,33.78,2.40,1.20,850,2.10,2.25,425,"1,440.00",425,119.55,122.30,425,-35.25,123.30,35.36,41,-8,82,
,645,332,"1,077",37.64,1.90,1.05,"1,275",1.85,1.90,"15,725","1,460.00",850,139.65,145.70,425,-33.45,140.10,-,2,-2,173,
,323,2,145,39.14,1.35,0.65,425,1.35,1.50,425,"1,480.00","1,700",156.85,166.60,850,-,182.00,-,-,-,117,
,"1,031",-64,709,40.95,1.05,0.40,"1,700",1.05,1.10,850,"1,500.00","2,550",175.30,182.90,425,-46.55,177.00,-,11,-4,183,
,169,-24,70,42.50,0.85,0.25,850,0.85,0.95,425,"1,520.00",850,195.40,205.40,"1,700",-,235.85,-,-,-,26,
,185,-15,69,43.84,0.60,0.10,425,0.60,0.80,"1,700","1,540.00",850,215.10,225.75,"1,700",-,157.50,-,-,-,17,
,168,-3,19,46.34,0.55,0.30,425,0.50,0.60,850,"1,560.00","4,250",234.80,245.50,850,-2.10,183.60,-,-,-,5,
,72,-5,17,47.27,0.40,-,425,0.40,0.50,425,"1,580.00",850,254.70,266.20,850,-,185.50,-,-,-,3,
,172,-4,10,48.34,0.30,0.05,425,0.40,0.50,"2,975","1,600.00","4,250",274.85,283.35,"1,275",0.70,313.55,-,-,-,113,
,52,-,-,-,0.45,-,"22,100",0.05,0.50,425,"1,620.00",-,-,-,-,-,-,-,-,-,-,
,70,-,-,-,0.25,-,-,-,0.35,850,"1,640.00","4,250",314.20,325.45,"1,700",-,-,-,-,-,-,
,37,-,-,-,0.10,-,-,-,0.65,425,"1,660.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.70,425,"1,680.00","4,250",354.15,365.80,"1,700",-,378.55,-,-,-,1,
,-,-,-,-,-,-,-,-,-,-,"1,720.00","1,700",394.50,406.00,"2,125",-,285.00,-,-,-,1,
,19,-,-,-,0.05,-0.25,-,-,0.20,"5,100","1,760.00","1,700",434.60,445.30,"1,700",-,338.00,-,-,-,5,
