CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,500",143.20,150.25,"3,500",480.00,"47,250",0.05,2.60,"35,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,750",123.30,129.10,"3,500",500.00,"2,625",0.15,0.60,875,-,0.65,-,-,-,47,
,-,-,-,-,-,-,"4,375",113.85,120.30,"3,500",510.00,"15,750",0.10,2.35,"1,750",-,-,-,-,-,-,
,7,-,-,-,78.10,-,"3,500",103.95,108.85,"3,500",520.00,"2,625",0.20,0.50,"2,625",-0.30,0.35,54.48,26,4,80,
,3,-,-,-,73.50,-,"3,500",92.90,99.15,"3,500",530.00,"3,500",0.20,0.35,"1,750",-0.85,0.30,48.54,18,-3,25,
,2,-,-,-,71.90,-,"3,500",84.30,89.90,"5,250",540.00,"1,750",0.35,0.45,"1,750",-1.45,0.40,45.86,3,-1,37,
,11,-,1,-,73.55,11.95,"1,750",75.50,78.85,"1,750",550.00,"2,625",0.40,0.50,875,-0.70,0.50,42.61,40,-16,59,
,15,-,1,-,63.25,5.00,"1,750",65.90,69.20,875,560.00,875,0.60,0.70,"1,750",-1.00,0.65,39.54,45,-19,37,
,12,-4,8,36.72,58.05,14.35,"1,750",56.80,59.30,875,570.00,"2,625",0.85,1.00,"2,625",-1.55,0.90,36.81,38,-19,48,
,26,-10,31,30.72,48.00,8.75,875,47.60,49.60,875,580.00,"6,125",1.40,1.45,875,-2.35,1.40,34.92,48,-16,87,
,40,-5,11,40.93,41.30,16.15,875,38.30,40.55,"2,625",590.00,"1,750",2.05,2.25,"1,750",-3.90,2.20,33.13,51,-4,77,
,90,-42,201,28.83,30.00,11.20,875,29.80,30.80,875,600.00,"2,625",3.45,3.65,875,-5.45,3.70,32.27,130,17,496,
,85,-57,251,24.80,21.00,8.10,875,22.20,23.05,875,610.00,875,5.65,5.85,875,-8.25,5.55,30.21,145,22,121,
,285,63,988,28.85,15.80,7.00,875,15.85,16.00,875,620.00,"1,750",9.00,9.30,"1,750",-10.30,9.30,30.59,318,62,119,
,195,39,867,29.09,10.90,5.20,875,10.65,10.90,875,630.00,875,13.90,14.90,875,-13.50,14.30,31.21,39,10,46,
,377,6,469,30.14,7.25,3.15,875,7.25,7.45,875,640.00,"1,750",18.65,23.55,"5,250",-8.10,21.10,33.24,2,-,25,
,192,1,290,31.06,4.75,2.10,"1,750",4.80,5.00,"3,500",650.00,875,27.75,28.50,875,-14.45,28.80,35.26,23,11,99,
,120,-23,111,32.34,3.15,1.20,875,3.20,3.35,875,660.00,875,34.25,38.45,875,-,48.05,-,-,-,5,
,64,14,65,33.67,2.10,0.80,"1,750",2.25,2.45,"2,625",670.00,"1,750",43.25,49.25,"4,375",-,64.25,-,-,-,10,
,69,6,29,36.14,1.60,0.50,875,1.60,1.80,"3,500",680.00,"1,750",53.50,56.50,875,-11.65,53.00,27.57,2,1,13,
,34,-2,15,38.57,1.25,0.30,875,1.20,1.30,"1,750",690.00,"1,750",63.05,66.90,875,-21.25,62.95,31.27,1,1,4,
,276,36,187,40.53,0.95,0.20,875,0.95,1.05,"2,625",700.00,875,71.95,76.15,875,-,94.00,-,-,-,33,
,65,6,10,45.88,0.70,0.10,875,0.30,0.90,875,720.00,875,91.45,95.45,875,-27.25,98.00,74.92,3,-,30,
,21,-,-,-,0.60,-,"15,750",0.10,1.55,875,740.00,"3,500",111.60,116.85,"3,500",-,142.50,-,-,-,15,
,60,-,1,56.66,0.70,0.15,875,0.25,0.60,"4,375",750.00,"3,500",121.25,126.55,"3,500",-,143.00,-,-,-,1,
