CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,150,"1,923.70","1,976.45",300,"6,800.00",75,0.55,1.65,75,1.40,1.95,65.50,2,1,184,
,-,-,-,-,-,-,150,"1,724.60","1,778.00",150,"7,000.00",75,0.55,1.40,75,0.45,1.65,57.51,1,-,243,
,-,-,-,-,-,-,150,"1,625.10","1,680.30",150,"7,100.00",450,0.70,1.05,75,0.75,1.75,54.58,1,-,219,
,1,-,-,-,-,-,225,"1,525.90","1,577.80",300,"7,200.00",225,1.15,1.85,75,1.25,2.65,54.04,19,-1,87,
,-,-,-,-,-,-,225,"1,424.50","1,480.55",225,"7,300.00",75,1.20,2.35,75,0.40,1.95,48.66,7,-,202,
,-,-,-,-,-,-,225,"1,324.30","1,378.60",300,"7,400.00",75,1.60,2.60,75,-0.65,1.80,44.92,60,-15,142,
,3,-,-,-,-,-,150,"1,225.45","1,278.75",750,"7,500.00",300,2.35,2.65,225,-0.80,2.60,43.76,366,-25,"1,077",
,22,-,-,-,-,-,150,"1,114.95","1,182.80",375,"7,600.00",150,2.55,2.65,75,-1.40,2.55,40.30,89,-25,343,
,35,-,-,-,-,-,75,"1,036.60","1,074.50",750,"7,700.00",75,2.55,2.70,300,-2.25,2.65,37.19,592,-120,352,
,47,-,3,85.90,"1,055.00",346.20,75,948.75,967.65,75,"7,800.00",300,3.00,3.20,300,-3.05,3.15,34.90,643,-73,586,
,106,-,-,-,-,-,75,839.75,877.35,300,"7,900.00",150,4.45,4.55,150,-4.05,4.50,33.37,590,-91,401,
,572,-4,25,18.69,746.75,141.05,150,757.25,768.40,75,"8,000.00",150,6.05,6.25,150,-5.80,6.10,31.43,"1,568",179,"1,625",
,437,-8,24,57.01,715.00,201.50,75,658.10,670.40,75,"8,100.00",150,8.15,8.35,150,-8.55,8.20,29.64,"1,362",-63,773,
,-,-,-,-,-,-,-,-,-,-,"8,190.00",75,10.65,10.95,150,-13.30,10.75,27.79,358,-3,138,
,925,-40,416,30.27,563.80,144.35,75,566.65,572.05,75,"8,200.00",75,10.95,11.25,300,-13.55,11.15,27.71,"2,718",151,"1,272",
,655,-52,257,28.44,462.15,130.00,75,472.00,477.25,75,"8,300.00",225,15.70,16.00,225,-22.00,16.00,25.86,"5,128",683,"1,584",
,"1,144",281,"1,495",27.56,379.60,126.15,75,382.10,384.85,150,"8,400.00",600,25.25,25.55,75,-34.10,25.50,24.84,"7,344",580,"1,271",
,"1,090",72,"3,744",26.09,299.85,112.80,75,300.10,302.50,75,"8,500.00",150,42.50,42.95,150,-48.45,42.75,24.35,"9,275",869,"1,556",
,734,-661,"8,389",25.46,228.75,99.55,150,227.05,229.45,150,"8,600.00",150,69.45,69.95,75,-64.70,70.00,24.44,"9,969",601,"1,150",
,"1,600",264,"15,414",25.47,166.95,80.20,75,165.65,166.95,150,"8,700.00",75,107.15,107.95,75,-85.05,107.00,24.33,"9,829",906,"1,082",
,"3,266","2,129","28,621",25.80,118.95,60.40,75,118.15,119.00,150,"8,800.00",225,158.35,159.90,75,-102.90,159.55,24.58,"6,520",621,743,
,"1,986","1,290","17,003",26.18,81.80,43.10,150,81.45,82.00,150,"8,900.00",150,221.15,223.35,75,-455.40,223.90,24.57,"1,116",227,227,
,"4,117","1,325","27,341",26.94,56.20,30.45,75,55.85,56.40,150,"9,000.00",150,293.65,298.45,75,-134.30,297.40,24.68,422,-24,134,
,973,313,"9,870",27.13,36.40,20.15,150,36.75,37.15,75,"9,100.00",75,373.80,380.55,75,-447.10,366.70,9.47,11,5,5,
,"1,236",666,"11,388",28.09,24.95,13.95,75,24.55,24.95,75,"9,200.00",75,460.50,468.00,75,-227.60,476.20,25.83,25,12,22,
,719,572,"6,259",29.28,16.80,8.90,225,16.70,16.95,225,"9,300.00",75,538.05,605.35,150,-,-,-,-,-,49,
,"1,373",407,"7,821",30.31,11.90,6.35,150,11.75,11.95,150,"9,400.00",75,634.55,696.55,150,-,-,-,-,-,8,
,872,872,"4,361",31.90,8.95,-138.70,375,8.80,9.05,150,"9,500.00",150,724.45,794.80,150,-,-,-,-,-,-,
,637,131,"5,900",33.05,6.55,2.50,150,6.55,6.70,600,"9,600.00",75,840.45,857.65,150,-210.00,795.00,-,9,-1,57,
,64,64,192,34.08,4.70,-108.55,75,4.55,4.95,150,"9,700.00",300,923.25,998.60,150,-,-,-,-,-,-,
,255,208,"1,335",36.24,4.35,1.90,225,4.25,4.40,150,"9,800.00",300,"1,022.65","1,100.25",150,-,-,-,-,-,-,
