CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"14,400",33.95,35.30,"14,400",140.00,-,-,0.05,"32,400",-,-,-,-,-,57,
,22,-,-,-,-,-,"14,400",29.05,30.35,"18,000",145.00,-,-,0.05,"1,29,600",-0.05,0.05,55.27,13,-2,109,
,14,-,-,-,-,-,"14,400",26.50,28.30,"50,400",147.50,-,-,0.25,"46,800",-,-,-,-,-,23,
,32,1,2,-,24.70,0.35,"3,600",24.35,25.20,"3,600",150.00,-,-,0.05,"3,56,400",-0.05,0.05,46.36,99,-54,447,
,19,-,-,-,-,-,"14,400",21.60,22.95,"18,000",152.50,"1,80,000",0.05,0.15,"36,000",-,0.15,49.74,7,-4,66,
,34,-,-,-,-,-,"25,200",19.20,20.65,"18,000",155.00,"10,800",0.15,0.20,"25,200",-,0.20,47.19,64,-43,225,
,25,-,-,-,-,-,"14,400",16.75,18.15,"18,000",157.50,"54,000",0.15,0.25,"10,800",0.05,0.25,-,44,6,112,
,127,-42,71,-,15.05,0.60,"3,600",14.95,15.40,"3,600",160.00,"21,600",0.25,0.30,"36,000",-0.05,0.25,38.56,300,-55,601,
,31,-4,44,-,12.50,0.50,"3,600",12.60,12.95,"3,600",162.50,"50,400",0.30,0.40,"7,200",-0.10,0.35,35.92,51,-,79,
,185,-7,50,35.91,10.40,0.60,"3,600",10.30,10.50,"3,600",165.00,"25,200",0.50,0.55,"3,600",-0.10,0.55,34.27,289,-28,436,
,102,-37,109,28.39,7.85,0.25,"3,600",8.10,8.40,"3,600",167.50,"10,800",0.75,0.85,"18,000",-0.20,0.80,-,209,12,151,
,577,-120,677,-,6.10,0.40,"3,600",6.05,6.20,"7,200",170.00,"7,200",1.20,1.25,"3,600",-0.30,1.20,29.55,842,-44,530,
,147,-50,508,-,4.35,0.25,"7,200",4.20,4.35,"3,600",172.50,"10,800",1.85,1.95,"7,200",-0.45,1.90,-,390,-8,140,
,"1,284",54,"1,588",-,2.90,0.05,"25,200",2.85,2.95,"10,800",175.00,"10,800",2.90,3.05,"21,600",-0.60,2.95,27.56,948,114,414,
,98,25,289,28.00,1.75,-0.10,"10,800",1.75,1.85,"7,200",177.50,"3,600",4.30,4.45,"3,600",-0.70,4.50,28.40,165,-9,40,
,938,66,"1,130",-,1.15,-0.05,"18,000",1.05,1.15,"64,800",180.00,"3,600",6.00,6.25,"3,600",-0.80,6.20,27.54,181,-42,315,
,135,6,109,-,0.65,-0.15,"3,600",0.65,0.70,"7,200",182.50,"3,600",8.05,8.30,"3,600",-0.65,8.40,-,52,17,40,
,421,-11,266,-,0.40,-0.15,"14,400",0.40,0.45,"3,600",185.00,"3,600",10.25,10.60,"3,600",-0.65,10.60,30.55,66,-15,105,
,95,5,29,-,0.30,-0.05,"14,400",0.25,0.30,"3,600",187.50,"3,600",12.65,12.95,"3,600",-0.65,12.95,31.99,51,-4,24,
,555,-14,201,-,0.15,-0.15,"3,63,600",0.15,0.20,"97,200",190.00,"3,600",15.05,15.40,"3,600",-0.70,15.30,31.12,6,-5,138,
,11,-,-,-,-,-,"1,94,400",0.05,0.55,"3,600",192.50,"14,400",17.30,18.70,"14,400",-,-,-,-,-,-,
,93,-2,5,-,0.10,-0.05,"10,800",0.10,0.15,"7,200",195.00,"3,600",19.90,20.40,"3,600",-7.45,24.55,108.76,1,-,20,
,6,-,-,-,-,-,"1,08,000",0.05,0.25,"36,000",197.50,-,-,-,-,-,-,-,-,-,-,
,612,25,58,45.06,0.10,-,"5,83,200",0.05,0.10,"28,800",200.00,"7,200",25.00,25.35,"3,600",-0.80,25.05,-,2,-1,149,
,152,-,-,-,-,-,"25,200",0.05,0.10,"1,08,000",205.00,"14,400",29.65,31.00,"14,400",-,-,-,-,-,4,
,60,-,1,53.15,0.05,-,"3,600",0.05,0.10,"43,200",210.00,"18,000",34.55,35.95,"14,400",-,-,-,-,-,4,
,32,-,-,-,-,-,-,-,0.05,"7,200",215.00,"18,000",39.60,40.85,"7,200",-,-,-,-,-,48,
