CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,350,"7,217.30","9,067.60",350,"47,500.00",385,4.55,4.70,420,-0.55,4.65,39.40,668,31,"2,280",
,"2,399",-5,7,44.63,"7,790.00",-55.65,70,"7,749.30","7,780.60",35,"48,000.00",840,4.90,4.95,210,-0.65,4.95,37.38,"1,218",-90,"10,122",
,17,-,-,-,-,-,35,"7,242.25","7,325.90",35,"48,500.00",35,5.05,5.10,350,-0.65,5.10,35.13,235,-57,"1,700",
,724,-,1,36.93,"6,785.15",-84.90,70,"6,756.70","6,787.15",35,"49,000.00","2,100",5.20,5.30,35,-0.80,5.30,33.10,990,52,"2,521",
,36,-,-,-,-,-,35,"6,244.55","6,319.95",35,"49,500.00",140,5.50,5.65,35,-1.00,5.55,30.88,300,-104,"1,639",
,"3,343",-2,5,36.42,"5,806.30",-39.20,35,"5,757.45","5,783.10",105,"50,000.00",770,5.90,6.00,770,-1.00,6.00,28.85,"1,699",-47,"7,909",
,-,-,-,-,-,-,420,"4,348.45","6,233.65",350,"50,100.00",35,5.80,6.00,105,-0.50,5.70,28.13,15,13,39,
,-,-,-,-,-,-,350,"4,263.90","6,083.05",350,"50,200.00",35,5.85,6.10,140,-0.75,5.95,27.81,24,9,58,
,-,-,5,31.69,"5,493.00",-898.35,105,"4,422.75","5,983.75",105,"50,300.00",35,5.90,6.10,105,-0.25,6.10,27.43,54,20,45,
,-,-,1,32.35,"5,398.15",-908.25,210,"4,293.60","5,844.40",210,"50,400.00",105,6.05,6.20,70,-1.55,6.10,26.96,35,-,86,
,176,-,-,-,-,-,35,"5,249.35","5,293.55",35,"50,500.00",70,6.10,6.15,210,-1.05,6.10,26.57,"1,388",-79,"1,769",
,1,-,-,-,-,-,350,"5,074.15","5,301.25",70,"50,600.00",35,6.20,6.30,70,-1.00,6.20,26.08,173,40,259,
,8,-,-,-,-,-,350,"4,987.55","5,197.10",70,"50,700.00",35,6.30,6.40,70,-1.00,6.15,25.69,127,3,200,
,7,-,-,-,-,-,35,"4,857.70","5,098.50",70,"50,800.00",35,6.40,6.50,70,-1.25,6.30,25.25,192,-50,246,
,7,-,-,-,-,-,350,"4,753.00","5,029.75",350,"50,900.00",105,6.50,6.65,175,-1.15,6.60,24.87,121,35,285,
,"1,686",-1,3,33.85,"4,830.00",-27.60,35,"4,760.45","4,787.75",70,"51,000.00","1,295",6.30,6.40,"2,450",-1.25,6.35,24.33,"3,746",-282,"11,220",
,-,-,-,-,-,-,350,"3,873.35","5,001.85",350,"51,100.00",70,6.75,6.80,210,-1.30,6.80,24.00,149,-13,182,
,-,-,-,-,-,-,350,"3,769.85","4,842.65",350,"51,200.00",245,6.90,7.00,70,-1.40,6.85,23.64,127,-67,491,
,1,-,-,-,-,-,350,"4,389.05","4,606.50",70,"51,300.00",560,7.20,7.30,630,-1.40,7.25,23.17,332,-6,425,
,-,-,-,-,-,-,350,"3,592.00","4,694.20",350,"51,400.00",420,7.30,7.45,35,-1.40,7.30,22.82,73,20,133,
,101,-,1,26.26,"4,300.00",-100.00,105,"4,264.05","4,297.90",35,"51,500.00",945,7.35,7.45,490,-1.65,7.35,22.41,"1,959",-348,"4,708",
,-,-,-,-,-,-,350,"3,430.45","4,471.30",350,"51,600.00",70,7.65,7.80,280,-2.15,7.75,22.05,422,-159,171,
,-,-,-,-,-,-,350,"3,340.35","4,379.75",945,"51,700.00",35,7.95,8.10,140,-1.95,7.90,21.63,71,-21,199,
,1,-,-,-,-,-,350,"3,892.40","4,103.05",350,"51,800.00",35,8.10,8.30,210,-2.00,8.20,21.25,663,-56,260,
