CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,350,"7,516.95","8,771.55",350,"47,500.00",595,4.60,4.70,315,-0.60,4.60,39.45,"1,294",159,"2,408",
,"2,395",-9,11,38.55,"7,800.00",-45.65,70,"7,784.60","7,812.70",35,"48,000.00",385,4.85,4.90,805,-0.75,4.85,37.35,"1,744",-409,"9,803",
,17,-,-,-,-,-,35,"7,259.65","7,344.70",35,"48,500.00",175,5.00,5.15,385,-0.70,5.05,35.15,376,-102,"1,655",
,723,-1,2,-,"6,792.00",-78.05,70,"6,786.20","6,815.90",35,"49,000.00",140,5.40,5.50,140,-0.60,5.50,33.10,"1,480",206,"2,675",
,36,-,-,-,-,-,35,"6,264.00","6,345.95",35,"49,500.00",70,5.65,5.75,70,-0.75,5.80,31.04,349,-99,"1,644",
,"3,339",-6,8,34.30,"5,810.00",-35.50,420,"5,794.60","5,817.50",70,"50,000.00",245,6.00,6.10,35,-0.90,6.10,28.92,"3,204",249,"8,205",
,-,-,-,-,-,-,350,"4,661.80","6,008.85",350,"50,100.00",35,5.90,6.05,35,-0.35,5.85,28.32,21,16,42,
,-,-,-,-,-,-,945,"4,559.35","5,877.10",350,"50,200.00",35,6.00,6.15,70,-0.70,6.00,27.94,32,13,62,
,-,-,5,-,"5,493.00",-898.35,105,"5,405.10","5,600.45",105,"50,300.00",35,6.10,6.15,35,-0.30,6.05,27.50,61,15,40,
,-,-,1,-,"5,398.15",-908.25,350,"5,267.60","5,450.00",140,"50,400.00",175,6.10,6.25,35,-1.55,6.10,27.09,39,-2,84,
,176,-,-,-,-,-,35,"5,279.20","5,328.95",35,"50,500.00",35,6.25,6.35,175,-0.90,6.25,26.73,"1,911",-34,"1,814",
,1,-,-,-,-,-,350,"5,134.25","5,340.40",350,"50,600.00",140,6.25,6.40,105,-0.95,6.25,26.26,211,39,258,
,8,-,-,-,-,-,350,"5,044.70","5,234.35",70,"50,700.00",70,6.20,6.50,70,-0.75,6.40,25.79,136,3,200,
,7,-,-,-,-,-,350,"4,916.95","5,100.55",350,"50,800.00",35,6.45,6.55,35,-1.00,6.55,25.42,202,-61,235,
