CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,600,849.45,881.05,600,"3,000.00","6,000",0.15,3.20,"1,500",-,-,-,-,-,9,
,3,-,-,-,-,-,300,647.50,681.65,300,"3,200.00",150,1.85,2.20,150,-0.05,2.10,58.00,64,9,298,
,1,-,-,-,-,-,150,552.75,582.45,300,"3,300.00",150,2.60,3.95,150,-0.10,2.75,51.98,21,-6,169,
,6,-,-,-,-,-,150,453.55,483.00,750,"3,400.00",150,3.40,4.50,150,-0.25,3.25,44.91,21,-11,217,
,18,-,-,-,-,-,900,355.90,372.95,150,"3,500.00",150,5.30,5.95,150,-0.20,5.60,40.57,12,-2,258,
,71,-3,6,33.77,279.40,-19.80,150,267.80,276.65,300,"3,600.00",150,8.85,9.00,"2,100",0.80,9.00,35.22,111,-,398,
,252,8,18,24.81,180.80,-38.35,150,179.70,183.60,150,"3,700.00",150,17.85,18.55,150,1.60,17.50,31.15,57,10,358,
,573,-,220,27.34,107.70,-28.80,300,104.30,105.80,150,"3,800.00",150,41.75,42.80,150,6.95,41.25,30.03,414,-9,587,
,797,42,607,28.28,54.00,-21.60,300,53.50,54.10,150,"3,900.00",150,89.50,91.25,300,14.05,88.20,31.41,426,5,495,
,"2,081",94,485,30.17,27.10,-12.40,150,26.35,26.75,150,"4,000.00",150,160.55,165.30,150,26.35,162.30,33.17,10,-,369,
,650,33,139,31.27,12.60,-6.30,150,11.85,12.20,150,"4,100.00",150,242.90,250.30,150,29.50,245.80,36.29,6,1,294,
,715,-4,153,34.00,6.45,-2.80,150,6.10,6.20,150,"4,200.00",150,335.95,344.70,150,18.95,330.00,29.95,5,-1,162,
,396,2,20,37.29,3.50,-2.05,150,3.05,4.65,150,"4,300.00",900,425.30,456.15,300,-,-,-,-,-,53,
,338,-25,48,40.58,2.20,-1.05,450,2.10,2.20,150,"4,400.00",300,524.00,549.40,900,-,-,-,-,-,114,
,464,12,33,45.46,1.90,-0.65,300,1.80,1.95,300,"4,500.00",600,618.60,650.40,900,-,-,-,-,-,85,
,134,-7,71,47.92,1.20,-0.05,150,0.60,1.10,300,"4,600.00",300,717.65,749.00,600,-,-,-,-,-,11,
,29,-,6,52.38,0.50,-,150,0.30,1.10,150,"4,800.00",600,920.05,947.95,600,-,-,-,-,-,2,
