CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,-,-,-,-,-,"1,300",458.25,488.65,"1,300","1,880.00",-,-,9.95,"9,750",-,-,-,-,-,-,
,4,-,-,-,-,-,975,416.25,444.95,"1,300","1,920.00",-,-,5.80,"9,750",-,-,-,-,-,1,
,4,-,-,-,-,-,975,375.90,397.45,"1,300","1,960.00","6,500",0.05,3.00,"9,750",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"1,980.00","6,500",0.05,2.40,325,-,-,-,-,-,2,
,2,-,-,-,-,-,975,337.45,357.75,"1,300","2,000.00",325,0.20,1.30,325,-0.85,0.15,40.93,1,-,55,
,4,-,-,-,-,-,975,317.75,344.10,"1,300","2,020.00","11,050",0.05,7.50,"9,750",-,-,-,-,-,15,
,14,-,-,-,-,-,"1,300",300.20,317.70,650,"2,040.00",650,0.20,3.35,"9,750",-,-,-,-,-,13,
,7,-,-,-,-,-,"1,300",280.30,297.75,975,"2,060.00",325,0.20,1.35,325,-0.05,1.40,-,1,-,13,
,3,-,-,-,-,-,"1,300",260.55,277.55,"1,300","2,080.00","7,150",0.15,2.95,"9,750",-,-,-,-,-,9,
,7,-,-,-,-,-,975,239.05,257.80,325,"2,100.00","3,900",0.55,0.60,"1,300",-0.45,0.60,35.16,119,-82,122,
,1,-,-,-,-,-,"1,300",220.55,239.45,"3,250","2,120.00","3,250",0.30,3.00,325,-,-,-,-,-,-,
,6,-,-,-,-,-,975,200.05,217.50,"1,625","2,140.00","3,250",0.40,1.65,325,-,-,-,-,-,33,
,3,-,-,-,-,-,"1,300",182.40,199.95,"1,625","2,160.00","6,500",0.40,3.00,325,-,-,-,-,-,15,
,-,-,-,-,-,-,975,160.50,179.00,"1,300","2,180.00",325,1.10,2.75,325,0.85,3.35,-,1,-,15,
,67,-,3,-,150.00,-1.85,325,144.45,157.65,975,"2,200.00",650,1.50,1.80,325,-1.10,1.80,27.09,50,11,133,
,5,-,5,-,128.50,3.05,325,127.90,138.25,325,"2,220.00",650,2.00,2.30,325,-1.75,2.20,25.14,40,17,34,
,110,-,2,-,125.00,18.45,325,106.00,119.70,325,"2,240.00",650,3.00,3.40,325,-2.05,3.05,23.80,18,-2,38,
,37,1,4,-,93.00,-1.55,325,90.15,98.90,325,"2,260.00",650,4.55,5.65,325,-2.40,4.65,23.02,19,5,53,
,29,-,-,-,-,-,325,69.45,82.55,975,"2,280.00",325,6.65,8.00,325,-3.10,7.80,23.13,9,1,28,
,201,-13,83,19.03,59.95,-3.10,325,57.05,62.05,975,"2,300.00",325,10.05,12.45,325,-3.55,11.55,22.49,31,-4,78,
,147,-,-,-,-,-,325,39.35,54.95,975,"2,320.00",325,15.95,19.25,325,-4.00,17.00,22.07,22,9,29,
,67,2,219,21.19,35.75,-1.05,325,33.90,36.50,325,"2,340.00",325,23.95,26.90,325,-4.50,25.50,-,17,8,49,
,103,-18,117,-,24.80,-3.20,325,24.50,26.80,325,"2,360.00",325,34.05,37.60,325,-5.85,36.00,23.00,25,9,35,
,53,3,46,-,17.75,-2.60,650,17.00,19.20,325,"2,380.00","1,300",42.45,56.80,"1,300",-,-,-,-,-,12,
,184,-17,200,22.31,12.70,-1.90,325,12.45,12.95,325,"2,400.00",325,56.25,68.90,325,-8.70,62.60,23.89,8,2,15,
,39,-,13,22.84,9.00,-3.65,325,7.75,8.95,325,"2,420.00",975,71.75,87.60,975,-,-,-,-,-,3,
,59,5,19,24.05,6.70,-0.65,325,5.15,6.80,325,"2,440.00","1,625",89.30,105.60,975,-,-,-,-,-,13,
,1,-,-,-,-,-,"5,200",1.80,7.60,"1,625","2,460.00","3,250",103.55,126.75,650,-,-,-,-,-,-,
,6,-,-,-,-,-,325,1.90,5.80,"1,625","2,480.00","1,625",125.50,153.65,975,-,-,-,-,-,-,
,52,-,37,26.94,2.65,-0.45,325,2.25,2.50,325,"2,500.00","1,625",144.80,163.15,975,-,-,-,-,-,5,
,-,-,-,-,-,-,"5,200",0.65,8.30,"3,250","2,520.00","1,300",165.15,195.05,975,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,250",0.30,6.80,"3,250","2,540.00","1,300",184.75,214.90,975,-,-,-,-,-,-,
,-,-,-,-,-,-,"3,250",0.25,5.80,"3,250","2,560.00","1,300",204.60,234.90,975,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,12.20,"1,300","2,580.00","1,625",222.40,254.90,975,-,-,-,-,-,-,
,-,-,-,-,-,-,"6,500",0.10,4.65,"1,625","2,600.00","1,625",242.40,274.80,975,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.70,"3,250","2,620.00","1,300",261.60,297.20,975,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.55,"3,250","2,640.00","1,625",282.00,317.15,975,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.40,"3,250","2,660.00","1,300",301.50,337.05,975,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.35,"3,250","2,680.00","1,625",322.50,357.10,975,-,-,-,-,-,-,
,3,-,-,-,-,-,"1,625",0.05,0.45,975,"2,700.00","1,300",341.85,360.45,"1,300",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,2.20,"3,250","2,720.00","1,625",361.90,393.50,975,-,-,-,-,-,-,
