CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"20,000",40.90,42.25,"20,000",157.50,-,-,0.05,"25,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"20,000",38.45,39.80,"20,000",160.00,-,-,0.05,"25,000",-,-,-,-,-,13,
,-,-,-,-,-,-,"20,000",35.95,37.35,"45,000",162.50,-,-,0.10,"1,00,000",-,-,-,-,-,-,
,1,-,-,-,-,-,"20,000",33.40,34.85,"20,000",165.00,-,-,0.05,"20,000",-,0.05,56.15,4,-2,51,
,-,-,-,-,-,-,"20,000",31.00,32.30,"20,000",167.50,-,-,0.10,"10,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"20,000",28.40,29.85,"45,000",170.00,-,-,0.05,"3,00,000",-,0.05,48.44,3,-2,335,
,-,-,-,-,-,-,"20,000",26.00,27.40,"20,000",172.50,-,-,0.10,"5,000",-,-,-,-,-,2,
,22,-,-,-,-,-,"20,000",23.50,24.85,"45,000",175.00,-,-,0.10,"2,35,000",-,0.05,40.85,16,-14,158,
,25,-,-,-,-,-,"20,000",21.00,22.35,"20,000",177.50,-,-,0.10,"5,000",-,0.05,37.08,25,-11,74,
,50,-1,4,-,20.00,4.15,"5,000",18.95,19.35,"5,000",180.00,"10,05,000",0.05,0.10,"5,35,000",-,0.05,33.32,44,-14,331,
,53,-,-,-,-,-,"20,000",16.05,17.30,"20,000",182.50,"90,000",0.05,0.15,"20,000",-,0.10,32.93,27,-21,54,
,68,-,-,-,-,-,"5,000",13.85,14.85,"45,000",185.00,"11,50,000",0.10,0.15,"2,00,000",-,0.15,31.06,107,-25,465,
,59,-,-,-,-,-,"5,000",11.30,12.45,"5,000",187.50,"2,80,000",0.15,0.20,"5,000",-0.05,0.20,28.36,61,-29,132,
,248,-4,74,-,9.50,-0.20,"10,000",9.45,9.60,"15,000",190.00,"90,000",0.30,0.35,"3,15,000",-0.05,0.35,27.26,375,-24,"1,746",
,73,-,90,-,7.15,-0.20,"5,000",7.15,7.25,"10,000",192.50,"1,65,000",0.45,0.55,"1,65,000",-0.15,0.45,24.66,223,12,264,
,351,-10,663,-,5.05,-0.20,"5,000",5.05,5.10,"15,000",195.00,"1,15,000",0.85,0.90,"1,20,000",-0.15,0.85,23.92,599,-34,745,
,297,-,980,12.14,3.25,-0.25,"20,000",3.25,3.30,"50,000",197.50,"5,000",1.55,1.60,"55,000",-0.15,1.60,23.74,695,3,329,
,"1,816",-314,"3,094",14.72,1.95,-0.25,"1,20,000",1.90,1.95,"35,000",200.00,"45,000",2.70,2.75,"40,000",-0.15,2.75,24.21,"1,360",-,855,
,274,36,"1,053",16.41,1.05,-0.25,"1,25,000",1.05,1.10,"70,000",202.50,"25,000",4.30,4.40,"20,000",-0.10,4.35,26.48,290,-6,108,
,"1,068",-13,922,18.31,0.60,-0.15,"3,80,000",0.55,0.60,"3,45,000",205.00,"20,000",6.30,6.40,"15,000",-0.05,6.35,29.60,390,-25,226,
,215,14,178,20.08,0.35,-0.10,"2,75,000",0.30,0.35,"1,80,000",207.50,"10,000",8.55,8.70,"10,000",-,8.60,33.69,43,-2,63,
,"1,289",44,528,21.54,0.20,-0.10,"18,70,000",0.20,0.25,"6,20,000",210.00,"10,000",10.90,11.10,"5,000",-0.05,10.95,37.98,84,-23,394,
,89,4,28,25.59,0.20,-0.05,"5,000",0.15,0.20,"95,000",212.50,"20,000",12.85,14.25,"35,000",-,-,-,-,-,31,
,600,-104,284,25.84,0.10,-0.10,"10,75,000",0.10,0.15,"7,05,000",215.00,"5,000",15.75,16.10,"5,000",-1.45,16.05,50.16,7,-2,176,
,71,3,9,29.27,0.10,-0.05,"2,90,000",0.05,0.15,"1,30,000",217.50,"20,000",17.80,19.15,"35,000",-,-,-,-,-,20,
,"2,370",-7,142,29.33,0.05,-0.05,"33,65,000",0.05,0.10,"13,05,000",220.00,"5,000",20.65,21.05,"5,000",-0.70,20.95,58.83,19,-8,296,
,20,-,2,35.82,0.10,0.05,"5,000",0.05,0.10,"2,10,000",222.50,-,-,-,-,-,-,-,-,-,-,
,203,-15,68,35.24,0.05,-,"20,000",0.05,0.10,"8,55,000",225.00,"20,000",25.25,26.60,"20,000",-,-,-,-,-,1,
,13,-,-,-,-,-,-,-,0.05,"5,000",227.50,-,-,-,-,-,-,-,-,-,-,
,89,-,1,40.90,0.05,-,-,-,0.05,"20,000",230.00,"5,000",30.40,31.10,"5,000",-0.65,30.10,59.82,10,-9,146,
,29,-,-,-,-,-,-,-,0.10,"1,00,000",232.50,-,-,-,-,-,-,-,-,-,-,
,141,-,-,-,-,-,-,-,0.05,"2,95,000",235.00,-,-,-,-,-,-,-,-,-,-,
,143,-,2,51.56,0.05,-,-,-,0.05,"80,000",240.00,"20,000",40.15,41.50,"20,000",-,-,-,-,-,9,
,56,-,-,-,-,-,-,-,0.05,"1,45,000",245.00,-,-,-,-,-,-,-,-,-,-,
,73,-,-,-,-,-,-,-,0.05,"3,30,000",250.00,"25,000",50.05,51.45,"20,000",-,-,-,-,-,1,
