CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,-,-,-,-,-,-,-,-,-,640.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,660.00,"31,000",0.05,0.20,"4,650",-,-,-,-,-,8,
,-,-,-,-,-,-,-,-,-,-,690.00,"31,000",0.05,0.30,"3,875",-,-,-,-,-,1,
,1,-,-,-,-,-,"7,750",258.35,267.05,"3,100",700.00,775,0.10,0.20,"6,200",-,0.10,80.19,1,-,43,
,-,-,-,-,-,-,-,-,-,-,710.00,"16,275",0.10,0.20,"3,875",-,-,-,-,-,4,
,-,-,-,-,-,-,-,-,-,-,720.00,"12,400",0.10,0.20,"3,875",-,-,-,-,-,6,
,1,-,-,-,-,-,"2,325",218.45,227.10,"3,100",740.00,"31,000",0.05,0.20,775,-,-,-,-,-,25,
,-,-,-,-,-,-,-,-,-,-,750.00,"14,725",0.10,0.20,"7,750",-0.05,0.20,-,5,-,35,
,1,-,-,-,-,-,"2,325",198.55,208.65,"2,325",760.00,"15,500",0.10,0.20,"3,875",-0.15,0.20,-,1,-,19,
,-,-,-,-,-,-,-,-,-,-,770.00,775,0.15,0.20,"3,875",-0.20,0.10,-,1,-,23,
,2,-,-,-,-,-,"2,325",178.55,187.25,"3,100",780.00,"7,750",0.20,0.25,"2,325",-0.15,0.25,-,2,-1,38,
,5,-,-,-,-,-,"2,325",168.65,177.15,"3,100",790.00,"16,275",0.10,0.30,"3,100",-,-,-,-,-,20,
,55,-1,7,-,164.00,15.00,775,163.00,165.65,775,800.00,"7,750",0.15,0.20,"10,075",-0.30,0.20,53.38,31,-9,181,
,14,-,-,-,-,-,"2,325",148.70,157.25,775,810.00,"73,625",0.10,0.35,775,-0.30,0.20,50.24,8,-3,21,
,43,-,-,-,-,-,"2,325",138.75,147.40,"3,100",820.00,"2,325",0.30,0.35,775,-0.85,0.35,50.75,30,4,124,
,19,-,-,-,-,-,"5,425",130.30,137.80,"5,425",830.00,"3,100",0.35,0.45,"3,875",-0.25,0.30,46.45,1,-,72,
,61,-,6,-,120.55,25.05,775,123.30,125.85,775,840.00,"33,325",0.30,0.45,"3,100",-0.05,0.60,-,11,-6,157,
,109,-,4,-,112.05,23.95,775,113.45,115.40,775,850.00,"26,350",0.40,0.45,"24,025",-0.35,0.40,-,26,-13,236,
,108,-1,3,-,104.50,25.35,"1,550",102.20,105.80,775,860.00,"2,325",0.50,0.60,"1,550",-0.30,0.55,-,26,-6,158,
,45,-,-,-,-,-,775,92.35,98.15,"5,425",870.00,"1,550",0.45,0.55,775,-0.50,0.45,-,27,-15,89,
,138,-1,12,-,83.90,13.50,775,83.75,85.50,775,880.00,775,0.55,0.75,"1,550",-0.45,0.70,-,144,-50,237,
,95,-,17,-,72.70,11.70,775,72.65,76.25,775,890.00,"4,650",0.85,0.90,"6,200",-0.85,0.90,-,96,-17,298,
,440,-19,87,-,64.60,12.75,775,64.20,65.75,775,900.00,"1,550",1.05,1.10,"96,875",-1.45,1.05,30.32,612,-48,770,
,260,-7,18,-,53.95,10.80,775,53.60,56.50,775,910.00,775,1.45,1.55,775,-1.85,1.55,29.06,172,-11,320,
,272,-20,206,-,46.50,12.30,775,45.30,46.95,775,920.00,"1,550",2.15,2.30,"1,550",-2.60,2.25,27.67,401,-38,340,
,216,-17,93,-,37.45,11.05,775,36.65,38.55,775,930.00,"9,300",3.35,3.50,"2,325",-3.55,3.40,26.63,423,2,250,
,270,-45,784,-,29.75,10.30,"1,550",28.65,29.65,775,940.00,775,5.10,5.35,775,-4.85,5.15,25.76,533,54,313,
,247,-141,"1,385",-,22.00,8.25,"1,550",21.25,22.00,775,950.00,775,7.60,8.00,"9,300",-6.15,7.90,25.42,888,53,254,
,443,110,"3,320",-,15.80,6.65,"1,550",15.40,15.75,775,960.00,775,11.45,11.70,"3,100",-8.10,11.40,24.68,905,142,225,
,261,-88,"1,869",-,11.00,5.25,"1,550",10.65,10.90,775,970.00,"1,550",16.05,16.90,775,-12.00,16.00,-,102,35,48,
,564,-145,"1,829",-,7.00,3.50,775,6.75,7.10,"1,550",980.00,"1,550",22.10,23.50,775,-11.40,22.50,-,13,5,14,
,185,16,481,22.71,4.35,2.30,775,4.15,4.30,775,990.00,775,28.65,30.95,775,-16.00,32.05,-,11,3,3,
,474,-3,954,22.76,2.55,1.25,775,2.50,2.60,"3,875","1,000.00",775,37.50,39.25,775,-31.10,37.60,24.72,16,-2,6,
,143,58,420,23.76,1.65,0.85,"1,550",1.60,1.75,775,"1,010.00","3,875",44.85,50.85,"2,325",-,-,-,-,-,3,
,144,57,182,24.90,1.10,0.40,"1,550",1.05,1.15,775,"1,020.00","3,875",54.15,61.00,"2,325",-,-,-,-,-,-,
,-,-,-,-,-,-,"3,875",0.45,2.65,"31,000","1,030.00","2,325",63.35,73.40,"2,325",-,-,-,-,-,-,
,131,14,51,28.77,0.70,0.05,775,0.65,0.70,775,"1,040.00","2,325",73.15,81.65,"2,325",-,-,-,-,-,-,
,20,-,1,36.24,0.90,0.55,"4,650",0.15,0.80,775,"1,060.00","2,325",92.80,102.30,"2,325",-,-,-,-,-,-,
