CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,"12,600",37.10,38.40,"12,600",140.00,-,-,0.10,"31,500",-,-,-,-,-,82,
,1,-,-,-,-,-,"12,600",32.10,33.40,"12,600",145.00,-,-,0.05,"3,150",-,-,-,-,-,65,
,11,-,2,63.29,27.90,4.90,"3,150",27.50,28.10,"3,150",150.00,-,-,0.05,"12,600",-,-,-,-,-,121,
,20,-,-,-,-,-,"9,450",24.60,26.00,"12,600",152.50,-,-,0.10,"28,350",-,-,-,-,-,23,
,110,-,-,-,-,-,"31,500",22.05,23.40,"22,050",155.00,-,-,0.05,"18,900",-,0.05,42.00,10,-9,124,
,106,-,1,-,19.60,3.10,"3,150",20.10,20.65,"3,150",157.50,-,-,0.10,"40,950",-,0.10,41.87,4,-,71,
,129,-,9,43.77,17.95,2.15,"3,150",17.75,18.20,"3,150",160.00,"9,19,800",0.05,0.10,"34,650",-,0.10,37.22,124,28,439,
,93,-23,42,55.73,16.20,4.50,"3,150",15.20,15.70,"3,150",162.50,"2,42,550",0.05,0.10,"6,300",-0.05,0.10,32.56,18,4,130,
,212,5,21,50.59,13.80,3.05,"3,150",12.95,13.15,"3,150",165.00,"3,87,450",0.10,0.15,"2,77,200",-0.10,0.15,30.11,80,-6,381,
,87,2,20,31.20,10.60,2.15,"9,450",10.50,10.65,"3,150",167.50,"97,650",0.15,0.20,"2,70,900",-0.20,0.15,25.12,170,27,139,
,466,10,449,28.00,8.25,2.00,"9,450",8.15,8.25,"3,150",170.00,"4,75,650",0.25,0.30,"1,00,800",-0.35,0.30,23.81,859,-27,"1,052",
,156,-77,355,24.98,6.00,1.75,"15,750",5.95,6.05,"3,150",172.50,"75,600",0.55,0.60,"1,54,350",-0.65,0.55,21.99,709,-5,317,
,800,-472,"2,278",22.91,4.00,1.30,"56,700",4.00,4.10,"25,200",175.00,"1,26,000",1.10,1.15,"88,200",-1.00,1.10,21.76,"1,412",-212,765,
,609,66,"1,766",22.68,2.50,0.90,"56,700",2.50,2.60,"66,150",177.50,"59,850",2.05,2.15,"66,150",-1.45,2.05,21.23,"1,029",114,448,
,"2,201",58,"6,333",23.35,1.50,0.60,"1,35,450",1.45,1.55,"2,42,550",180.00,"22,050",3.50,3.55,"12,600",-1.75,3.55,21.36,"1,099",43,"1,438",
,671,228,"1,761",23.39,0.80,0.30,"75,600",0.80,0.85,"1,07,100",182.50,"12,600",5.30,5.40,"9,450",-2.10,5.35,20.91,244,-,207,
,"1,052",85,"1,772",24.53,0.45,0.15,"2,80,350",0.45,0.50,"2,77,200",185.00,"3,150",7.45,7.60,"12,600",-2.55,7.15,-,121,-30,357,
,272,88,651,25.65,0.25,0.05,"1,66,950",0.25,0.30,"1,63,800",187.50,"6,300",9.75,9.90,"6,300",-2.10,9.85,19.72,51,-6,59,
,"1,270",66,481,28.86,0.20,0.05,"5,95,350",0.15,0.20,"3,59,100",190.00,"6,300",12.15,12.30,"12,600",-2.30,12.20,-,78,-19,448,
,209,30,273,31.35,0.15,-,"1,16,550",0.10,0.15,"15,750",192.50,"3,150",14.55,14.85,"3,150",-6.35,14.65,-,42,-,53,
,556,24,162,32.92,0.10,-,"2,70,900",0.10,0.15,"2,04,750",195.00,"3,150",17.00,17.30,"3,150",-3.45,16.45,-,40,-,317,
,74,-48,64,36.62,0.10,-,"1,41,750",0.05,0.10,"3,150",197.50,"3,150",19.25,20.00,"3,150",-6.35,18.85,-,8,-,35,
,"1,177",-41,528,40.21,0.10,0.05,"16,03,350",0.05,0.10,"2,61,450",200.00,"3,150",21.65,22.25,"3,150",-2.70,21.70,-,21,-11,712,
,100,8,23,43.71,0.10,0.05,"56,700",0.05,0.10,"28,350",202.50,"3,150",24.25,24.90,"3,150",-2.80,23.80,-,8,2,23,
,182,7,20,42.69,0.05,-,"1,16,550",0.05,0.10,"1,41,750",205.00,"15,750",26.55,27.50,"15,750",-,-,-,-,-,658,
,397,-,-,-,-,-,"5,00,850",0.05,0.10,"2,80,350",210.00,"3,150",31.65,32.25,"3,150",-2.85,31.85,-,1,-,101,
,85,-9,23,54.71,0.05,-,-,-,0.10,"3,27,600",215.00,"12,600",36.45,37.90,"22,050",-,-,-,-,-,26,
,74,-,6,60.37,0.05,-,-,-,0.10,"2,99,250",220.00,"15,750",41.45,42.90,"9,450",-,-,-,-,-,11,
,63,-,31,65.84,0.05,-,-,-,0.05,"1,03,950",225.00,"12,600",46.40,47.85,"22,050",-,-,-,-,-,62,
