CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,450,829.85,876.45,450,"3,600.00",900,2.10,2.20,150,0.90,2.10,67.85,202,29,134,
,-,-,-,-,-,-,450,638.60,676.00,450,"3,800.00",300,3.30,3.40,150,0.90,3.40,57.10,977,-7,562,
,8,-,-,-,-,-,600,541.65,572.85,600,"3,900.00",600,4.55,4.75,300,0.70,4.60,-,"1,776",276,649,
,184,-,67,-,463.75,14.15,150,454.90,465.80,150,"4,000.00",450,6.75,7.00,150,1.25,7.00,-,"3,764",336,"2,060",
,62,-2,5,-,370.00,-96.35,600,352.90,371.25,150,"4,100.00","1,200",10.85,11.35,450,1.70,11.20,-,"6,073",574,"1,637",
,270,-21,260,-,277.00,11.50,150,271.20,278.25,150,"4,200.00",450,17.95,18.85,150,2.15,18.40,-,"9,942",631,"2,147",
,666,202,"1,091",-,185.00,9.50,150,185.30,190.40,300,"4,300.00","3,150",32.30,32.90,300,2.60,32.40,-,"16,377","1,772","3,179",
,"3,111","1,152","14,797",-,118.00,13.85,150,118.00,119.00,150,"4,400.00",150,62.40,63.00,"1,350",1.95,63.00,37.14,"18,890",741,"3,087",
,"9,191","3,535","44,085",-,70.95,11.65,150,70.60,70.95,150,"4,500.00",300,112.90,115.90,150,1.40,115.70,39.81,"23,415","1,236","4,388",
,"13,237","6,305","64,458",33.27,41.20,9.10,"1,650",41.00,41.50,300,"4,600.00",150,183.75,187.60,300,-3.35,183.50,42.47,"6,412",310,"2,325",
,"7,767","2,857","36,805",35.34,23.10,6.75,150,23.10,23.50,300,"4,700.00",150,265.05,271.15,150,-5.35,264.95,46.50,"1,078",-65,888,
,"6,984","2,488","35,059",38.03,13.70,5.20,900,13.60,13.80,150,"4,800.00",150,354.50,361.50,300,-9.00,354.00,51.19,225,-5,967,
,"3,395","1,335","15,774",40.72,8.60,3.55,"1,650",8.20,8.65,600,"4,900.00",150,448.60,456.10,450,-8.95,445.45,55.08,109,26,855,
,"7,697","1,541","21,590",43.45,5.40,1.90,"1,950",5.35,5.45,"1,500","5,000.00",150,542.45,551.55,300,-16.05,542.35,61.14,169,-87,"1,198",
,"2,356",986,"8,752",46.32,3.70,1.35,450,3.60,3.80,450,"5,100.00",300,639.45,651.80,300,49.75,611.75,-,4,-1,185,
,997,-19,"2,852",49.27,2.65,0.95,450,2.65,2.75,150,"5,200.00",150,742.00,749.25,150,71.90,727.05,-,17,-11,204,
,853,214,"1,374",52.14,1.95,0.60,300,2.00,2.05,300,"5,300.00",300,836.45,847.65,150,13.00,790.90,-,4,-1,172,
,205,58,267,-,1.80,0.65,150,1.75,1.80,450,"5,400.00",150,931.70,958.60,600,-,-,-,-,-,193,
,141,15,185,-,1.40,0.70,150,1.30,1.50,750,"5,500.00",150,"1,037.70","1,057.15",300,-31.65,"1,028.35",-,11,-1,146,
,42,10,24,-,1.10,0.05,150,0.80,1.50,300,"5,600.00",450,"1,123.30","1,161.80",150,-,-,-,-,-,43,
,170,-5,17,66.19,0.65,-0.10,150,0.80,1.00,300,"5,800.00",-,-,-,-,-,-,-,-,-,-,
