CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,000",319.25,331.95,"2,500","1,240.00","6,000",0.05,1.20,500,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,000",279.35,292.05,"2,500","1,280.00","15,000",0.10,1.20,500,-,0.25,-,-,-,6,
,-,-,-,-,-,-,"2,000",259.35,272.15,"2,500","1,300.00","6,000",0.05,1.30,500,-,-,-,-,-,-,
,1,-,-,-,196.00,-,"2,000",238.80,251.25,"2,000","1,320.00",500,0.15,0.60,500,-,0.15,-,-,-,31,
,-,-,-,-,-,-,"2,000",219.45,232.40,"2,500","1,340.00","6,000",0.10,1.45,500,-,0.70,-,-,-,38,
,-,-,-,-,-,-,"1,500",195.15,212.45,"2,500","1,360.00","1,500",0.30,0.70,500,-,0.50,44.94,5,-3,67,
,8,-,-,-,85.10,-1.20,500,179.70,191.65,"2,000","1,380.00",500,0.50,1.10,500,0.10,0.50,40.99,4,-,75,
,33,-,-,-,161.20,-,"2,500",160.25,171.65,500,"1,400.00",500,0.75,0.95,500,0.05,0.80,-,12,-2,244,
,32,-,-,-,137.65,-,"2,000",140.00,151.85,"2,000","1,420.00",500,0.50,1.50,500,-,0.95,-,4,-1,74,
,33,-,-,-,118.65,-,"1,500",120.20,132.20,"2,000","1,440.00",500,0.75,1.45,500,-0.35,0.90,-,25,-12,165,
,105,-,-,-,112.00,-,"1,500",101.80,110.00,500,"1,460.00",500,1.35,1.60,"1,500",0.05,1.65,31.41,63,-5,289,
,131,-4,7,-,89.35,-3.15,500,82.80,90.20,500,"1,480.00",500,1.95,2.10,500,-0.25,1.90,27.62,135,6,183,
,312,8,38,-,67.70,-5.50,500,64.05,69.50,500,"1,500.00",500,2.85,3.20,500,-0.05,3.05,-,314,-60,379,
,147,-4,55,-,50.25,-4.75,500,49.65,53.60,500,"1,520.00",500,4.85,5.20,500,0.10,5.10,-,804,-109,741,
,266,-25,128,13.40,34.70,-5.10,500,32.50,36.65,500,"1,540.00",500,9.05,9.65,500,0.10,9.35,-,568,10,303,
,393,35,848,17.37,22.85,-3.60,500,22.25,23.40,500,"1,560.00",500,16.20,17.10,500,0.90,17.05,-,567,-13,285,
,437,-57,"1,053",18.74,13.50,-3.00,500,13.30,13.85,"1,000","1,580.00",500,26.70,30.15,500,1.30,27.40,25.56,164,6,209,
,655,-78,"1,073",-,7.30,-2.45,"1,000",7.30,8.05,500,"1,600.00",500,39.10,46.45,500,3.30,42.05,-,53,-6,88,
,454,-39,740,-,4.10,-1.15,500,4.05,4.30,500,"1,620.00",500,52.75,59.65,500,-13.95,56.45,-,1,1,5,
,224,-12,129,-,2.20,-0.85,500,2.15,2.55,500,"1,640.00","2,000",70.60,81.55,500,-,71.15,-,-,-,12,
,104,-11,48,23.36,1.40,-0.35,500,1.30,1.60,500,"1,660.00","2,500",90.25,100.70,"1,000",-,165.95,-,-,-,1,
,100,-,1,26.49,1.20,-0.10,500,0.75,1.65,500,"1,680.00","2,000",109.95,120.50,"2,500",-,-,-,-,-,-,
,260,78,137,-,0.80,-0.15,"9,500",0.70,0.90,500,"1,700.00",500,130.05,136.20,500,3.35,135.85,49.09,9,-1,71,
,67,-,-,-,0.95,-,500,0.30,1.80,500,"1,720.00","2,500",148.35,161.55,"2,000",-,190.00,-,-,-,1,
,15,-,-,-,0.30,-,"21,000",0.15,1.40,"2,000","1,740.00","2,500",167.80,181.40,"2,000",-,235.00,-,-,-,1,
,17,-,-,-,0.40,-,"21,000",0.15,1.70,500,"1,760.00","5,000",187.95,201.35,"2,000",-,231.00,-,-,-,1,
,25,-1,1,-,0.25,-0.05,"21,500",0.15,0.25,"5,000","1,800.00","2,000",227.60,244.30,"1,500",-,276.00,-,-,-,1,
