CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,775",130.80,138.45,"4,625",500.00,-,-,0.50,"7,400",-,1.00,-,-,-,1,
,3,-,-,-,92.25,-,"2,775",110.65,118.75,"1,850",520.00,-,-,0.40,"2,775",-,0.05,-,-,-,7,
,-,-,-,-,-,-,"2,775",91.05,99.20,"2,775",540.00,-,-,0.55,"1,850",-0.05,0.25,-,-,-,20,
,1,-,-,-,69.95,-,"2,775",81.35,89.85,"2,775",550.00,-,-,1.15,"4,625",-,0.25,-,-,-,41,
,1,-,-,-,52.60,-,"2,775",71.30,77.90,"3,700",560.00,"1,850",0.05,0.30,"1,850",0.20,0.45,45.58,1,-,34,
,3,-,-,-,53.55,-,"2,775",61.65,68.30,"3,700",570.00,925,0.25,0.95,"1,850",-,0.45,-,-,-,53,
,22,-,-,-,71.00,-,"3,700",53.90,58.40,"2,775",580.00,925,0.35,0.50,925,-,0.50,35.56,37,24,118,
,20,-1,3,35.35,47.35,6.15,"1,850",45.85,48.70,"4,625",590.00,925,0.60,0.75,925,-0.10,0.65,31.73,20,-5,79,
,68,-1,5,-,35.55,-,925,36.35,37.80,925,600.00,925,1.00,1.20,925,-0.25,1.15,29.80,40,10,280,
,110,-8,17,18.64,26.80,0.30,"1,850",26.10,28.70,925,610.00,925,1.85,2.05,925,-0.25,2.15,28.41,39,6,192,
,296,-10,40,26.05,19.95,1.75,925,19.00,19.95,925,620.00,925,3.50,3.80,"1,850",-0.75,3.60,26.08,132,33,336,
,301,-8,173,24.55,12.70,0.85,925,11.85,13.75,925,630.00,925,6.30,6.90,925,-1.05,6.80,25.88,161,36,316,
,466,8,582,24.43,7.50,0.55,925,7.30,7.50,"2,775",640.00,925,10.90,12.85,925,-2.05,10.95,24.03,72,-12,131,
,583,-24,424,23.45,3.70,-0.20,925,4.00,4.15,"2,775",650.00,925,16.80,18.70,925,0.35,19.80,31.10,9,-1,346,
,431,-13,309,26.02,2.30,0.20,925,2.20,2.30,"5,550",660.00,925,25.25,27.05,925,-0.95,26.05,26.81,6,-,166,
,249,-5,57,28.05,1.40,0.20,925,1.20,1.40,925,670.00,"2,775",33.35,38.70,"2,775",-,32.30,-,-,-,19,
,181,37,96,29.03,0.75,-0.05,925,0.75,0.90,"4,625",680.00,"2,775",42.60,48.20,"3,700",-,46.00,-,-,-,13,
,74,20,32,32.40,0.60,0.25,925,0.45,0.65,"1,850",690.00,"1,850",52.55,57.40,"2,775",-,-,-,-,-,-,
,197,-35,102,35.04,0.45,0.05,"1,850",0.30,0.45,"1,850",700.00,"1,850",62.15,69.15,"2,775",-,84.80,-,-,-,6,
,35,-,-,-,0.30,-,"9,250",0.10,0.55,"2,775",710.00,-,-,-,-,-,-,-,-,-,-,
,6,-,-,-,0.20,-,"24,050",0.05,1.95,"37,000",720.00,"3,700",81.45,88.50,"3,700",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,0.70,"1,850",730.00,-,-,-,-,-,-,-,-,-,-,
,13,-,-,-,0.15,-,925,0.05,0.50,"1,850",740.00,"4,625",102.05,108.95,"2,775",-,-,-,-,-,-,
,7,-,1,53.84,0.25,-,925,0.05,0.15,"5,550",760.00,-,-,-,-,-,-,-,-,-,-,
