CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,7,-,-,-,-,-,"1,875",210.10,219.90,"2,500",800.00,"1,875",0.10,0.70,"3,125",-,-,-,-,-,75,
,4,-,-,-,-,-,"1,875",187.40,199.60,"9,375",820.00,625,0.10,0.70,625,-,-,-,-,-,84,
,1,-,-,-,-,-,"1,875",167.45,179.00,"3,125",840.00,"1,250",0.10,0.80,625,-,-,-,-,-,158,
,2,-,-,-,-,-,"1,875",157.20,168.60,625,850.00,625,0.15,0.30,"1,250",-0.10,0.15,49.37,4,-,27,
,5,-,-,-,-,-,"1,875",150.50,159.50,625,860.00,625,0.20,0.90,"1,875",-,-,-,-,-,54,
,1,-,-,-,-,-,"2,500",137.95,149.60,"1,875",870.00,625,0.20,0.40,625,-,-,-,-,-,54,
,-,-,-,-,-,-,"1,875",127.35,139.65,"1,875",880.00,"2,500",0.25,0.45,625,-,-,-,-,-,230,
,9,-,-,-,-,-,"4,375",117.30,128.80,625,890.00,625,0.25,0.40,625,-,-,-,-,-,103,
,22,-,-,-,-,-,"1,875",111.05,118.15,625,900.00,"1,875",0.30,0.35,"5,625",-0.10,0.35,39.43,10,-4,195,
,4,-,-,-,-,-,"1,875",102.10,109.35,"6,250",910.00,625,0.35,0.45,"1,250",-0.05,0.40,37.11,3,-,101,
,19,-,-,-,-,-,"1,875",88.70,98.65,625,920.00,625,0.50,0.60,"8,125",-,0.60,36.32,8,-2,168,
,29,-,-,-,-,-,"3,750",78.15,89.30,"5,000",930.00,"1,250",0.60,0.70,"1,250",-0.30,0.65,33.52,70,-41,95,
,50,-,-,-,-,-,"1,875",72.00,80.00,"1,875",940.00,"1,875",0.80,0.90,"3,750",-0.40,0.85,31.78,55,33,269,
,77,-1,8,-,63.40,5.65,625,64.95,67.10,625,950.00,"3,750",0.95,1.05,625,-0.70,1.05,29.59,241,-40,897,
,97,-2,26,-,51.50,3.25,625,55.45,57.70,"1,250",960.00,"1,875",1.40,1.50,"1,250",-1.10,1.45,28.24,505,-228,341,
,114,-8,38,-,47.20,7.10,625,46.50,48.30,"1,250",970.00,"1,875",2.15,2.25,625,-1.65,2.30,26.88,267,15,486,
,289,-4,74,21.01,38.25,5.85,625,38.05,39.15,625,980.00,625,3.30,3.45,"1,250",-2.15,3.55,26.24,416,39,423,
,250,-24,103,16.47,29.50,4.90,625,29.60,30.85,625,990.00,"1,250",5.05,5.40,"1,250",-3.00,5.15,26.82,402,-,363,
,997,-326,"1,935",18.38,23.00,4.45,625,23.00,23.55,"1,250","1,000.00",625,7.75,8.15,625,-4.00,8.10,26.00,663,-37,821,
,478,121,"1,717",19.95,17.75,4.25,625,17.10,17.70,"1,875","1,010.00",625,11.85,12.50,625,-5.05,11.80,26.50,220,69,148,
,801,19,"1,464",21.16,12.30,2.85,625,12.30,12.65,625,"1,020.00",625,17.00,17.65,625,-5.40,17.80,27.97,102,20,141,
,368,-2,557,22.44,8.85,2.30,"1,250",8.40,8.85,"1,875","1,030.00",625,22.70,24.00,625,-7.15,22.00,25.34,28,11,68,
,702,-6,250,22.51,5.90,1.55,"1,250",5.60,5.95,"1,250","1,040.00",625,29.75,31.35,625,-36.65,30.55,28.76,23,3,49,
,939,28,552,23.55,3.80,0.90,"1,250",3.85,4.00,625,"1,050.00","1,250",37.60,39.50,625,-10.65,37.70,28.33,5,-,36,
,241,19,90,24.16,2.40,0.35,625,2.60,2.80,625,"1,060.00","1,250",46.35,48.30,625,-4.65,52.70,43.61,21,-3,22,
,144,41,138,25.62,1.80,0.35,"2,500",1.75,1.95,"1,250","1,070.00",625,55.55,59.15,"3,750",-,-,-,-,-,13,
,197,-9,77,27.53,1.40,0.25,"3,125",1.30,1.40,625,"1,080.00",625,64.85,67.05,625,-27.80,78.00,64.17,1,-,9,
,62,1,42,28.59,1.00,0.20,"1,250",1.00,1.10,"1,250","1,090.00","4,375",72.30,78.95,"3,750",-,-,-,-,-,9,
,609,-12,184,30.21,0.80,-,"1,875",0.80,0.90,"5,625","1,100.00",625,82.35,92.80,"1,875",-,-,-,-,-,41,
,158,-3,4,32.45,0.45,0.10,"1,875",0.40,0.55,"1,875","1,120.00","1,875",100.75,110.45,"1,875",-,-,-,-,-,3,
,258,-,1,34.38,0.25,-,625,0.15,0.25,"2,500","1,140.00","3,125",121.25,132.80,"1,875",-,-,-,-,-,-,
