CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,7,-,-,-,-,-,"2,500",210.40,218.75,"2,500",800.00,"1,875",0.10,0.25,"3,750",-,0.10,61.35,1,-,75,
,4,-,-,-,-,-,"2,500",190.30,198.10,"3,125",820.00,625,0.10,0.25,"1,250",-,-,-,-,-,84,
,1,-,-,-,-,-,"1,875",170.10,177.85,"2,500",840.00,"1,250",0.10,0.70,"1,250",-,-,-,-,-,158,
,2,-,-,-,-,-,"1,875",160.55,168.10,625,850.00,"34,375",0.10,0.30,"1,875",-0.10,0.15,49.42,4,-,27,
,5,-,-,-,-,-,"2,500",151.05,158.85,"3,125",860.00,625,0.20,0.80,625,-,-,-,-,-,54,
,1,-,-,-,-,-,"2,500",140.70,148.80,"2,500",870.00,"39,375",0.15,0.40,"2,500",-,-,-,-,-,54,
,-,-,-,-,-,-,"1,875",130.85,138.95,"2,500",880.00,"5,625",0.25,0.50,"1,250",-,-,-,-,-,230,
,9,-,-,-,-,-,"4,375",120.65,128.25,"2,500",890.00,"60,625",0.15,0.35,"2,500",-,-,-,-,-,103,
,22,-,-,-,-,-,"1,875",110.65,118.20,"2,500",900.00,"11,250",0.20,0.25,625,-0.20,0.25,-,20,-14,185,
,4,-,-,-,-,-,"4,375",100.75,109.15,"4,375",910.00,625,0.30,0.45,625,-0.05,0.40,-,11,-3,98,
,19,-,-,-,-,-,"4,375",90.80,99.20,"4,375",920.00,625,0.35,0.50,"7,500",-0.15,0.45,34.69,15,-4,166,
,29,-,-,-,-,-,"4,375",81.10,89.30,"4,375",930.00,625,0.50,0.55,625,-0.45,0.50,32.09,95,-44,92,
,50,-,-,-,-,-,"4,375",71.60,79.50,"5,000",940.00,"1,250",0.60,0.75,625,-0.60,0.65,30.27,104,6,242,
,77,-1,13,27.83,68.85,11.10,625,64.85,67.10,625,950.00,"1,250",0.80,0.90,625,-0.95,0.80,28.72,312,-54,883,
,96,-3,34,24.25,58.85,10.60,625,55.30,57.20,"1,250",960.00,625,1.30,1.40,"1,250",-1.15,1.40,27.85,623,-269,300,
,111,-11,49,-,47.35,7.25,"1,875",45.55,47.35,"1,250",970.00,"1,875",1.95,2.15,"1,250",-1.90,2.05,26.60,394,39,510,
,260,-33,170,-,38.10,5.70,"1,250",37.10,38.80,"1,250",980.00,625,3.00,3.10,"1,250",-2.65,3.05,25.49,706,54,438,
,210,-64,254,15.53,30.00,5.40,625,27.50,31.05,625,990.00,"3,125",4.65,4.80,"1,875",-3.40,4.75,24.93,705,-10,353,
,846,-477,"2,660",-,22.50,3.95,625,22.15,22.85,625,"1,000.00",625,7.45,7.60,"2,500",-4.55,7.55,-,"1,317",-84,774,
,263,-94,"2,264",-,16.35,2.85,"1,250",16.10,16.45,625,"1,010.00",625,10.95,11.40,625,-5.45,11.40,-,542,83,162,
,829,47,"2,917",20.25,11.50,2.05,625,11.30,11.55,625,"1,020.00",625,16.20,16.90,625,-6.70,16.50,-,355,46,167,
,337,-33,"1,144",21.25,7.90,1.35,625,7.45,7.90,"4,375","1,030.00",625,21.50,24.85,625,-6.65,22.50,-,62,18,75,
,790,82,839,21.49,4.80,0.45,625,4.80,5.10,"3,125","1,040.00","1,250",29.25,32.35,625,-37.00,30.20,-,161,82,128,
,834,-77,"1,129",22.22,3.25,0.35,"1,250",3.15,3.25,625,"1,050.00",625,36.65,40.50,625,-9.60,38.75,-,13,-1,35,
,247,25,185,23.13,2.10,0.05,625,2.10,2.25,"1,250","1,060.00","1,250",45.15,48.80,625,-13.10,44.25,-,28,-5,20,
,144,41,217,24.34,1.45,-,625,1.45,1.60,"1,875","1,070.00",625,55.50,57.70,625,-9.15,53.80,-,14,1,14,
,224,18,162,25.99,1.10,-0.05,"1,250",1.10,1.20,"2,500","1,080.00","1,250",64.35,67.40,625,-42.55,63.25,28.42,4,2,11,
,57,-4,72,27.27,0.80,-,625,0.80,0.95,"1,250","1,090.00",625,74.50,77.45,625,-23.30,70.95,-,1,-,9,
,629,8,334,-,0.70,-0.10,625,0.70,0.75,"1,875","1,100.00","1,250",82.35,90.05,"1,875",-,-,-,-,-,41,
,164,3,38,-,0.35,-,"28,750",0.30,0.45,"2,500","1,120.00","2,500",101.90,109.65,"1,875",-,-,-,-,-,3,
,260,2,26,-,0.15,-0.10,"26,875",0.10,0.15,"5,625","1,140.00","1,875",120.85,129.40,"1,875",-,-,-,-,-,-,
