CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,260.00,"14,100",0.05,0.10,"1,69,200",-,0.05,63.60,7,-,289,
,37,-,-,-,-,-,"7,050",58.30,61.05,"9,400",270.00,"1,57,450",0.05,0.10,"1,45,700",-,0.05,54.47,3,-1,175,
,4,-,-,-,-,-,"7,050",52.65,56.35,"7,050",275.00,"77,550",0.05,0.10,"2,350",-,0.10,54.49,13,-2,81,
,53,-,-,-,-,-,"7,050",47.75,51.25,"16,450",280.00,"21,150",0.10,0.15,"51,700",-,0.15,49.73,42,-15,324,
,-,-,-,-,-,-,-,-,-,-,285.00,"16,450",0.10,0.15,"9,400",-0.05,0.10,45.01,16,10,201,
,130,-,-,-,-,-,"23,500",38.35,41.40,"23,500",290.00,"7,050",0.15,0.20,"4,700",-,0.20,42.80,21,1,620,
,33,-,-,-,-,-,"18,800",33.40,36.70,"16,450",295.00,"2,350",0.20,0.25,"11,750",-,0.20,39.73,14,-3,244,
,315,-4,16,50.06,31.00,-1.90,"2,350",30.10,30.50,"2,350",300.00,"1,73,900",0.25,0.30,"1,48,050",-0.05,0.30,37.33,185,-3,"1,588",
,93,4,13,41.63,25.85,-1.80,"2,350",25.20,25.50,"7,050",305.00,"51,700",0.35,0.40,"86,950",-0.10,0.35,32.99,103,10,"1,137",
,529,3,48,39.10,20.70,-2.25,"4,700",20.50,20.75,"4,700",310.00,"91,650",0.55,0.65,"1,08,100",-0.05,0.60,31.19,"1,377",-567,"1,479",
,302,-1,78,35.97,16.10,-2.25,"2,350",15.95,16.15,"4,700",315.00,"54,050",1.00,1.05,"82,250",0.05,1.00,29.16,715,9,"1,441",
,976,62,827,29.74,11.75,-2.25,"4,700",11.80,11.85,"2,350",320.00,"70,500",1.75,1.80,"42,300",0.25,1.85,27.71,926,-2,"1,637",
,799,-60,"1,426",28.04,8.10,-1.90,"4,700",8.05,8.10,"2,350",325.00,"14,100",3.05,3.10,"23,500",0.45,3.10,26.71,"1,342",-,"1,525",
,"3,149",359,"4,089",27.33,5.25,-1.55,"9,400",5.25,5.30,"35,250",330.00,"14,100",5.20,5.25,"2,350",0.75,5.20,26.67,"2,019",48,"1,703",
,"2,410",64,"2,459",27.79,3.25,-1.10,"56,400",3.20,3.25,"18,800",335.00,"7,050",8.15,8.25,"7,050",1.25,8.25,27.15,596,-25,497,
,"3,485",434,"2,484",28.29,1.90,-0.70,"89,300",1.85,1.90,"44,650",340.00,"7,050",11.75,11.90,"2,350",1.70,11.95,24.86,290,-8,847,
,"1,334",-55,726,29.25,1.15,-0.40,"1,92,700",1.10,1.15,"70,500",345.00,"7,050",15.95,16.15,"4,700",2.05,16.20,22.30,70,-12,138,
,"4,247",-72,"1,075",31.19,0.75,-0.20,"4,70,000",0.70,0.75,"1,66,850",350.00,"2,350",20.40,20.70,"2,350",1.85,20.30,25.33,9,-,"1,014",
,539,-10,210,33.11,0.50,-0.10,"1,24,550",0.45,0.50,"1,59,800",355.00,"2,350",25.25,25.50,"2,350",0.75,25.00,20.48,4,-1,51,
,"1,296",76,506,34.13,0.30,-0.15,"6,88,550",0.30,0.35,"7,00,300",360.00,"2,350",29.95,30.45,"7,050",0.10,28.85,-,1,-,356,
,296,61,113,37.17,0.25,-0.05,"5,40,500",0.20,0.25,"2,60,850",365.00,"23,500",33.65,36.70,"16,450",-,-,-,-,-,36,
,"1,863",-50,235,37.94,0.15,-0.05,"20,68,000",0.15,0.20,"6,86,200",370.00,"2,350",39.10,40.80,"2,350",-,-,-,-,-,144,
