CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,-,-,-,-,"3,400",181.05,192.15,"3,400",580.00,-,-,3.05,"34,000",-,-,-,-,-,12,
,3,-,-,-,-,-,"2,550",171.05,182.35,"2,550",590.00,-,-,2.15,"34,000",-,-,-,-,-,1,
,6,-,-,-,-,-,"2,550",161.50,169.35,"1,700",600.00,"2,550",0.10,0.15,"1,700",-0.05,0.10,64.88,3,-1,67,
,4,-,-,-,-,-,"2,550",151.35,160.25,"2,550",610.00,850,0.05,0.25,850,-0.65,0.05,56.73,1,-,14,
,8,-,-,-,-,-,"2,550",141.95,149.35,"2,550",620.00,850,0.10,0.80,"2,550",-,-,-,-,-,32,
,4,-,-,-,-,-,"2,550",131.40,139.20,"3,400",630.00,"3,400",0.15,0.25,"1,700",-0.10,0.25,-,1,-,20,
,11,-,-,-,-,-,"2,550",122.55,129.40,"4,250",640.00,"44,200",0.10,0.20,"5,950",-0.05,0.20,53.80,69,-,111,
,14,-,2,101.01,125.70,17.70,850,112.65,118.00,850,650.00,"70,550",0.10,0.40,"3,400",-0.15,0.25,51.28,13,-12,36,
,28,-,3,60.63,110.00,12.00,850,103.95,108.25,850,660.00,"3,400",0.20,0.45,850,-0.40,0.25,50.53,6,1,68,
,34,-,1,84.60,105.00,22.50,850,94.10,98.60,850,670.00,"87,550",0.15,0.50,"2,550",0.05,0.50,47.92,1,-,45,
,86,1,8,61.14,91.50,29.00,850,84.05,90.10,"7,650",680.00,"11,050",0.30,0.50,"1,700",-0.20,0.40,41.97,22,-3,115,
,55,-2,13,52.51,81.00,37.60,850,75.65,77.60,850,690.00,"4,250",0.45,0.65,850,-0.40,0.55,39.80,70,24,107,
,134,-6,10,-,70.00,11.50,850,65.05,67.75,850,700.00,850,0.65,0.75,"1,700",-0.55,0.65,-,100,-8,171,
,63,-5,10,-,55.70,4.90,850,56.30,58.65,850,710.00,"4,250",0.90,0.95,"11,900",-0.65,0.90,-,67,-5,102,
,151,-2,43,-,48.00,7.95,850,46.70,48.40,850,720.00,850,1.10,1.35,850,-1.00,1.35,32.22,137,-9,173,
,182,-8,44,-,38.55,7.10,"1,700",36.35,39.05,850,730.00,850,1.85,2.05,850,-1.65,2.00,30.17,154,46,135,
,90,-18,54,-,27.80,4.30,850,28.75,32.45,"5,100",740.00,850,3.20,3.45,850,-2.70,3.35,29.31,225,54,180,
,167,-70,288,21.51,22.00,5.10,850,21.40,22.05,850,750.00,850,5.45,5.95,850,-3.60,5.75,29.34,313,-19,143,
,115,-76,459,21.53,14.90,3.20,850,15.05,16.20,850,760.00,850,8.35,9.45,850,-4.50,9.50,-,432,3,123,
,197,36,713,23.93,10.40,2.45,850,10.40,11.05,850,770.00,850,13.30,14.70,850,-4.50,15.00,32.06,269,26,100,
,209,8,687,24.22,6.45,1.45,"3,400",6.50,6.95,850,780.00,850,19.05,21.10,850,-9.70,19.50,29.26,166,125,144,
,197,103,305,24.17,3.65,0.25,850,4.00,4.35,850,790.00,"1,700",25.65,29.05,850,-39.90,27.65,32.56,18,1,13,
,418,-112,907,26.01,2.40,0.15,850,2.45,2.70,"2,550",800.00,"2,550",33.35,38.55,"6,800",-20.40,33.90,-,6,-2,7,
,69,2,69,27.03,1.45,-0.25,850,1.30,1.85,850,810.00,"2,550",41.75,48.20,"2,550",-28.80,42.95,-,7,-,1,
,164,59,153,29.87,1.15,0.05,850,0.95,1.05,850,820.00,850,51.45,58.65,"2,550",-7.75,55.45,-,1,-,4,
,-,-,-,-,-,-,"68,000",0.20,2.60,"34,000",830.00,"3,400",61.95,70.85,"2,550",-,-,-,-,-,-,
,32,20,41,31.84,0.45,-0.25,850,0.45,0.70,850,840.00,"2,550",70.80,78.85,"2,550",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,1.05,850,860.00,"2,550",90.35,99.40,"2,550",-,-,-,-,-,-,
