CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,400.00,"2,000",0.05,0.10,"2,000",-,0.10,77.13,2,-2,27,
,-,-,-,-,-,-,-,-,-,-,420.00,"6,000",0.05,0.10,"2,000",-0.15,0.05,60.45,2,-2,30,
,12,-,-,-,100.80,-,"3,000",90.90,96.15,"10,000",440.00,-,-,0.30,"2,000",-,0.30,-,-,-,31,
,25,-,-,-,78.90,-0.25,"3,000",71.15,76.20,"3,000",460.00,"1,000",0.20,0.30,"2,000",-0.05,0.25,48.24,4,-2,119,
,56,-,-,-,51.25,0.60,"3,000",60.90,65.85,"5,000",470.00,"1,000",0.25,0.30,"2,000",-0.10,0.30,43.38,108,-60,120,
,56,-,-,-,50.95,0.30,"3,000",51.95,55.95,"7,000",480.00,"1,000",0.40,0.55,"2,000",-0.10,0.35,38.16,18,-3,321,
,46,-,-,-,46.90,-,"1,000",42.35,46.65,"8,000",490.00,"1,000",0.50,0.65,"4,000",-0.05,0.60,35.34,87,-38,194,
,232,21,87,38.47,35.00,-1.50,"3,000",33.85,35.10,"2,000",500.00,"3,000",0.70,0.80,"4,000",-0.20,0.80,30.39,70,-27,472,
,126,6,65,31.87,25.40,-2.35,"1,000",24.70,26.15,"1,000",510.00,"1,000",1.45,1.60,"1,000",-0.30,1.55,27.92,128,8,383,
,391,-56,310,29.37,17.15,-2.25,"1,000",16.85,17.40,"1,000",520.00,"2,000",3.15,3.40,"4,000",-0.35,3.20,26.22,350,43,643,
,910,20,812,27.87,10.40,-1.70,"1,000",10.25,10.80,"1,000",530.00,"1,000",6.45,6.75,"7,000",0.05,6.70,26.12,434,-18,835,
,"1,770",316,"2,392",28.80,6.10,-1.00,"2,000",6.00,6.10,"6,000",540.00,"1,000",11.85,12.45,"1,000",0.60,12.40,27.08,378,-,370,
,"1,705",56,"1,130",30.28,3.50,-0.55,"9,000",3.45,3.55,"2,000",550.00,"1,000",19.10,20.65,"1,000",1.15,19.85,28.48,345,216,362,
,719,-65,332,31.70,1.95,-0.30,"3,000",1.85,2.00,"3,000",560.00,"1,000",27.45,28.60,"1,000",1.15,28.15,28.42,46,-2,119,
,439,-8,45,33.71,1.15,-0.20,"1,000",1.10,1.20,"3,000",570.00,"1,000",36.55,37.90,"1,000",1.45,37.45,29.89,8,1,24,
,327,2,127,35.78,0.70,-0.15,"1,000",0.70,0.75,"1,000",580.00,"5,000",45.10,49.00,"7,000",-,45.50,-,-,-,52,
,147,-9,32,38.76,0.50,-0.10,"1,000",0.45,0.55,"1,000",590.00,"2,000",54.65,58.75,"4,000",-,52.55,-,-,-,33,
,785,-7,47,42.21,0.40,-0.05,"3,000",0.35,0.40,"4,000",600.00,"2,000",65.85,67.30,"1,000",-2.70,63.55,-,26,-6,149,
,81,1,13,44.90,0.30,-,"2,000",0.15,0.35,"1,000",610.00,"4,000",74.30,79.35,"10,000",-0.80,72.40,-,-,-,9,
,81,-,-,-,0.35,-,"96,000",0.10,0.25,"7,000",620.00,"10,000",84.05,89.20,"3,000",-,82.00,-,-,-,1,
