CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"3,525",86.90,93.45,"4,700",420.00,"18,800",0.10,1.50,"1,175",-,-,-,-,-,-,
,1,-,-,-,-,-,"3,525",67.05,72.70,"4,700",440.00,"1,175",0.40,0.45,"5,875",-0.35,0.45,54.21,72,26,175,
,7,-,5,59.36,62.60,2.40,"1,175",60.40,61.75,"1,175",450.00,"2,350",0.55,0.65,"4,700",-0.60,0.60,49.90,52,-8,99,
,18,4,13,50.62,52.55,1.45,"1,175",50.45,52.00,"1,175",460.00,"3,525",0.85,0.95,"5,875",-0.65,1.00,47.67,230,-42,277,
,17,1,4,-,39.90,-1.75,"2,350",41.55,42.70,"3,525",470.00,"9,400",1.30,1.40,"3,525",-1.15,1.35,44.27,156,-3,159,
,27,5,21,32.52,32.35,-0.65,"1,175",32.40,33.10,"1,175",480.00,"9,400",2.15,2.25,"4,700",-1.50,2.25,41.29,729,8,575,
,101,19,169,35.45,24.45,-0.75,"1,175",24.30,24.75,"1,175",490.00,"5,875",3.80,3.90,"1,175",-2.10,3.85,40.10,"1,150",14,633,
,504,128,"1,688",35.85,17.35,-0.95,"2,350",17.25,17.55,"5,875",500.00,"10,575",6.75,6.90,"3,525",-2.20,6.85,39.66,"2,957",-182,"1,370",
,"1,002",275,"4,524",36.90,11.85,-0.90,"1,175",11.80,11.90,"2,350",510.00,"3,525",11.05,11.25,"5,875",-2.30,11.10,40.45,"1,418",167,935,
,"1,709",80,"6,617",38.87,8.05,-0.70,"7,050",8.00,8.05,"2,350",520.00,"3,525",17.25,17.50,"2,350",-1.90,17.35,43.95,614,-82,608,
,"1,918",124,"4,051",41.36,5.50,-0.60,"12,925",5.50,5.60,"15,275",530.00,"1,175",24.60,24.95,"1,175",-1.40,25.35,48.19,108,-45,353,
,"2,378",99,"2,903",44.24,3.95,-0.40,"9,400",3.90,4.00,"15,275",540.00,"1,175",32.95,33.55,"1,175",-0.75,34.35,52.38,127,-45,422,
,"2,508",90,"2,019",46.70,2.80,-0.25,"22,325",2.75,2.85,"36,425",550.00,"1,175",41.70,42.30,"2,350",0.50,44.00,60.01,41,-8,218,
,"1,797",83,"1,716",49.01,2.05,-0.15,"10,575",2.00,2.05,"14,100",560.00,"2,350",50.75,51.95,"1,175",0.20,52.90,63.10,18,-5,187,
,"1,106",-103,730,52.11,1.50,-0.10,"14,100",1.45,1.55,"15,275",570.00,"2,350",59.40,62.00,"2,350",-,-,-,-,-,196,
,"1,255",-21,521,54.85,1.15,-0.05,"29,375",1.15,1.25,"22,325",580.00,"1,175",69.65,71.95,"2,350",0.50,72.65,76.79,4,-2,151,
,"1,127",8,242,58.19,0.95,-,"8,225",0.90,1.00,"5,875",590.00,"1,175",79.65,80.75,"1,175",-0.20,80.55,69.34,4,1,127,
,"4,371",35,"1,302",60.74,0.80,-,"66,975",0.75,0.80,"31,725",600.00,"1,175",89.35,90.85,"1,175",3.75,89.60,66.14,312,-66,392,
,836,55,222,64.10,0.65,0.05,"4,700",0.65,0.70,"3,525",610.00,"1,175",99.10,100.65,"1,175",-4.30,100.15,77.67,2,-1,65,
,"1,031",-16,319,66.97,0.55,0.05,"14,100",0.50,0.55,"17,625",620.00,"3,525",107.70,112.30,"3,525",-,-,-,-,-,49,
,528,-25,44,69.29,0.45,-,"1,175",0.45,0.50,"7,050",630.00,"4,700",118.15,122.65,"3,525",-,-,-,-,-,33,
,273,-14,22,70.94,0.35,-,"3,525",0.35,0.40,"4,700",640.00,"5,875",127.90,132.30,"3,525",-,-,-,-,-,25,
,501,-18,36,73.44,0.25,-,"18,800",0.25,0.35,"21,150",650.00,"4,700",137.95,143.35,"3,525",-,-,-,-,-,42,
,272,-13,22,77.39,0.30,0.05,"5,875",0.25,0.30,"14,100",660.00,"4,700",148.00,153.20,"3,525",-,-,-,-,-,16,
,289,-57,63,83.01,0.25,0.10,"10,575",0.15,0.25,"10,575",680.00,"5,875",167.50,173.25,"4,700",-,-,-,-,-,20,
,409,-2,4,87.75,0.15,0.05,"1,46,875",0.10,0.15,"5,875",700.00,-,-,-,-,-,-,-,-,-,-,
