CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,520.00,"34,000",0.05,0.80,"8,500",-,-,-,-,-,63,
,1,-,-,-,-,-,"6,800",275.20,284.20,"6,800",600.00,"34,000",0.05,0.20,"39,100",-,-,-,-,-,91,
,1,-,-,-,-,-,"6,800",255.10,264.35,"6,800",620.00,-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,650.00,"34,000",0.05,0.45,"1,700",-,-,-,-,-,1,
,1,-,-,-,-,-,"6,800",205.20,214.45,"6,800",670.00,-,-,-,-,-,-,-,-,-,-,
,31,-,-,-,-,-,"5,100",175.40,184.40,"11,900",700.00,"5,100",0.10,0.15,"39,100",0.10,0.15,62.80,5,-4,132,
,2,-,-,-,-,-,"6,800",165.30,174.65,"6,800",710.00,-,-,-,-,-,-,-,-,-,-,
,10,-,1,90.05,165.00,57.00,"1,700",156.95,162.00,"1,700",720.00,"1,700",0.10,0.45,"3,400",-,-,-,-,-,38,
,-,-,-,-,-,-,-,-,-,-,730.00,"6,800",0.10,0.30,"10,200",0.05,0.30,57.31,5,-2,19,
,16,-,-,-,-,-,"5,100",135.70,144.40,"11,900",740.00,"8,500",0.25,0.30,"6,800",-,0.30,53.68,3,-,128,
,25,-,-,-,-,-,"5,100",125.75,134.50,"11,900",750.00,"5,100",0.30,0.40,"25,500",-,0.40,52.18,11,-7,212,
,62,-,-,-,-,-,"5,100",115.80,123.85,"11,900",760.00,"1,700",0.30,0.45,"11,900",-0.10,0.35,47.55,8,-5,93,
,19,-,-,-,-,-,"1,700",107.25,114.05,"5,100",770.00,"1,700",0.50,0.80,"1,700",-,0.55,47.11,10,-3,136,
,16,-,-,-,-,-,"5,100",96.50,104.10,"11,900",780.00,"1,700",0.60,0.70,"1,700",-,0.70,44.54,36,-5,237,
,15,-,-,-,-,-,"6,800",87.30,94.35,"11,900",790.00,"3,400",0.65,0.80,"3,400",-0.10,0.70,41.20,36,-17,72,
,127,-13,64,-,80.25,-4.95,"1,700",80.30,81.80,"1,700",800.00,"5,100",0.90,1.00,"1,700",-,1.00,39.52,88,4,698,
,50,-,-,-,-,-,"3,400",68.05,73.75,"11,900",810.00,"3,400",1.05,1.20,"3,400",-0.10,1.15,36.87,31,-2,180,
,161,-3,12,34.99,63.85,-4.35,"1,700",61.15,62.05,"1,700",820.00,"5,100",1.50,1.60,"8,500",-0.05,1.55,34.69,205,91,517,
,130,-3,6,30.14,53.80,-3.00,"1,700",51.75,52.60,"1,700",830.00,"3,400",2.05,2.15,"3,400",-,2.10,33.03,70,4,241,
,179,-2,13,26.83,44.10,-4.10,"1,700",42.60,43.40,"1,700",840.00,"5,100",2.80,2.95,"3,400",-0.20,2.75,30.65,185,8,329,
,378,-21,61,26.07,34.20,-5.90,"1,700",34.10,34.90,"1,700",850.00,"1,700",4.20,4.30,"3,400",-,4.25,29.37,427,-58,514,
,252,-,124,26.68,27.65,-4.20,"1,700",26.35,26.95,"1,700",860.00,"3,400",6.35,6.55,"1,700",0.15,6.15,28.77,286,-18,344,
,387,-13,440,28.93,21.95,-2.50,"3,400",19.70,20.15,"6,800",870.00,"1,700",9.45,9.70,"1,700",0.65,9.35,28.22,467,3,246,
,523,-5,"1,224",26.87,14.35,-4.05,"6,800",14.35,14.60,"1,700",880.00,"3,400",14.05,14.20,"8,500",1.55,14.00,29.04,688,42,328,
,381,73,"1,009",27.30,10.05,-3.35,"3,400",10.05,10.30,"3,400",890.00,"1,700",19.75,20.10,"1,700",2.30,20.00,29.74,263,46,214,
,"1,128",131,"1,321",28.06,7.15,-2.60,"1,700",7.05,7.20,"1,700",900.00,"1,700",26.50,27.00,"3,400",2.15,25.00,27.78,157,25,337,
,301,49,383,28.92,5.00,-1.85,"5,100",4.95,5.10,"6,800",910.00,"1,700",34.40,35.35,"1,700",5.15,34.65,33.29,45,-3,82,
,812,130,865,30.63,3.75,-1.20,"8,500",3.65,3.75,"5,100",920.00,"1,700",43.00,43.75,"1,700",2.65,40.75,28.60,16,-,75,
,341,35,199,32.03,2.90,-0.70,"8,500",2.60,2.80,"6,800",930.00,"1,700",51.95,52.85,"1,700",-12.45,51.50,35.72,6,-,40,
,535,23,183,32.57,2.00,-0.60,"3,400",1.90,2.00,"6,800",940.00,"1,700",61.20,62.05,"1,700",1.55,60.60,28.09,5,1,21,
,397,-3,116,33.97,1.50,-0.35,"3,400",1.45,1.55,"3,400",950.00,"11,900",67.40,74.35,"6,800",-,-,-,-,-,5,
,148,2,65,35.41,1.15,-0.20,"3,400",1.10,1.25,"6,800",960.00,"5,100",77.65,84.40,"5,100",-,-,-,-,-,5,
,129,1,32,36.46,0.80,-0.40,"3,400",0.85,0.95,"5,100",970.00,-,-,-,-,-,-,-,-,-,-,
,135,-,20,39.15,0.75,-0.15,"6,800",0.70,0.80,"3,400",980.00,"5,100",96.50,105.05,"1,700",-199.90,90.75,-,1,-,-,
,17,-,-,-,-,-,"13,600",0.40,0.70,"1,700",990.00,-,-,-,-,-,-,-,-,-,-,
,"1,517",-2,255,42.92,0.55,-0.10,"40,800",0.50,0.55,"42,500","1,000.00","8,500",117.55,124.80,"11,900",-,-,-,-,-,12,
