CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,140,"1,810.35","1,905.85",140,"11,000.00",140,1.45,1.50,140,-0.25,1.40,39.25,124,10,320,
,-,-,-,-,-,-,280,"1,650.25","1,835.20",280,"11,100.00",140,1.20,1.75,840,-0.30,1.50,38.00,7,-3,225,
,1,-,2,-,"1,611.15",118.50,280,"1,632.65","1,742.35",280,"11,200.00",560,1.55,1.80,280,-0.20,1.60,36.21,132,-5,"1,398",
,2,-,-,-,-,-,280,"1,534.70","1,614.40",140,"11,300.00",700,1.50,1.80,140,-,1.85,34.75,15,-9,285,
,1,-,2,-,"1,406.05",112.20,280,"1,444.50","1,526.05",280,"11,400.00",140,1.85,2.25,560,-,2.00,32.98,16,-2,313,
,83,-,-,-,-,-,140,"1,331.55","1,405.05",140,"11,500.00",560,2.20,2.25,140,-0.35,2.20,31.08,416,-131,"3,083",
,-,-,-,-,-,-,"2,660","1,172.20","1,340.45",280,"11,600.00",700,2.30,2.75,140,-0.80,2.25,29.24,76,-17,551,
,8,-,-,-,-,-,280,"1,050.70","1,245.40",280,"11,700.00",280,3.00,3.20,140,-0.55,3.25,28.08,493,-24,"2,368",
,-,-,-,-,-,-,280,996.20,"1,208.15",280,"11,750.00",140,2.45,5.45,280,-,-,-,-,-,9,
,-,-,-,-,-,-,"2,660",976.90,"1,175.25",280,"11,775.00",140,1.75,5.25,140,-,-,-,-,-,12,
,-,-,-,-,-,-,280,979.10,"1,128.95",280,"11,800.00",980,3.60,3.80,"1,400",-1.00,3.80,26.63,857,-32,"1,604",
,-,-,-,-,-,-,280,932.15,"1,116.85",280,"11,825.00",140,3.10,4.25,140,-11.80,2.50,24.83,3,-2,2,
,-,-,-,-,-,-,280,909.35,"1,089.10",280,"11,850.00",140,3.15,4.50,700,-0.95,4.40,26.43,21,2,28,
,-,-,-,-,-,-,"2,660",885.95,"1,064.25",280,"11,875.00",140,3.35,4.80,420,-0.05,4.75,26.18,25,2,19,
,1,-,-,-,-,-,280,882.65,"1,060.95","2,660","11,900.00","1,120",4.60,4.85,"1,540",-1.75,4.70,25.38,956,77,"1,336",
,-,-,-,-,-,-,280,850.20,"1,014.55",280,"11,925.00",280,3.10,7.45,140,-,-,-,-,-,38,
,-,-,-,-,-,-,280,815.45,978.85,280,"11,950.00",700,4.30,6.85,140,-,-,-,-,-,82,
,-,-,-,-,-,-,"2,660",805.70,956.55,280,"11,975.00",420,5.40,6.30,700,-1.85,6.50,25.18,29,5,131,
,"1,527",-3,49,21.91,886.45,2.70,280,883.50,893.75,140,"12,000.00","1,400",5.85,5.95,"2,100",-2.50,5.90,24.23,"3,263",-216,"6,008",
,-,-,-,-,-,-,280,760.95,932.75,280,"12,025.00",560,5.40,7.25,140,-3.35,6.00,23.63,79,-11,123,
,-,-,-,-,-,-,280,739.00,871.30,280,"12,050.00",420,6.20,7.20,420,-3.45,6.70,23.50,77,21,127,
,-,-,-,-,-,-,280,715.75,869.30,280,"12,075.00",560,6.35,12.10,560,-3.00,8.05,23.69,34,-6,74,
,-,-,-,-,-,-,140,764.55,826.20,280,"12,100.00",420,7.35,7.50,700,-3.80,7.45,22.95,"2,564",819,"2,701",
,1,-,-,-,-,-,280,667.55,819.30,280,"12,125.00",140,8.00,8.50,"2,100",-3.80,8.50,24.01,118,14,152,
,-,-,-,-,-,-,280,642.30,800.60,280,"12,150.00",700,7.40,9.30,560,-4.55,9.00,22.54,54,3,207,
,-,-,-,-,-,-,"2,660",620.10,764.70,280,"12,175.00",420,9.55,10.25,280,-3.90,10.30,22.16,157,36,123,
,-,-,-,-,-,-,140,667.95,716.75,140,"12,200.00",700,10.45,10.60,280,-4.95,10.65,22.01,"1,983",649,"1,926",
,-,-,-,-,-,-,280,571.95,713.20,280,"12,225.00",280,10.90,12.15,280,-5.50,10.70,21.49,40,-4,102,
,1,-,-,-,-,-,"2,660",548.50,678.90,280,"12,250.00",280,12.25,12.85,280,-5.05,12.15,21.65,145,37,658,
,-,-,-,-,-,-,280,523.65,661.60,280,"12,275.00",700,13.55,14.65,700,-5.35,13.90,21.18,46,-13,76,
,35,-,8,21.85,590.00,-16.70,140,593.00,609.00,140,"12,300.00",560,15.00,15.30,420,-6.55,15.00,21.12,"3,469",311,"3,133",
,-,-,-,-,-,-,420,474.95,608.40,280,"12,325.00",560,16.30,17.40,420,-5.00,16.85,20.97,114,-42,66,
,-,-,-,-,-,-,"2,800",451.65,583.40,280,"12,350.00",140,18.10,18.90,280,-5.35,18.05,20.86,538,-164,232,
,-,-,-,-,-,-,420,415.50,564.15,280,"12,375.00",560,19.55,20.85,560,-5.55,20.50,20.60,96,-6,94,
,66,6,34,22.54,501.75,-0.55,140,500.30,510.05,140,"12,400.00",280,22.35,22.60,140,-7.30,22.50,20.27,"3,860",74,"2,201",
,25,-,-,-,-,-,420,399.60,514.55,140,"12,425.00",700,23.80,24.95,140,-6.60,24.70,19.87,102,12,107,
,34,-,-,-,-,-,280,442.55,603.10,280,"12,450.00",420,26.75,27.60,700,-7.70,27.00,19.95,887,94,976,
,30,-,-,-,-,-,420,414.90,465.65,280,"12,475.00",140,29.00,30.30,140,-7.05,30.10,19.86,136,13,266,
,"1,084",66,407,20.13,420.60,14.95,140,411.45,417.15,140,"12,500.00",140,32.90,33.10,140,-7.75,33.00,19.40,"7,346","1,583","5,475",
,124,-,-,-,-,-,140,385.90,402.75,140,"12,525.00",140,35.05,36.35,700,-7.55,35.90,19.14,104,3,161,
,194,2,10,-,318.95,-47.70,140,367.40,378.95,140,"12,550.00",280,38.40,39.60,140,-9.45,38.50,18.93,909,46,485,
,130,-1,11,19.54,347.20,-27.65,140,346.00,358.10,140,"12,575.00",420,42.20,44.00,700,-7.40,43.70,18.91,319,66,265,
,"1,095",-15,383,18.18,329.65,0.85,140,327.20,332.95,280,"12,600.00",420,46.80,47.10,280,-10.10,46.80,18.48,"4,173",238,"2,673",
,219,5,36,18.90,306.45,-2.65,280,307.85,313.85,140,"12,625.00",280,51.10,52.35,140,-9.40,52.60,18.36,529,26,266,
,249,-17,114,18.38,290.00,0.35,140,288.55,294.90,140,"12,650.00",140,56.50,57.45,280,-10.00,56.75,18.12,963,33,"1,011",
,160,-64,223,18.95,267.90,-8.35,140,268.40,274.75,140,"12,675.00",280,62.10,63.40,560,-12.90,62.80,18.00,722,41,523,
,"1,774",76,"2,676",17.98,251.00,0.05,280,249.50,251.95,280,"12,700.00",560,68.40,68.85,420,-12.95,68.65,17.71,"8,139",479,"2,875",
,128,-2,238,17.84,233.75,-5.65,140,232.50,236.05,140,"12,725.00",280,75.50,76.05,420,-13.65,75.65,17.52,"1,699",123,270,
,521,100,"1,950",17.64,214.05,-3.65,420,214.70,217.95,420,"12,750.00",560,83.00,83.65,560,-13.00,83.50,17.48,"3,786",261,693,
,275,47,"2,005",17.51,198.45,-4.35,700,198.20,200.55,700,"12,775.00",140,91.70,92.45,"1,120",-13.10,92.25,17.35,"5,307",246,468,
,"3,732",54,"14,582",17.55,183.10,-2.05,280,182.85,183.75,560,"12,800.00",280,100.00,100.50,840,-16.15,100.35,17.18,"18,042","1,269","4,761",
,907,423,"3,963",17.22,165.65,-5.95,280,166.75,168.00,560,"12,825.00",280,108.95,109.75,560,-17.05,109.05,16.89,"4,280",742,"1,011",
,"1,104",-57,"5,381",17.16,152.85,-4.15,560,152.70,153.60,700,"12,850.00",420,119.55,120.05,140,-16.25,120.10,16.97,"5,916",173,"1,080",
,674,-4,"1,342",17.12,139.25,-5.70,140,138.45,139.65,420,"12,875.00",560,131.00,132.25,700,-16.25,131.50,16.87,"1,195",123,346,
,"3,882",222,"9,652",16.92,126.35,-5.45,140,125.95,126.70,560,"12,900.00",280,142.50,143.60,560,-17.10,143.60,16.76,"4,758",10,"1,481",
,260,40,860,16.92,114.40,-6.45,560,114.00,116.00,560,"12,925.00",140,155.55,157.15,280,-17.85,156.75,16.63,265,30,112,
,403,73,"1,018",16.91,103.70,-7.65,140,102.95,103.55,140,"12,950.00",840,169.35,170.90,140,-14.85,170.45,16.78,486,-19,175,
,167,32,736,16.80,92.05,-6.95,840,91.75,92.85,140,"12,975.00",140,185.05,186.75,280,-16.30,186.05,16.74,106,11,53,
,"6,308","1,106","18,345",16.81,83.40,-6.80,140,83.00,83.55,280,"13,000.00",280,199.05,200.50,280,-18.85,200.40,16.45,"2,501",224,"2,418",
,166,38,762,16.73,74.55,-6.70,560,74.05,74.80,560,"13,025.00",280,214.05,218.40,140,-13.45,219.10,17.06,19,-3,53,
