CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"15,000",41.10,42.55,"15,000",150.00,-,-,0.10,"11,250",-,0.10,-,-,-,27,
,15,-,-,-,28.25,-,"15,000",31.25,32.65,"15,000",160.00,"3,03,750",0.05,0.10,"1,53,750",-0.05,0.05,50.24,7,-1,85,
,14,-,-,-,22.40,-0.50,"26,250",26.30,27.60,"15,000",165.00,"2,81,250",0.10,0.15,"33,750",-0.10,0.15,50.27,11,-2,74,
,24,1,16,-,20.70,1.30,"3,750",21.85,22.50,"3,750",170.00,"1,50,000",0.20,0.25,"78,750",-0.20,0.20,44.00,67,2,454,
,34,-11,90,41.14,17.25,2.65,"3,750",16.55,17.60,"7,500",175.00,"3,93,750",0.25,0.35,"33,750",-0.30,0.30,38.31,95,14,277,
,155,-8,123,37.91,12.65,2.55,"3,750",12.30,12.65,"7,500",180.00,"1,01,250",0.60,0.65,"18,750",-0.50,0.65,35.57,672,-16,824,
,276,-29,315,30.27,8.00,1.80,"3,750",7.25,8.20,"7,500",185.00,"45,000",1.05,1.15,"26,250",-1.05,1.10,29.87,"1,134",-79,430,
,"1,066",-246,"2,249",27.89,4.35,1.10,"3,750",4.30,4.35,"7,500",190.00,"11,250",2.30,2.35,"3,750",-1.80,2.40,27.27,"1,088",45,753,
,"1,146",-10,"1,420",27.52,2.00,0.40,"1,57,500",2.00,2.10,"71,250",195.00,"3,750",4.85,5.05,"7,500",-2.50,5.05,26.99,391,43,377,
,"1,543",2,797,29.28,0.90,0.15,"45,000",0.85,0.95,"1,08,750",200.00,"3,750",8.70,9.10,"3,750",-2.70,8.95,28.69,281,-128,468,
,375,-46,170,31.27,0.40,0.05,"56,250",0.35,0.40,"15,000",205.00,"3,750",12.95,14.10,"26,250",-2.85,13.40,29.47,34,-8,54,
,532,-24,72,35.55,0.25,0.05,"30,000",0.20,0.25,"4,05,000",210.00,"15,000",17.65,18.95,"26,250",0.65,23.00,-,-,-,113,
,75,-,11,38.87,0.15,0.05,"7,500",0.10,0.15,"7,500",215.00,"15,000",22.45,23.90,"26,250",-,26.60,-,-,-,8,
,154,-,3,38.43,0.05,-0.05,"10,42,500",0.05,0.10,"1,95,000",220.00,"11,250",27.25,28.75,"26,250",-0.35,31.50,-,-,-,75,
,23,-,-,-,0.05,-,-,-,0.10,"3,750",230.00,-,-,-,-,-,-,-,-,-,-,
