CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,1,20,-,"2,330.50",402.60,75,"2,339.95","2,378.30",75,"22,600.00","2,76,900",0.80,0.85,"2,63,925",-0.05,0.85,49.16,"33,418","-2,197","70,796",
,1,-,-,-,-,-,150,"2,244.20","2,307.20",75,"22,650.00","56,550",0.80,0.85,"61,950",-0.10,0.80,47.88,"4,146",-456,"3,777",
,1,-,-,-,-,-,75,"2,188.00","2,291.55",150,"22,700.00","73,200",0.85,0.90,"65,850",-0.10,0.85,47.16,"5,972",-788,"5,920",
,2,-,-,-,-,-,75,"2,153.90","2,230.00",750,"22,750.00","12,975",0.85,0.90,"17,850",-0.05,0.90,46.16,"1,100",-69,483,
,3,-,-,-,-,-,300,"2,087.50","2,157.60",300,"22,800.00","72,150",0.90,0.95,"40,275",-0.05,0.90,45.17,"3,970",-20,"8,462",
,1,-,-,-,-,-,300,"2,048.80","2,130.20",300,"22,850.00","19,200",0.90,0.95,"14,025",-,0.95,44.42,"1,058",19,727,
,18,-,-,-,-,-,300,"2,007.60","2,093.70",150,"22,900.00","41,550",0.90,0.95,"81,600",-0.05,0.95,43.42,"3,066",171,"7,603",
,1,-,-,-,-,-,75,"1,956.55","2,022.60",300,"22,950.00","22,425",0.95,1.00,"60,750",-0.05,0.95,42.42,"2,260",-255,996,
,312,4,13,-,"1,935.00",-3.05,75,"1,941.80","1,947.35",75,"23,000.00","2,46,300",0.95,1.00,"2,09,100",-0.05,1.00,41.64,"23,493","-3,089","31,615",
,5,-,-,-,-,-,300,"1,846.85","1,917.55",300,"23,050.00","27,300",1.00,1.05,"19,500",-0.05,1.00,40.85,"2,693",216,"1,035",
,16,-,-,-,-,-,75,"1,833.80","1,857.15",75,"23,100.00","62,700",1.00,1.05,"62,925",-,1.05,39.84,"5,413","-1,177","4,446",
,10,-,-,-,-,-,750,"1,742.85","1,834.50",750,"23,150.00","28,575",1.05,1.10,"25,800",-,1.10,38.83,"2,502",-92,"1,481",
,11,-3,5,-,"1,728.85",-111.00,75,"1,741.20","1,751.75",300,"23,200.00","56,100",1.10,1.15,"64,350",-0.05,1.10,38.20,"8,780",-775,"7,432",
,7,-,-,-,-,-,750,"1,647.75","1,735.35",750,"23,250.00","28,275",1.15,1.20,"37,725",-0.05,1.15,37.36,"3,881",-175,"1,726",
,84,-,-,-,-,-,75,"1,634.05","1,656.50",75,"23,300.00","1,36,950",1.10,1.15,"82,875",-0.10,1.15,36.34,"20,975","-3,996","8,518",
,5,-,-,-,-,-,300,"1,546.75","1,633.25",300,"23,350.00","53,250",1.15,1.20,"45,750",-0.10,1.20,35.48,"5,022",305,"2,129",
