CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,400",381.95,398.25,"1,750","1,280.00",-,-,1.40,"3,500",-,-,-,-,-,-,
,-,-,-,-,-,-,"1,400",343.55,356.35,"1,400","1,320.00","14,000",0.05,1.40,"3,500",-,-,-,-,-,7,
,-,-,-,-,-,-,"1,400",303.60,316.40,"1,400","1,360.00","14,000",0.05,1.35,"3,500",-,-,-,-,-,2,
,-,-,-,-,-,-,"1,400",283.70,296.10,"1,400","1,380.00","14,000",0.05,1.50,"3,500",-,-,-,-,-,2,
,-,-,-,-,-,-,"1,400",263.75,275.70,"1,400","1,400.00",350,0.10,1.50,"3,500",-,-,-,-,-,30,
,-,-,-,-,-,-,"1,050",243.00,256.50,"1,400","1,420.00",350,0.15,0.75,350,-,0.55,50.01,2,-,41,
,2,-,-,-,-,-,"1,400",223.70,236.65,"1,400","1,440.00","7,000",0.10,1.50,"3,500",-,-,-,-,-,42,
,7,-,-,-,-,-,"2,450",203.00,216.20,"1,400","1,460.00",350,0.20,0.70,350,-2.15,0.20,37.30,2,-,31,
,14,-,-,-,-,-,"1,050",182.75,196.55,"1,050","1,480.00",350,0.35,0.40,350,-0.40,0.40,37.09,14,-12,243,
,8,-,-,-,-,-,"1,050",163.60,176.40,"1,050","1,500.00",700,0.60,0.75,700,-0.75,0.55,34.58,30,-19,262,
,23,-,-,-,-,-,"2,450",143.20,156.50,"1,050","1,520.00",350,0.70,0.80,700,-0.70,0.75,32.93,18,-5,57,
,14,-,-,-,-,-,350,124.85,137.05,"2,450","1,540.00",700,1.05,1.10,350,-1.10,1.05,31.09,23,-12,66,
,41,-,-,-,-,-,350,108.80,118.65,"2,450","1,560.00",350,1.60,1.70,"1,050",-1.75,1.45,28.53,26,-4,99,
,111,-2,10,28.27,94.25,22.25,350,91.40,93.15,350,"1,580.00",350,2.55,2.65,"1,400",-2.50,2.60,27.77,99,-24,106,
,167,-30,103,20.04,74.20,12.25,700,72.95,74.45,350,"1,600.00",700,4.05,4.30,"1,050",-3.90,4.25,26.41,318,18,432,
,255,-12,52,24.25,57.75,12.40,350,55.90,57.55,350,"1,620.00",350,6.95,7.25,350,-5.95,7.05,25.51,53,6,248,
,418,-19,398,21.75,41.20,7.80,700,41.45,42.25,700,"1,640.00","1,050",11.95,12.30,700,-8.00,12.35,25.66,196,33,219,
,323,-,829,22.61,29.30,6.35,700,29.00,29.55,350,"1,660.00",350,19.10,19.85,350,-10.90,19.10,24.94,121,2,104,
,238,59,369,23.47,19.55,4.35,350,19.60,20.10,700,"1,680.00",350,29.40,30.75,700,-8.15,30.90,26.87,8,3,31,
,808,-98,803,24.76,12.90,2.90,350,12.85,13.10,"1,050","1,700.00",350,41.80,43.85,350,-14.10,43.35,27.06,14,-6,164,
,126,7,83,25.89,8.50,2.15,350,7.95,8.40,350,"1,720.00",350,57.05,59.25,350,-13.30,59.35,29.11,12,-1,205,
,577,85,256,26.35,5.25,1.30,700,5.10,5.25,350,"1,740.00",350,74.35,76.15,350,-25.00,75.40,29.47,3,-,15,
,146,54,83,27.68,3.55,0.95,700,3.50,3.60,350,"1,760.00",700,90.85,96.90,350,-,-,-,-,-,38,
,83,29,47,29.54,2.55,0.60,"1,400",2.40,2.55,350,"1,780.00",700,108.00,117.30,"1,750",-,-,-,-,-,14,
,281,-13,34,31.19,1.85,0.30,"1,050",1.75,1.85,350,"1,800.00",350,130.25,132.30,350,-25.30,131.00,34.58,15,-5,138,
,116,19,36,31.79,1.15,-1.35,"1,400",1.20,1.35,350,"1,820.00","2,450",145.20,155.20,"1,400",-,-,-,-,-,20,
,27,-,2,30.71,0.50,-0.40,350,0.45,1.20,350,"1,840.00","1,050",164.20,177.30,"1,050",-,-,-,-,-,-,
,120,-10,33,35.34,0.70,-0.10,350,0.60,0.90,700,"1,860.00","1,050",184.20,197.40,"1,050",-,-,-,-,-,7,
,-,-,-,-,-,-,350,0.15,1.75,"3,500","1,880.00","1,400",204.45,217.35,"1,050",-,-,-,-,-,-,
,66,-,-,-,-,-,700,0.15,1.70,"3,500","1,900.00","1,750",224.35,237.25,"1,050",-,-,-,-,-,79,
,1,-,-,-,-,-,"7,000",0.10,1.65,"3,500","1,920.00","1,400",244.55,257.15,"1,400",-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"1,940.00","1,400",264.25,277.60,"1,400",-,-,-,-,-,1,
,36,-,-,-,-,-,"3,500",0.10,0.50,700,"1,960.00",-,-,-,-,-,-,-,-,-,-,
,336,-,10,50.94,0.45,-0.30,350,0.45,0.50,"1,400","2,000.00","1,750",323.35,337.30,"2,450",-,-,-,-,-,60,
,40,-,-,-,-,-,"17,500",0.05,1.55,"3,500","2,040.00",-,-,-,-,-,-,-,-,-,-,
,11,-,-,-,-,-,"17,500",0.05,1.55,"3,500","2,060.00",-,-,-,-,-,-,-,-,-,-,
,42,-,-,-,-,-,"17,500",0.05,1.55,"3,500","2,100.00",-,-,-,-,-,-,-,-,-,-,
,72,-1,5,72.90,0.60,-0.05,350,0.30,0.60,350,"2,160.00",-,-,-,-,-,-,-,-,-,-,
,27,-,-,-,-,-,"17,500",0.05,1.00,350,"2,200.00",-,-,-,-,-,-,-,-,-,-,
