CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,60,"8,290.20","8,622.50",60,"37,000.00",60,3.10,13.00,75,-6.45,9.00,57.67,7,4,17,
,-,-,-,-,-,-,60,"7,281.85","7,657.10",15,"38,000.00",-,-,-,-,-,-,-,-,-,-,
,11,-,-,-,-,-,60,"6,300.35","6,653.00",45,"39,000.00",60,8.00,20.00,120,-4.70,7.05,43.09,9,-3,170,
,-,-,-,-,-,-,45,"5,781.75","6,159.50",15,"39,500.00",30,0.55,-,-,-,-,-,-,-,2,
,12,-,-,-,-,-,15,"5,307.70","5,638.65",45,"40,000.00",15,10.55,14.00,15,2.10,12.55,39.63,54,-13,204,
,-,-,-,-,-,-,45,"4,786.85","5,179.85",15,"40,500.00",15,4.05,-,-,-,-,-,-,-,10,
,2,-,-,-,-,-,45,"4,317.60","4,641.85",45,"41,000.00",15,14.05,27.60,15,-1.10,14.00,32.73,30,-20,40,
,1,-,-,-,-,-,45,"3,794.65","4,190.60",15,"41,500.00",75,10.25,-,-,-,-,-,-,-,6,
,13,-,-,-,-,-,45,"3,341.95","3,651.75",45,"42,000.00",15,30.35,37.60,15,10.05,37.20,31.44,92,-10,182,
,14,-,-,-,-,-,45,"2,862.45","3,121.75",135,"42,500.00",30,44.85,46.90,15,13.85,46.95,28.75,486,32,89,
,155,-,6,27.42,"2,547.25",-101.15,15,"2,493.45","2,560.70",15,"43,000.00",15,70.05,73.25,15,22.95,71.05,27.16,"1,767",-1,327,
,28,-2,5,28.75,"2,123.65",693.45,30,"2,016.90","2,110.35",30,"43,500.00",15,89.50,102.25,15,18.05,89.85,24.90,14,-6,99,
,88,-7,15,25.34,"1,654.25",-182.35,15,"1,574.15","1,641.20",15,"44,000.00",15,143.05,147.95,15,22.75,145.45,23.25,625,11,388,
,80,-16,34,24.09,"1,246.60",-175.05,45,"1,153.85","1,234.90",15,"44,500.00",15,216.60,241.55,15,8.20,193.15,20.76,106,31,181,
,213,-12,316,22.47,862.25,-149.75,45,828.95,860.75,30,"45,000.00",30,358.85,373.30,45,60.95,363.00,21.48,528,46,509,
,174,45,269,22.11,580.05,-119.85,45,556.55,589.40,45,"45,500.00",15,578.65,629.70,30,14.65,520.70,19.13,61,-1,70,
,663,157,"1,213",22.59,386.55,-95.75,15,374.45,382.90,15,"46,000.00",15,878.50,914.65,30,150.35,912.15,23.05,130,65,125,
,260,67,383,23.30,250.00,-75.45,30,245.30,252.65,30,"46,500.00",60,"1,184.60","1,314.35",45,-,-,-,-,-,13,
,759,19,"1,186",24.69,171.60,-58.30,30,166.45,170.00,15,"47,000.00",15,"1,641.30","1,725.60",15,-112.65,"1,637.35",22.09,9,-,21,
,428,54,764,26.88,122.65,-47.25,30,123.15,127.00,30,"47,500.00",30,"2,072.55","2,200.30",15,-933.10,"2,163.95",28.39,3,-,10,
,864,144,"1,074",28.15,89.00,-37.35,45,88.30,90.50,30,"48,000.00",15,"2,586.15","2,645.40",15,158.70,"2,545.00",22.54,13,7,38,
,210,-11,81,30.40,73.00,-20.45,15,55.90,76.70,30,"48,500.00",15,"3,018.10","3,262.90",75,-953.95,"3,139.25",35.36,1,-,6,
,622,-4,"1,047",30.83,46.55,-21.20,15,47.70,49.35,15,"49,000.00",15,"3,533.65","3,625.85",15,"-1,991.15","3,508.85",18.26,3,1,15,
,19,-,9,34.62,50.00,2.00,15,29.40,60.95,15,"49,500.00",45,"3,886.25","4,237.35",45,-,-,-,-,-,4,
,"2,616",292,"1,954",34.53,33.15,-13.55,30,33.05,34.65,15,"50,000.00",15,"4,487.05","4,646.55",15,"-1,070.00","4,400.00",-,1,-,25,
,8,3,4,38.09,33.50,-270.65,150,18.10,33.40,30,"50,500.00",45,"4,891.80","5,219.10",45,-,-,-,-,-,-,
,162,6,25,39.32,26.00,-1.05,30,19.55,27.00,30,"51,000.00",45,"5,387.90","5,719.90",45,-,-,-,-,-,-,
,16,-,-,-,-,-,75,9.75,-,-,"51,500.00",45,"5,878.35","6,229.00",15,-,-,-,-,-,11,
,249,-1,13,40.31,12.50,-2.70,15,11.00,12.45,15,"52,000.00",45,"6,367.05","6,698.15",45,-,-,-,-,-,6,
,13,-,-,-,-,-,75,5.25,-,-,"52,500.00",-,-,-,-,-,-,-,-,-,-,
,22,-,1,39.50,4.00,-4.00,60,4.05,14.50,15,"53,000.00",45,"7,347.65","7,701.30",60,-,-,-,-,-,-,
,7,-,-,-,-,-,75,2.00,18.85,75,"53,500.00",-,-,-,-,-,-,-,-,-,-,
,12,-,-,-,-,-,75,5.50,12.00,15,"54,000.00",45,"8,343.05","8,701.15",60,-,-,-,-,-,-,
,32,-,-,-,-,-,285,0.25,7.95,15,"55,000.00",60,"9,359.75","9,694.25",60,-,-,-,-,-,5,
,38,-,-,-,-,-,15,2.00,7.95,15,"56,000.00",-,-,-,-,-,-,-,-,-,-,
