CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,12,-,-,-,-,-,-,-,-,-,210.00,-,-,0.60,"9,525",-,-,-,-,-,28,
,5,-,-,-,-,-,-,-,-,-,220.00,"9,525",0.10,0.45,"6,350",-,-,-,-,-,34,
,12,-,-,-,-,-,-,-,-,-,230.00,"19,050",0.60,1.80,"3,175",-1.40,0.60,51.34,2,-1,196,
,7,-,-,-,-,-,-,-,-,-,235.00,"6,350",0.05,2.20,"3,175",-,-,-,-,-,72,
,69,-,-,-,-,-,"3,175",16.10,21.00,"25,400",240.00,"3,175",2.00,2.90,"3,175",-1.45,2.25,54.69,6,-5,360,
,10,-,-,-,-,-,-,-,-,-,245.00,"3,175",1.10,2.80,"3,175",-,-,-,-,-,223,
,332,-,-,-,-,-,"3,175",9.35,17.00,"15,875",250.00,"3,175",3.10,5.75,"3,175",-0.10,3.90,45.41,2,-,519,
,55,-,-,-,-,-,"6,350",1.10,14.20,"3,175",255.00,"3,175",5.25,9.45,"6,350",-,-,-,-,-,154,
,519,-6,9,45.67,5.50,-2.00,"3,175",5.20,8.45,"3,175",260.00,"3,175",8.15,9.85,"3,175",3.15,9.65,52.46,8,-5,723,
,296,-9,10,48.58,4.10,-2.15,"3,175",3.35,5.45,"3,175",265.00,"6,350",11.50,17.95,"3,175",-,-,-,-,-,214,
,"1,106",-2,3,50.78,3.00,-1.30,"3,175",2.40,2.95,"3,175",270.00,"6,350",13.05,17.35,"3,175",-,-,-,-,-,545,
,439,-,1,51.99,2.10,-1.05,"3,175",2.10,2.80,"3,175",275.00,"3,175",18.00,-,-,-4.00,20.00,50.09,5,-,47,
,791,-34,35,45.43,0.85,-1.10,"3,175",0.85,1.40,"6,350",280.00,"3,175",1.80,-,-,-,-,-,-,-,46,
,273,-,-,-,-,-,"31,750",1.35,2.00,"3,175",285.00,-,-,-,-,-,-,-,-,-,20,
,649,-,-,-,-,-,"3,175",0.80,1.45,"3,175",290.00,"3,175",10.05,-,-,-,-,-,-,-,30,
,"1,139",-74,75,66.10,0.65,-,"88,900",0.60,0.70,"3,175",300.00,"3,175",18.20,45.80,"6,350",-,-,-,-,-,31,
