CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"2,400",189.80,200.65,"2,400",620.00,-,-,0.75,"8,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400",169.25,179.75,"2,400",640.00,-,-,0.75,"8,000",-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400",149.20,159.25,"3,200",660.00,-,-,0.75,"12,000",-,-,-,-,-,-,
,1,-,-,-,-,-,"2,400",130.50,139.20,"2,400",680.00,"24,000",0.05,0.50,800,-,-,-,-,-,-,
,-,-,-,-,-,-,"2,400",119.30,129.40,"2,400",690.00,-,-,0.80,"8,000",-,-,-,-,-,-,
,1,-,-,-,-,-,"2,400",109.40,118.90,"6,400",700.00,"4,800",0.10,0.15,"3,200",0.05,0.10,42.36,1,-,79,
,1,-,-,-,-,-,"2,400",99.45,108.95,"2,400",710.00,800,0.10,0.20,"1,600",-0.10,0.15,40.87,15,3,23,
,3,-,-,-,-,-,"2,400",89.45,98.95,"6,400",720.00,"28,800",0.10,0.15,"2,400",0.10,0.15,37.28,44,-11,277,
,4,-,-,-,-,-,"2,400",80.35,89.45,"2,400",730.00,800,0.25,1.05,"8,800",0.05,0.40,38.86,9,-1,154,
,13,-,-,-,-,-,"3,200",72.90,79.35,"3,200",740.00,"1,600",0.35,1.45,800,0.05,0.40,34.88,26,-17,192,
,50,-,-,-,-,-,"4,000",62.00,68.00,800,750.00,800,0.50,0.65,800,0.10,0.55,-,46,-16,261,
,33,-1,5,-,58.85,-0.55,"2,400",54.45,56.80,800,760.00,"7,200",0.65,0.75,"3,200",-0.10,0.65,29.45,43,-17,176,
,34,-,8,-,46.90,-3.20,"1,600",44.55,47.15,800,770.00,800,0.60,1.00,"2,400",-,1.00,27.62,49,-8,165,
,56,-1,7,-,39.85,-0.80,800,35.15,37.75,800,780.00,800,1.50,1.60,800,-0.10,1.50,25.52,116,-2,343,
,101,-5,31,-,27.95,-3.80,800,27.30,29.00,800,790.00,"1,600",2.60,2.80,800,0.15,2.75,-,584,266,467,
,225,-131,413,20.16,21.10,-2.40,800,19.40,20.80,800,800.00,"1,600",4.85,5.15,"1,600",0.60,5.10,24.51,495,86,558,
,295,-25,304,20.06,14.10,-2.25,800,13.05,14.00,"3,200",810.00,"1,600",8.00,8.60,"1,600",0.95,8.50,24.36,172,-1,247,
,"1,068",-17,698,-,8.70,-2.15,800,8.20,9.05,800,820.00,800,12.80,13.95,"1,600",1.65,13.50,25.37,256,-29,394,
,415,-2,349,21.48,5.25,-1.55,"1,600",5.15,5.60,800,830.00,"1,600",19.00,20.45,"1,600",2.05,19.70,26.35,47,3,117,
,325,-5,230,22.17,3.20,-0.90,800,3.05,3.20,"1,600",840.00,"1,600",26.85,29.75,"2,400",1.45,26.40,25.41,11,-,79,
,515,-44,237,23.25,1.90,-0.60,800,1.85,2.00,"1,600",850.00,"1,600",35.65,38.15,800,1.40,34.80,26.46,26,7,161,
