CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,75,"5,053.85","5,397.15",100,"25,500.00",900,0.15,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,75,"4,614.55","4,901.65",25,"26,000.00",900,0.15,13.95,75,-,-,-,-,-,1,
,1,-,-,-,-,-,75,"4,116.25","4,402.05",25,"26,500.00",750,1.05,13.45,75,-,-,-,-,-,1,
,-,-,-,-,-,-,75,"3,620.65","3,891.80",100,"27,000.00",75,4.65,18.95,75,-,-,-,-,-,6,
,1,-,-,-,-,-,75,"3,361.90","3,642.00",100,"27,250.00",900,1.05,-,-,-,-,-,-,-,-,
,1,-,-,-,-,-,75,"3,123.85","3,410.10",100,"27,500.00",75,7.55,19.90,25,-0.20,10.00,-,3,-,47,
,1,-,-,-,-,-,75,"2,806.40","3,149.30",100,"27,750.00",75,8.55,-,-,-,-,-,-,-,10,
,10,-,-,-,-,-,75,"2,571.35","2,904.05",100,"28,000.00",75,14.05,23.95,25,-0.30,19.00,-,32,-8,162,
,1,-,-,-,-,-,75,"2,391.00","2,675.25",75,"28,250.00",75,13.15,37.95,75,-8.75,19.60,-,2,-,50,
,1,-,-,-,-,-,75,"2,082.65","2,409.35",25,"28,500.00",300,26.05,-,-,-18.75,29.00,30.75,12,-2,33,
,4,-,-,-,-,-,100,"1,886.95","2,185.50",100,"28,750.00",75,23.25,-,-,-,33.00,28.61,4,-1,6,
,5,-,-,-,-,-,100,"1,598.60","1,927.65",150,"29,000.00",250,42.05,48.90,25,13.45,46.35,-,120,-13,180,
,-,-,-,-,-,-,25,"1,366.15","1,722.70",100,"29,250.00",100,42.00,-,-,-,-,-,-,-,71,
,14,2,10,-,"1,463.55",-811.45,25,"1,245.90","1,475.80",75,"29,500.00",25,66.05,201.70,100,32.80,89.00,25.87,51,-7,71,
,11,-,-,-,-,-,75,"1,005.15","1,289.35",100,"29,750.00",25,110.70,274.75,75,-,-,-,-,-,10,
,166,3,59,29.71,950.00,-174.65,25,907.40,"1,024.40",50,"30,000.00",50,165.15,179.75,25,60.30,175.00,24.47,629,8,182,
,54,-,3,-,750.00,-150.00,25,632.00,882.20,75,"30,250.00",25,217.00,318.40,500,65.05,246.80,-,20,-1,19,
,140,2,49,-,620.00,-151.10,25,576.75,685.00,25,"30,500.00",25,332.00,427.80,500,115.30,340.00,23.92,101,23,122,
,102,37,128,-,458.95,-139.70,50,443.50,506.80,25,"30,750.00",50,417.60,531.55,250,94.20,398.10,20.50,48,6,46,
,303,129,798,26.96,353.70,-96.95,25,328.00,349.95,25,"31,000.00",75,476.30,621.90,75,137.45,549.70,20.88,147,-7,117,
,123,57,767,26.50,257.15,-73.75,750,195.55,279.60,25,"31,250.00",25,615.55,768.50,25,65.40,677.40,-,9,-2,41,
,330,119,"1,253",-,178.00,-63.75,25,172.20,178.00,25,"31,500.00",200,785.35,976.30,75,185.15,900.00,-,3,-,270,
,123,42,74,-,132.00,-52.25,750,91.95,140.95,25,"31,750.00",100,"1,008.65","1,165.90",50,-38.00,"1,046.95",-,5,2,19,
,730,64,922,26.82,94.50,-33.10,150,90.00,94.00,425,"32,000.00",100,"1,222.35","1,378.55",25,67.60,"1,300.00",8.63,13,2,35,
,43,13,44,27.10,66.40,-27.40,25,55.00,68.40,25,"32,250.00",100,"1,433.40","1,648.65",25,-,-,-,-,-,-,
,132,12,136,-,48.95,-17.75,25,48.95,62.40,50,"32,500.00",25,"1,673.85","1,930.60",75,201.60,"1,756.85",-,736,34,55,
,10,-1,4,-,50.15,-111.50,"3,000",10.60,174.30,225,"32,750.00",25,"1,893.50","2,317.55",250,-,-,-,-,-,-,
,279,-20,279,-,32.00,-10.70,25,29.25,31.80,25,"33,000.00",25,"2,133.40","2,478.15",25,-,-,-,-,-,1,
,20,-,-,-,-,-,25,20.60,39.95,75,"33,250.00",100,"2,391.00","2,654.10",75,-,-,-,-,-,1,
,202,22,70,33.68,25.65,-0.05,25,24.00,30.50,50,"33,500.00",75,"2,628.50","2,895.35",75,-,-,-,-,-,1,
,15,-5,16,34.98,21.95,-4.20,25,16.20,22.00,500,"33,750.00",100,"2,875.15","3,208.75",75,-,-,-,-,-,1,
,103,6,95,-,15.00,-4.35,75,12.25,17.95,75,"34,000.00",100,"3,117.80","3,454.45",75,-,-,-,-,-,4,
,2,-,-,-,-,-,75,7.55,26.95,75,"34,250.00",100,"3,376.45","3,665.15",75,-,-,-,-,-,-,
,24,-,1,38.87,14.65,-,25,7.20,18.90,25,"34,500.00",100,"3,621.20","3,891.95",75,-,-,-,-,-,-,
,19,-,-,-,-,-,75,9.55,17.95,75,"34,750.00",-,-,-,-,-,-,-,-,-,-,
,467,-16,270,-,9.80,-2.55,75,8.35,10.95,50,"35,000.00",100,"4,111.10","4,448.90",75,-,-,-,-,-,3,
,13,-,1,-,13.85,3.95,75,5.85,12.95,75,"35,250.00",-,-,-,-,-,-,-,-,-,-,
,8,-,1,48.36,18.45,5.00,50,5.05,10.95,50,"35,500.00",100,"4,611.40","4,873.90",75,-,-,-,-,-,-,
,-,-,-,-,-,-,750,1.55,-,-,"36,000.00",100,"5,116.90","5,396.10",25,-,-,-,-,-,-,
