CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,780.00,"6,500",0.10,0.60,"1,300",-,-,-,-,-,12,
,-,-,-,-,-,-,"1,950",138.00,147.55,"1,950",800.00,650,0.10,0.15,"1,300",-,0.10,43.97,4,-3,29,
,-,-,-,-,-,-,"1,950",117.80,127.75,"1,950",820.00,"3,250",0.20,0.75,650,-,-,-,-,-,64,
,-,-,-,-,-,-,"1,950",97.45,107.05,"2,600",840.00,650,0.10,0.85,650,-,0.30,37.15,1,-,25,
,-,-,-,-,-,-,"1,950",88.35,97.70,"1,950",850.00,650,0.35,0.40,650,-0.10,0.35,34.67,15,-1,115,
,2,-,-,-,-,-,"1,950",78.50,87.80,"1,950",860.00,650,0.25,0.55,"1,300",0.25,1.00,37.73,1,-,90,
,4,-,-,-,-,-,"1,950",67.90,78.45,"1,950",870.00,650,0.65,0.90,"1,300",-0.25,0.55,30.23,13,4,65,
,13,-,2,27.73,64.35,-5.05,"4,550",61.60,65.85,650,880.00,"1,950",0.95,1.15,"1,300",-0.15,0.85,29.04,47,6,180,
,7,-,-,-,-,-,"5,850",52.40,57.40,650,890.00,"1,300",1.50,1.65,"1,300",0.10,1.60,29.25,16,9,102,
,161,-7,15,36.77,49.00,-1.80,650,45.30,46.80,650,900.00,"1,950",2.35,2.60,"1,300",0.25,2.50,28.41,129,-58,486,
,25,-2,6,36.19,41.05,1.55,650,36.70,38.75,650,910.00,650,3.55,3.75,"1,950",0.70,3.70,27.21,26,2,133,
,33,1,3,26.91,29.60,-5.90,650,28.40,29.65,650,920.00,"1,300",5.45,5.65,"1,950",0.95,5.60,26.38,188,52,237,
,62,-2,7,28.25,23.45,-4.30,"1,300",21.65,22.70,650,930.00,"1,300",8.20,8.35,650,1.45,8.35,25.70,62,15,171,
,250,22,538,25.52,16.15,-5.35,"1,950",16.10,16.55,650,940.00,650,12.15,12.60,"1,300",2.20,12.25,25.35,203,-21,318,
,576,101,910,25.85,11.35,-3.90,"1,300",11.40,11.70,"1,300",950.00,650,17.35,18.00,650,3.05,17.55,25.54,98,7,418,
,727,57,713,26.18,8.25,-3.20,650,8.05,8.30,"1,950",960.00,650,23.75,24.90,"1,950",1.20,21.60,21.06,24,-2,304,
,283,-3,266,26.78,5.55,-2.65,650,5.60,5.70,"1,950",970.00,650,31.25,32.95,650,-0.80,26.00,-,5,-1,172,
,550,-3,261,28.03,3.95,-1.80,"1,300",3.90,4.05,"3,250",980.00,650,39.45,40.60,650,5.00,40.10,28.15,7,-1,333,
,350,18,74,28.93,2.75,-1.50,"1,950",2.70,2.90,"1,300",990.00,650,48.20,50.20,650,2.55,45.45,-,11,-,138,
,"1,982",60,350,30.20,2.00,-1.10,"4,550",2.00,2.10,650,"1,000.00",650,57.30,58.55,650,5.00,59.00,33.67,8,-5,566,
,306,18,92,31.35,1.45,-0.70,"1,950",1.35,1.55,"1,950","1,010.00",650,66.65,68.65,650,3.05,63.80,-,5,-,35,
,586,39,124,32.75,1.10,-0.55,"2,600",1.00,1.10,650,"1,020.00",650,76.25,78.25,650,3.45,73.75,-,3,-1,72,
,272,34,101,33.77,0.80,-0.40,"2,600",0.75,0.85,650,"1,030.00","3,250",84.15,91.85,"2,600",-,-,-,-,-,20,
,362,-5,28,36.75,0.80,-0.15,650,0.65,0.75,"1,300","1,040.00",650,93.75,103.15,"3,250",-,-,-,-,-,31,
,431,-14,73,37.74,0.60,-0.25,"1,950",0.55,0.65,"1,300","1,050.00",650,103.60,112.05,"3,900",-,-,-,-,-,28,
,162,-,4,41.02,0.65,-,"1,300",0.45,0.60,650,"1,060.00","1,950",112.75,122.15,"1,950",-,-,-,-,-,1,
,107,-,-,-,-,-,"6,500",0.35,0.45,"5,850","1,070.00","1,950",122.55,132.55,"1,300",-,-,-,-,-,2,
,267,3,22,41.35,0.30,-0.15,650,0.30,0.40,"1,300","1,080.00","1,950",133.15,142.10,"1,950",-,-,-,-,-,-,
,31,-,-,-,-,-,650,0.15,1.00,"7,150","1,090.00",-,-,-,-,-,-,-,-,-,-,
,"1,029",-64,91,47.10,0.35,-0.05,"13,650",0.30,0.35,"13,650","1,100.00","1,300",153.15,158.60,650,-,-,-,-,-,68,
,19,-,-,-,-,-,"6,500",0.10,0.85,650,"1,110.00",-,-,-,-,-,-,-,-,-,-,
,174,8,21,49.55,0.25,-0.05,"1,300",0.25,0.35,650,"1,120.00","1,950",172.35,181.90,"1,950",-,-,-,-,-,-,
,77,-,-,-,-,-,650,0.20,0.45,"1,300","1,140.00",-,-,-,-,-,-,-,-,-,-,
