CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,4,8,129.26,"1,213.15",-776.85,400,"1,111.05","1,164.95",500,"4,600.00","9,000",0.05,3.95,300,-15.15,0.05,46.35,4,-,-,
,2,-,-,-,-,-,400,915.95,965.70,500,"4,800.00","1,500",0.25,3.50,"4,000",-,-,-,-,-,2,
,2,-,5,-,815.85,33.00,200,736.35,765.35,100,"5,000.00",300,1.50,1.60,100,-0.50,1.50,-,17,5,47,
,5,-,-,-,-,-,300,614.10,667.35,400,"5,100.00",200,1.20,3.35,100,-,-,-,-,-,8,
,8,2,9,-,575.70,49.70,100,536.85,555.10,100,"5,200.00",100,2.35,3.50,100,-1.95,3.10,35.96,17,4,79,
,7,-,-,-,-,-,200,426.75,468.60,400,"5,300.00",100,4.05,7.00,100,-3.40,4.05,31.72,41,-7,335,
,22,-1,2,40.76,381.60,56.35,100,343.70,368.75,100,"5,400.00",100,9.10,10.50,100,-2.35,10.55,31.89,102,2,128,
,28,-3,18,33.18,283.15,33.15,100,258.60,282.65,400,"5,500.00",100,19.05,21.70,100,-4.25,19.55,30.94,234,29,193,
,77,5,63,25.37,185.70,2.25,100,178.20,192.30,100,"5,600.00",100,39.65,42.90,100,-7.15,39.65,30.81,715,151,482,
,377,-17,"1,914",26.16,121.00,1.70,300,121.00,123.00,100,"5,700.00",100,74.15,77.00,100,-5.85,78.70,31.09,"1,071",94,323,
,779,168,"3,346",28.09,76.00,0.50,100,72.85,78.95,200,"5,800.00",100,124.65,132.35,100,-9.20,130.00,31.58,293,44,341,
,294,19,581,29.08,44.50,-1.30,100,42.40,44.90,200,"5,900.00",100,193.75,206.50,100,-64.25,185.75,-,6,-1,70,
,788,14,"1,596",30.98,27.95,1.05,100,26.05,28.00,500,"6,000.00",200,270.70,288.55,100,-15.95,268.85,-,40,-22,295,
,408,-2,163,32.48,15.90,0.30,100,14.65,19.65,100,"6,100.00",200,356.60,393.45,200,-83.25,303.90,-,5,-,68,
,374,-26,160,-,10.75,0.45,100,9.30,11.90,"2,000","6,200.00",200,448.60,476.55,100,-83.20,436.80,-,3,-,66,
,324,4,83,-,6.50,-0.55,500,5.95,6.50,"2,300","6,300.00",700,542.20,582.35,600,-150.15,531.80,-,7,-,167,
,177,-8,31,-,5.00,-0.05,500,3.75,6.70,100,"6,400.00",100,650.45,674.75,100,-51.20,599.55,-,9,5,10,
,935,-107,400,-,3.60,0.05,100,3.25,3.70,700,"6,500.00",200,747.50,769.20,100,-60.00,715.00,-,1,-,56,
,1,-,-,-,-,-,500,1.10,6.80,"4,000","6,600.00",400,835.10,889.20,300,-,-,-,-,-,-,
,67,-,-,-,-,-,100,1.00,18.95,200,"6,700.00",500,935.15,"1,008.95",300,-,-,-,-,-,4,
,48,-,6,43.35,0.60,-1.45,500,1.00,3.85,100,"6,800.00",400,"1,033.20","1,105.50",300,-,-,-,-,-,1,
,-,-,-,-,-,-,-,-,-,-,"6,900.00",400,"1,129.55","1,189.55",400,-,-,-,-,-,1,
,162,-11,18,53.98,1.20,0.25,100,1.25,3.35,100,"7,000.00",400,"1,233.00","1,283.95",400,-,-,-,-,-,3,
,22,-,-,-,-,-,"8,000",0.15,1.60,100,"7,200.00",-,-,-,-,-,-,-,-,-,-,
