CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,150,"2,277.70","2,363.75",200,"10,600.00","1,750",0.25,1.70,500,-0.05,0.25,44.30,7,-2,90,
,-,-,-,-,-,-,150,"2,078.40","2,157.10",200,"10,800.00",400,0.55,1.40,50,-,0.55,43.43,2,-,250,
,-,-,-,-,-,-,150,"1,878.15","1,965.30",250,"11,000.00","1,700",1.05,1.75,50,-0.70,1.05,42.08,7,-,482,
,-,-,-,-,-,-,150,"1,781.95","1,872.65",200,"11,100.00",500,0.80,2.70,500,-,-,-,-,-,86,
,-,-,-,-,-,-,150,"1,680.55","1,775.60",500,"11,200.00",150,1.60,3.10,100,-,-,-,-,-,150,
,5,-,-,-,-,-,150,"1,581.10","1,661.95",250,"11,300.00",250,1.25,1.40,50,-0.10,1.10,35.94,6,-,436,
,-,-,-,-,-,-,150,"1,483.20","1,563.60",250,"11,400.00",50,2.10,3.20,500,-0.95,2.10,36.54,9,-2,113,
,10,-,-,-,-,-,150,"1,380.45","1,473.25",500,"11,500.00",50,1.80,3.20,50,-1.10,1.55,33.05,17,-2,228,
,-,-,-,-,-,-,150,"1,283.85","1,366.20",250,"11,600.00",50,2.20,3.70,150,-,4.10,35.19,1,-,63,
,7,-,-,-,-,-,150,"1,181.45","1,265.00",250,"11,700.00",50,3.00,4.15,150,-0.95,3.35,31.85,18,-,143,
,21,-,-,-,-,-,150,"1,082.60","1,165.45",200,"11,800.00",50,3.70,4.95,"1,050",-1.35,3.40,29.58,33,-12,213,
,23,-,-,-,-,-,150,983.85,"1,063.80",100,"11,900.00",50,5.65,5.85,100,-0.20,5.60,29.47,14,-,253,
,160,-,-,-,-,-,200,885.55,960.90,50,"12,000.00",50,6.05,6.30,150,-0.80,6.40,27.61,216,14,913,
,114,-,-,-,-,-,150,786.45,863.10,50,"12,100.00",50,6.55,7.70,50,-0.50,8.15,26.21,50,-4,509,
,257,4,11,-,707.50,32.25,50,728.55,745.60,50,"12,200.00",150,7.95,8.40,50,-2.60,8.00,23.77,532,-56,669,
,"1,762",-5,85,-,631.00,52.80,50,630.10,639.95,50,"12,300.00",100,10.25,10.65,150,-3.30,10.40,22.03,910,-124,774,
,680,1,79,13.99,543.00,59.85,50,539.00,547.45,50,"12,400.00",150,14.40,14.85,50,-5.60,14.60,20.81,701,10,"1,009",
,"1,011",-9,223,16.39,451.85,58.95,50,448.95,454.40,50,"12,500.00",50,22.45,22.95,100,-10.00,22.90,20.08,"2,028",128,"1,053",
,365,-,294,16.40,362.65,48.50,50,362.20,369.50,50,"12,600.00",150,35.00,35.55,100,-16.20,35.40,19.62,"1,401",67,585,
,404,-57,950,16.90,283.50,43.10,50,282.00,284.00,50,"12,700.00",50,54.05,54.95,50,-24.20,54.40,19.17,"2,206",136,621,
,"1,400",-33,"3,569",16.62,213.90,32.80,100,210.95,213.55,50,"12,800.00",50,81.45,82.55,50,-33.90,82.45,18.88,"3,643",230,"1,201",
,"1,652",-617,"10,512",17.18,152.60,18.25,50,153.75,155.00,"2,300","12,900.00",50,122.75,124.25,100,-44.30,124.10,19.09,"1,915",210,609,
,"1,922",127,"6,755",17.61,108.35,13.40,50,108.05,109.00,300,"13,000.00",50,176.55,179.20,50,-53.50,177.65,19.55,621,89,214,
,437,30,"2,442",18.05,74.30,7.95,50,74.05,74.95,50,"13,100.00",50,241.60,248.45,50,-53.85,246.05,20.18,76,26,37,
,"1,469",59,"3,060",18.51,49.75,4.75,100,49.25,49.90,50,"13,200.00",50,311.55,323.20,50,-40.20,338.05,23.53,47,10,31,
,486,180,"1,400",19.18,32.60,2.20,150,32.25,32.75,100,"13,300.00",50,392.15,456.60,50,-,-,-,-,-,2,
,815,-31,646,20.02,23.10,0.95,50,22.20,22.75,50,"13,400.00",100,471.70,517.20,200,-,-,-,-,-,-,
,"1,107",68,"1,038",21.03,16.00,-0.20,150,15.70,16.20,350,"13,500.00",50,559.00,611.90,150,-,-,-,-,-,-,
,746,-39,302,21.93,11.85,0.10,50,11.15,11.85,100,"13,600.00",50,650.10,722.65,150,-,-,-,-,-,-,
,239,25,134,22.67,8.25,-0.95,550,8.10,9.55,50,"13,700.00",50,744.50,828.85,150,-,-,-,-,-,-,
,83,3,88,24.21,7.00,-0.55,50,5.80,7.80,50,"13,800.00",200,839.45,921.15,150,-,-,-,-,-,-,
,3,3,4,26.10,6.55,-73.80,250,4.45,8.15,50,"13,900.00",250,939.40,"1,026.60",150,-,-,-,-,-,-,
,957,51,726,26.69,4.65,-0.30,200,4.60,4.75,150,"14,000.00",200,"1,043.40","1,117.85",150,-,-,-,-,-,-,
,117,-27,99,28.63,2.90,-0.75,50,2.45,3.20,50,"14,200.00",200,"1,236.65","1,318.45",150,-,-,-,-,-,-,
,1,-,-,-,-,-,"1,200",1.50,3.90,600,"14,400.00",200,"1,437.35","1,518.10",150,-,-,-,-,-,-,
