CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"1,200",248.85,263.80,"1,200","1,080.00","14,000",0.05,1.70,"4,000",-0.50,0.40,62.86,10,-,-,
,1,-,-,-,-,-,"1,200",208.80,222.25,"1,200","1,120.00",400,0.20,0.30,"1,200",-0.15,0.25,50.27,18,-,93,
,19,-,-,-,-,-,"1,600",172.40,182.10,"2,800","1,160.00",800,0.15,0.30,400,-0.15,0.20,-,66,-3,104,
,52,-,-,-,-,-,"1,200",150.50,162.55,"2,800","1,180.00","1,200",0.15,0.40,"1,200",-,0.30,-,9,-,104,
,129,-,1,-,131.40,-3.00,800,135.15,139.10,400,"1,200.00",800,0.35,0.50,400,-0.20,0.35,-,48,-31,437,
,54,-,-,-,-,-,"2,800",112.55,122.75,"4,000","1,220.00","1,200",0.40,0.65,400,-0.20,0.60,32.25,15,-4,154,
,82,-,1,-,98.00,27.25,800,95.70,99.05,400,"1,240.00","1,200",0.75,0.95,400,-0.30,0.80,28.85,125,-29,162,
,83,5,35,-,78.90,4.10,"2,800",74.15,79.35,800,"1,260.00","2,800",1.10,1.20,800,-0.45,1.15,-,742,-2,395,
,120,6,35,-,58.20,3.70,"4,000",55.05,60.25,400,"1,280.00","2,000",2.05,2.15,"1,600",-0.60,2.10,-,941,-64,548,
,489,-29,786,18.33,40.60,3.25,400,40.40,41.35,400,"1,300.00","1,600",4.20,4.35,400,-1.25,4.25,22.07,"2,212",-36,682,
,634,-194,"1,884",18.51,25.65,2.50,400,25.65,26.40,400,"1,320.00",400,9.15,9.40,800,-2.40,9.10,21.42,"1,400",4,825,
,"1,204",86,"4,409",-,14.55,1.60,400,14.70,14.90,400,"1,340.00",800,17.60,18.95,400,-3.25,17.55,-,745,17,685,
,"1,298",-312,"2,654",-,7.55,0.85,400,7.55,7.65,400,"1,360.00",800,28.35,34.50,"1,200",-4.30,30.15,21.95,165,6,321,
,706,6,"1,345",-,3.80,0.40,400,3.70,3.90,"3,200","1,380.00",400,45.00,47.80,800,-5.25,47.30,25.39,41,-1,128,
,"1,995",-91,"1,757",-,2.05,-,"2,800",2.05,2.10,"3,600","1,400.00",400,63.75,66.15,400,-6.40,63.00,22.15,301,-74,749,
,516,253,722,25.00,1.20,-0.05,"1,200",1.15,1.25,"4,400","1,420.00",400,82.80,84.95,400,-37.85,83.15,27.91,5,-,49,
,343,-36,259,27.38,0.80,-0.05,"1,200",0.70,0.85,400,"1,440.00",400,102.30,104.55,400,-23.00,105.00,38.80,26,-19,57,
,158,1,14,-,0.60,-0.10,400,0.50,0.80,400,"1,460.00",400,122.10,124.40,400,-15.35,123.15,37.85,3,-1,50,
,72,2,3,-,0.45,-0.10,400,0.30,0.95,400,"1,480.00","4,000",137.85,149.70,"2,800",-,-,-,-,-,29,
,395,-18,94,34.85,0.35,0.05,"1,200",0.30,0.40,"3,200","1,500.00",400,160.15,163.90,400,-6.85,159.60,-,21,-2,646,
,69,-,-,-,-,-,"16,800",0.10,1.20,"2,000","1,520.00",400,179.45,184.80,400,-20.50,179.50,-,1,-,6,
,13,-,-,-,-,-,"16,000",0.10,5.55,"1,600","1,540.00",-,-,-,-,-,-,-,-,-,-,
,18,-,-,-,-,-,400,0.10,1.20,"2,000","1,560.00",400,217.00,231.60,"2,800",-,-,-,-,-,13,
,78,-,8,43.55,0.15,0.10,"21,200",0.05,0.70,400,"1,580.00","1,600",237.95,251.15,"1,200",-,-,-,-,-,2,
,280,-,-,-,-,-,"1,600",0.20,0.65,800,"1,600.00",400,259.70,263.95,400,-5.50,259.50,-,5,1,501,
,-,-,-,-,-,-,-,-,-,-,"1,640.00","1,600",297.50,309.50,"4,000",-,-,-,-,-,3,
