CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,-,-,"1,125",336.95,352.10,"1,500","1,020.00","12,000",0.05,0.85,"1,875",-,-,-,-,-,4,
,-,-,-,-,-,-,"1,125",317.00,332.10,"1,500","1,040.00","12,000",0.05,0.80,"1,875",-,-,-,-,-,2,
,-,-,-,-,-,-,"1,125",296.75,312.10,"1,500","1,060.00",375,0.15,0.30,750,-,0.25,69.41,14,-,32,
,5,-,-,-,-,-,"1,125",278.30,293.05,"1,500","1,080.00","1,500",0.15,1.60,375,-0.05,0.25,64.84,31,-20,67,
,16,-,-,-,-,-,"1,125",258.00,272.15,"1,125","1,100.00","1,500",0.20,0.30,"1,125",-0.15,0.15,56.97,4,-3,101,
,16,-,-,-,-,-,"1,125",238.25,251.00,"1,125","1,120.00","1,875",0.20,0.35,"2,250",-0.05,0.30,57.13,7,-,238,
,1,-,-,-,-,-,"1,125",219.65,232.05,"1,500","1,140.00",375,0.35,1.25,375,-0.10,0.35,53.69,10,-,68,
,69,-,-,-,-,-,"2,625",198.45,212.35,"2,625","1,160.00","3,000",0.30,0.50,375,-0.20,0.40,50.06,19,-5,394,
,82,-,-,-,-,-,"3,000",178.65,192.25,"1,125","1,180.00","1,875",0.45,0.70,375,-0.20,0.45,46.27,45,-16,168,
,232,-2,3,55.51,172.00,-8.00,375,165.00,168.85,375,"1,200.00","1,500",0.75,0.85,375,-0.15,0.75,45.04,193,-60,881,
,156,-,-,-,-,-,"3,750",140.50,151.80,"3,375","1,220.00",375,0.85,1.15,375,0.05,1.10,42.93,144,-26,450,
,250,-4,30,-,126.90,-13.75,375,125.75,129.25,750,"1,240.00",375,1.30,1.50,"1,125",0.05,1.25,38.79,109,-31,543,
,241,5,49,35.32,111.35,-8.90,375,106.30,109.20,375,"1,260.00",750,1.75,1.85,375,-0.05,1.80,36.26,80,-16,616,
,313,-4,58,-,89.45,-11.25,375,87.00,90.20,750,"1,280.00",750,2.35,2.45,750,0.05,2.45,33.12,262,91,607,
,607,-34,117,20.29,70.50,-12.25,375,68.45,70.55,375,"1,300.00","1,125",3.35,3.50,375,0.05,3.45,-,"1,304",-294,"1,068",
,320,-3,93,21.88,52.60,-12.25,"1,125",49.90,51.60,375,"1,320.00",750,5.25,5.65,375,0.20,5.55,27.87,533,-36,"1,172",
,334,-25,402,21.30,36.00,-11.80,750,35.45,38.25,375,"1,340.00","2,250",9.45,9.90,375,1.15,10.00,27.27,"1,253",-34,800,
,594,-40,"1,275",21.83,23.00,-10.50,375,22.85,23.50,375,"1,360.00",750,16.55,17.25,375,2.20,16.70,26.50,"2,305",-300,623,
,"1,001",74,"2,068",22.91,14.00,-8.15,375,13.80,14.30,750,"1,380.00",375,26.90,28.25,375,5.10,28.25,28.28,"1,720",-135,230,
,"1,565",48,"2,428",23.78,8.00,-5.90,750,8.05,8.50,375,"1,400.00",375,41.20,42.10,375,7.80,42.40,-,590,-60,425,
,"1,233",-21,"1,457",24.89,4.50,-3.35,375,4.20,4.45,750,"1,420.00",750,53.45,59.60,"1,125",6.75,54.65,-,64,5,46,
,605,33,516,25.76,2.40,-2.20,750,2.45,2.55,375,"1,440.00",375,75.10,76.90,750,12.95,76.85,-,85,24,54,
,458,108,434,28.07,1.60,-1.10,750,1.45,1.60,"1,125","1,460.00",375,93.60,95.85,375,13.30,95.70,39.72,25,3,28,
,309,-11,57,30.27,1.10,-0.95,750,1.00,1.20,"1,125","1,480.00","2,625",110.05,116.40,750,-,-,-,-,-,48,
,344,-41,362,-,0.85,-0.60,750,0.70,0.90,"1,500","1,500.00","2,625",128.30,137.25,"1,125",-,-,-,-,-,60,
,114,-11,24,33.83,0.50,-0.50,"6,750",0.50,0.55,375,"1,520.00","3,750",147.95,158.75,"2,625",-,-,-,-,-,3,
,1,-,-,-,-,-,"52,500",0.10,1.20,"3,750","1,540.00","1,875",168.90,183.00,"1,125",-,-,-,-,-,-,
,77,-8,13,38.89,0.35,-0.30,"2,250",0.35,0.40,375,"1,560.00",375,192.30,195.55,375,-1.00,190.50,-,5,-,15,
,83,-1,53,-,0.35,-0.05,375,0.30,0.35,375,"1,600.00","1,500",228.90,240.25,"3,000",-,-,-,-,-,4,
