CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,"9,000",50.15,52.95,"12,000",200.00,-,-,0.10,"1,68,000",-,-,-,-,-,2,
,-,-,-,-,-,-,"9,000",45.20,47.95,"12,000",205.00,-,-,0.05,"15,000",-,-,-,-,-,58,
,-,-,-,-,-,-,"9,000",40.15,42.90,"9,000",210.00,-,-,0.05,"81,000",-,-,-,-,-,436,
,-,-,-,-,-,-,"9,000",35.25,37.95,"9,000",215.00,"24,000",0.05,0.10,"9,000",-0.05,0.05,46.01,23,6,407,
,-,-,-,-,-,-,"9,000",32.70,35.45,"9,000",217.50,"69,000",0.05,0.10,"27,000",0.05,0.10,47.31,48,35,46,
,86,-,1,-,32.00,6.50,"3,000",31.60,32.15,"3,000",220.00,"12,24,000",0.05,0.10,"1,44,000",-0.10,0.05,40.13,284,-7,541,
,71,-,-,-,-,-,"21,000",27.85,30.50,"21,000",222.50,"3,39,000",0.05,0.15,"12,000",-0.20,0.10,40.99,32,-5,107,
,84,-,3,-,27.05,8.15,"3,000",26.70,27.20,"3,000",225.00,"7,71,000",0.10,0.15,"2,40,000",-0.05,0.15,40.37,144,-43,458,
,78,-,-,-,-,-,"21,000",23.20,25.55,"21,000",227.50,"75,000",0.10,0.20,"60,000",-0.10,0.15,37.07,26,-11,169,
,133,-32,110,-,22.30,6.05,"3,000",21.95,22.20,"3,000",230.00,"4,23,000",0.15,0.20,"5,25,000",-0.20,0.15,33.77,718,-125,872,
,50,-5,41,-,18.65,4.65,"3,000",19.50,19.70,"3,000",232.50,"99,000",0.20,0.25,"39,000",-0.20,0.25,33.57,132,-14,293,
,104,-20,77,-,17.35,5.60,"6,000",17.05,17.25,"6,000",235.00,"10,14,000",0.25,0.30,"6,42,000",-0.40,0.25,30.00,"1,528",24,833,
