CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,780.00,650,0.10,1.85,650,-,-,-,-,-,12,
,-,-,-,-,-,-,"3,250",144.65,151.90,"2,600",800.00,"41,600",0.05,0.90,"1,950",-,-,-,-,-,33,
,-,-,-,-,-,-,"3,250",124.70,132.80,"2,600",820.00,"15,600",0.10,1.95,650,-,-,-,-,-,64,
,-,-,-,-,-,-,"2,600",105.60,112.80,"2,600",840.00,650,0.15,1.85,650,-,-,-,-,-,26,
,-,-,-,-,-,-,"1,300",94.80,102.70,"2,600",850.00,650,0.15,0.75,650,-,-,-,-,-,119,
,2,-,-,-,-,-,"1,300",85.15,92.35,"2,600",860.00,650,0.30,0.90,650,-,-,-,-,-,89,
,4,-,-,-,-,-,"2,600",76.05,84.30,"2,600",870.00,650,0.60,2.70,650,-,-,-,-,-,68,
,15,-,-,-,-,-,"1,300",65.85,72.60,"3,250",880.00,650,1.20,1.30,650,-0.10,1.30,32.09,2,-,181,
,7,-,-,-,-,-,650,57.20,64.30,"1,300",890.00,"1,950",1.70,1.90,"1,950",-0.15,1.65,30.00,3,-,106,
,166,-,-,-,-,-,650,50.35,53.45,650,900.00,"1,950",2.55,2.70,"1,300",0.15,2.85,30.40,1,-,499,
,31,-,-,-,-,-,650,40.65,43.10,650,910.00,"1,950",3.65,3.85,650,0.40,4.15,29.58,3,1,109,
,36,-,-,-,-,-,650,33.55,36.20,650,920.00,650,5.40,5.70,"1,300",-0.05,5.75,28.32,1,-,191,
,70,-,-,-,-,-,"1,300",26.35,28.95,650,930.00,650,7.80,8.30,650,-0.10,8.00,27.60,3,-,150,
,166,-,13,25.55,20.50,-0.65,650,20.50,21.25,650,940.00,"1,300",11.30,11.80,650,0.25,12.05,27.94,5,-,354,
,521,-14,111,26.16,15.50,-0.20,"1,300",15.25,15.65,650,950.00,650,15.60,16.70,650,-,-,-,-,-,416,
,567,6,61,26.49,10.90,-0.60,650,10.95,11.35,650,960.00,650,21.40,22.65,650,-1.95,21.00,25.82,9,5,314,
,299,-1,5,26.65,7.90,-0.40,650,7.65,8.30,"1,300",970.00,650,28.00,29.65,650,-0.45,27.75,26.15,8,4,181,
,560,2,11,27.93,5.65,-0.40,650,5.60,5.85,650,980.00,650,35.85,37.65,650,-1.20,38.15,32.40,1,-,336,
,337,-,2,-,4.35,-0.10,"1,300",4.05,4.35,"1,300",990.00,650,43.90,47.00,650,-,-,-,-,-,147,
,"1,970",4,41,30.33,3.20,-0.15,650,3.05,3.20,"7,150","1,000.00",650,53.20,54.20,650,-1.10,54.05,32.35,10,-1,584,
,294,-,4,31.89,2.60,0.20,"1,950",2.20,2.45,"1,300","1,010.00",650,62.80,65.85,650,-,-,-,-,-,36,
,548,-,2,32.92,1.95,-,650,1.70,1.85,"1,300","1,020.00",650,71.15,73.50,650,-8.85,77.15,48.84,4,-,73,
,233,-,1,33.30,1.35,-0.10,"1,300",1.30,1.45,"1,300","1,030.00",650,80.85,83.55,650,4.55,85.05,47.21,8,-,19,
,363,-,-,-,-,-,"1,950",1.00,1.20,"1,300","1,040.00",650,90.20,93.70,650,-6.10,95.65,52.81,8,-,31,
,492,-,-,-,-,-,650,0.65,1.00,"1,300","1,050.00",650,98.60,105.40,650,4.95,105.35,55.66,8,-,32,
,172,-,-,-,-,-,650,0.55,1.05,650,"1,060.00","3,250",108.35,116.35,"1,300",-,-,-,-,-,1,
,105,-,-,-,-,-,650,0.50,2.35,650,"1,070.00","2,600",119.15,126.65,"2,600",-,-,-,-,-,2,
,283,-,-,-,-,-,650,0.30,0.80,"9,750","1,080.00","2,600",128.45,136.15,"1,300",-,-,-,-,-,-,
,31,-,-,-,-,-,650,0.15,1.95,650,"1,090.00",-,-,-,-,-,-,-,-,-,-,
,"1,216",-,-,-,-,-,"1,950",0.40,0.65,"3,250","1,100.00",650,148.60,153.45,650,-6.30,148.50,-,8,1,71,
,19,-,-,-,-,-,650,0.10,1.95,650,"1,110.00",-,-,-,-,-,-,-,-,-,-,
,196,-,-,-,-,-,650,0.25,0.50,"1,300","1,120.00","2,600",167.60,175.75,"2,600",-,-,-,-,-,-,
,85,-,-,-,-,-,650,0.25,2.00,"1,300","1,140.00",-,-,-,-,-,-,-,-,-,-,
