CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,9,-,-,-,13.05,-,"10,400",14.65,15.15,"10,400",62.00,-,-,0.05,"2,600",0.30,0.35,90.88,32,15,106,
,-,-,-,-,-,-,"10,400",12.65,13.15,"10,400",64.00,-,-,0.05,"49,400",-,0.05,54.89,1,-,85,
,53,-,1,88.12,11.70,3.50,"13,000",10.60,11.10,"2,600",66.00,-,-,0.05,"7,800",-0.05,0.05,46.94,8,-1,213,
,55,-10,17,76.40,10.55,3.15,"2,600",9.70,10.10,"2,600",67.00,-,-,0.10,"2,600",-,0.10,-,-,-,157,
,55,-,-,-,7.35,-,"23,400",8.65,9.25,"10,400",68.00,"1,04,000",0.05,0.10,"2,600",-0.05,0.05,39.08,8,-2,214,
,64,-,4,-,7.90,1.60,"2,600",7.85,8.10,"2,600",69.00,"1,53,400",0.05,0.10,"23,400",-0.10,0.10,40.01,82,-8,104,
,298,-20,105,-,6.80,1.40,"2,600",6.65,7.05,"2,600",70.00,"17,26,400",0.05,0.10,"7,800",-0.10,0.10,35.70,466,-46,"1,623",
,95,-97,205,22.66,6.10,1.60,"2,600",6.05,6.10,"2,600",71.00,"2,49,600",0.10,0.15,"65,000",-0.25,0.10,31.37,354,56,274,
,109,-110,257,24.45,5.15,1.45,"2,600",5.15,5.20,"7,800",72.00,"49,400",0.20,0.25,"15,600",-0.30,0.20,32.15,349,-39,158,
,191,-31,173,32.90,4.30,1.35,"13,000",4.25,4.35,"10,400",73.00,"85,800",0.35,0.40,"31,200",-0.45,0.35,32.56,495,2,347,
,183,-18,363,33.93,3.55,1.30,"13,000",3.45,3.55,"10,400",74.00,"15,600",0.55,0.60,"20,800",-0.60,0.55,33.73,709,84,281,
,695,-796,"2,312",34.06,2.85,1.10,"41,600",2.75,2.85,"15,600",75.00,"13,000",0.85,0.90,"23,400",-0.75,0.85,32.84,"1,522",-1,560,
,244,-96,"1,368",34.46,2.25,0.95,"13,000",2.20,2.25,"2,600",76.00,"10,400",1.25,1.30,"10,400",-0.95,1.25,34.41,565,38,147,
,376,17,"1,660",35.01,1.75,0.75,"26,000",1.70,1.75,"13,000",77.00,"10,400",1.75,1.80,"10,400",-1.10,1.75,35.03,701,62,135,
,443,-124,"1,959",35.79,1.35,0.60,"18,200",1.30,1.35,"18,200",78.00,"13,000",2.35,2.45,"13,000",-1.15,2.45,36.87,526,-23,83,
,401,193,"1,194",37.00,1.00,0.50,"18,200",1.00,1.10,"18,200",79.00,"10,400",3.05,3.15,"10,400",-1.15,3.20,39.26,241,17,68,
,"3,120","1,127","10,478",39.03,0.85,0.40,"31,200",0.80,0.85,"39,000",80.00,"2,600",3.85,3.90,"5,200",-1.20,3.95,40.38,420,-3,385,
,336,188,612,38.56,0.60,0.25,"15,600",0.60,0.65,"36,400",81.00,"10,400",4.60,4.70,"7,800",-1.30,4.70,40.17,115,31,103,
,701,-346,"3,985",39.35,0.45,0.20,"10,400",0.45,0.50,"49,400",82.00,"2,600",5.45,5.55,"5,200",-1.60,5.45,38.24,202,-1,82,
,103,20,254,40.64,0.35,0.15,"5,200",0.35,0.40,"20,800",83.00,"2,600",6.35,6.45,"5,200",-1.65,6.40,41.25,85,-24,12,
,93,29,270,43.01,0.30,0.20,"5,200",0.25,0.30,"28,600",84.00,"5,200",7.25,7.35,"7,800",-2.00,7.60,52.48,33,-,15,
,516,-12,534,42.42,0.20,0.05,"75,400",0.15,0.20,"31,200",85.00,"2,600",8.20,8.30,"10,400",-1.50,8.25,43.55,110,11,94,
,89,2,36,43.22,0.15,-,"1,24,800",0.10,0.15,"15,600",86.00,"5,200",9.10,9.20,"7,800",-1.85,9.10,37.67,15,3,24,
,21,18,29,46.17,0.10,-0.15,"5,200",0.05,0.10,"15,600",88.00,"10,400",10.90,11.40,"10,400",-,13.30,-,-,-,6,
,742,-,87,46.60,0.05,-,-,-,0.05,"2,600",90.00,"2,600",13.00,13.20,"2,600",-2.25,12.35,-,8,-2,11,
